Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42979;14266793;411324497;133190363;578085821;-36598450;541487370;265508;406733;221740;-26447;867534;183265552;78729829;34740329;1397872267;221740;1397650527
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42979;18981565;282190924;232939535;407225792;-33167532;374058261;6352750;3568860;2380719;-326688;11975641;201376249;128745955;45880367;1296148497;2380719;1293767778
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42979;9214820;161670778;179429055;700722145;-35317578;665404566;0;0;0;0;0;82529893;159584606;13139401;1270973120;0;1270973120
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42979;16595504;178530205;235364413;324711984;-34316182;290395802;65287;3924383;1723613;-143655;5569629;152028686;75988271;66161169;1020633679;1723613;1018910065
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;42979;30377;101665249;153702962;329869071;-12331214;317537857;0;0;0;0;0;35011774;246662431;13965475;868576125;0;868576125
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42979;7075267;49893153;178513834;218023354;-16280123;201743231;18604;4815555;2196696;-56681;6974173;133179106;87299706;13973521;678651991;2196696;676455296
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42979;479923;44962529;37730361;46726605;-2426812;44299793;27047;1985624;990101;-44585;2958189;10190375;4163909;4164144;148949223;990101;147959122
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42979;809859;25323629;36567334;12823538;-1044959;11778579;0;1205;0;0;1205;27886205;1703559;9001747;113072116;0;113072116
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;42979;101950;17323777;25231300;44409145;-3046746;41362399;362;213883;5374;-4634;214986;12345908;644855;1775903;99001079;5374;98995704
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;42979;880996;18549329;21416042;11825107;-1033026;10792081;763;72069;21090;-2909;91013;17285586;5507086;485209;75007341;21090;74986252
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;42979;794450;2459531;21746489;27755733;-2610120;25145613;355;96743;51286;-5587;142798;7246002;12333988;1559137;71428008;51286;71376722
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;42979;162199;12224060;25410839;10224656;-1041170;9183485;0;0;0;0;0;4068508;823284;195183;52067559;0;52067559
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;42979;34299;16030180;11278088;3270687;-31480;3239207;0;0;0;0;0;2393739;11238473;155651;44369637;0;44369637
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;42979;1910562;20237533;10097231;4622452;-295877;4326576;0;0;0;0;0;7015842;4858;359425;43952028;0;43952028
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;42979;112284;3554627;5257462;9655264;-455669;9199595;0;0;0;0;0;20143595;422135;120519;38810216;0;38810216
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;42979;103911;10880021;6196248;7881668;-2732;7878936;0;0;0;0;0;285408;12963043;120501;38428068;0;38428068
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;42979;225750;18388851;11351446;1022675;-2258;1020417;0;0;0;0;0;6992323;110776;113625;38203188;0;38203188
PAN;1000080257;b1;S3;C;2;SAO PAULO;SP;42979;26407;1094117;2085844;17734618;-1153068;16581550;40;3287;2889;-113;6103;6269200;591674;597562;27252458;2889;27249570
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;42979;21791;6599342;7493767;10620917;-338440;10282476;0;0;0;0;0;2150066;394336;47532;26989310;0;26989310
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;42979;125174;5040903;1477410;11038959;-673799;10365161;12018;517586;56235;-14759;571080;5028319;413191;849011;23870247;56235;23814013
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;42979;29105;2029388;1233781;697606;-91151;606455;0;0;0;0;0;19427262;1402;1737;23329131;0;23329131
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;42979;10505;7870151;1730300;455011;-2041;452970;1644;882780;46979;-31470;899933;12334910;5176;3508;23307455;46979;23260475
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;42979;175081;8075952;8544590;3475132;-264295;3210837;61;21504;9766;-427;30905;866876;883602;309438;22097282;9766;22087515
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;42979;82326;3455781;1737207;13520323;-537846;12982477;0;0;0;0;0;3713392;1383;20387;21992953;0;21992953
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;42979;11652;5834460;3407752;668423;-11821;656602;0;0;0;0;0;10917491;14614;61934;20904506;0;20904506
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;42979;239366;8407641;8124155;1097241;-1107;1096134;0;0;0;0;0;1875006;641907;43245;20427455;0;20427455
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;42979;58314;2942892;1414051;660578;0;660578;0;0;0;0;0;14711035;2281;22405;19811555;0;19811555
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;42979;158455;67710;8440106;6408702;-498542;5910160;585;73373;37539;-16217;95280;3246840;396992;112503;18428046;37539;18390507
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;I;1;PORTO ALEGRE;RS;42979;89;710129;1951343;13915910;-518712;13397198;0;0;0;0;0;713362;34032;28359;16834512;0;16834512
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;42979;38122;1499427;2016343;8126555;-538057;7588498;13;7595;1175;-46;8737;4087271;291914;758063;16288375;1175;16287200
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;42979;34904;1940708;9117921;3161245;-255265;2905980;0;0;0;0;0;1542359;321610;330676;16194159;0;16194159
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;42979;5840;643153;142640;12650324;-842727;11807597;1378;256503;36395;-3439;290837;2213645;57079;25649;15186441;36395;15150046
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;42979;11890;2845894;11064242;0;0;0;0;0;0;0;0;558524;1502;26107;14508158;0;14508158
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;42979;212850;6128176;4585367;1087629;0;1087629;0;0;0;0;0;2122913;433;15328;14152697;0;14152697
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;42979;163569;1208187;1405601;8768332;-412611;8355721;0;0;0;0;0;1773635;836261;313326;14056300;0;14056300
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;42979;3198;824804;4147224;6504223;-120898;6383325;2779;401449;110125;-10220;504133;941478;35380;326724;13166266;110125;13056141
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;42979;0;897061;11061605;256569;-12;256557;0;0;0;0;0;260321;51;119418;12595013;0;12595013
GMAC - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;42979;10451;363398;116127;8716826;-215246;8501581;0;10331;147;-278;10200;2249346;49519;90228;11390850;147;11390703
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;42979;516622;1441925;1133243;5745559;-721704;5023855;0;0;0;0;0;1290878;442771;277333;10126628;0;10126628
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;C;2;RIO DE JANEIRO;RJ;42979;2555;1924370;3715606;1427;0;1427;0;0;0;0;0;3725366;55457;497167;9921950;0;9921950
