Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2013;324917380;24182132;52795460;82307453;119856386;34536;45741413
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2013;267946054;26373302;248384;2422229;238902140;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2013;238195703;9016019;16873191;59686103;69314914;57550;83247926
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2013;216508062;46035318;29428611;66000542;14023987;82435;60937169
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2013;130392717;16294746;22866729;19659350;71541423;30469;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2013;103733609;10102064;15351169;47109412;20425005;28481;10717478
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2013;42754618;969505;1417281;17453077;15713720;1223;7199812
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2013;41978798;2578882;3154272;14284835;14648254;11241;7301314
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2013;18845350;1028482;2958941;4841714;7914256;184;2101773
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2013;13788173;1808359;4481589;3152719;4344783;722;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2013;12319854;1068383;1283122;5799600;4009698;7100;151951
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2013;12035486;707573;22536;2178497;5383075;0;3743805
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2013;10068307;83081;536108;1774618;7674196;305;0
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/09/2013;9780653;524542;454182;5388208;2907337;24;506360
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2013;9436424;667729;1473984;6037882;1256828;1;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2013;9019336;659619;1013900;5134168;357638;10;1854001
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2013;8090072;395331;436039;3778488;3480064;149;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2013;6827979;6427714;162962;110202;126242;859;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2013;6523360;443956;893068;1527309;3659017;11;0
FIBRA;49951;b1;I;2;;199;SAO PAULO;SP;01/09/2013;5487876;542473;1829560;1189162;1864;299;1924520
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/09/2013;5436342;746250;2088106;2304110;297875;1;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/09/2013;5359136;733856;918642;1006573;2214579;0;485485
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2013;5200254;184757;417714;2235095;2358509;4179;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2013;4470391;42455;2094;206777;1110452;0;3108613
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2013;4317581;125331;379991;1629260;2182921;78;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2013;4165813;169573;114838;2169236;1710899;116;1150
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2013;4037062;218018;282113;658183;2878261;487;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2013;3687425;48;1352928;405804;1605765;0;322880
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/09/2013;3468516;62403;889232;2084696;432183;2;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/09/2013;3460259;69366;357659;1588811;1444412;12;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/09/2013;3379192;9223;41062;39208;3289700;0;0
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2013;3248810;211574;1039636;1449628;547968;5;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/09/2013;2751351;207773;227995;1197184;1019895;0;98504
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2013;2684187;766408;276300;976160;665320;0;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/09/2013;2622241;3156;3810;331338;1692047;1;591889
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/09/2013;2567925;21300;349216;254168;1943240;1;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/09/2013;2307879;227098;1997532;4376;78871;1;0
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/09/2013;1923339;474730;381068;264972;594810;0;207759
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2013;1832141;126550;198989;1349738;156786;78;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/09/2013;1814322;87686;314270;1264249;147745;373;0
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/09/2013;1809336;0;619728;532361;657146;101;0
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/09/2013;1723109;291660;340672;861478;229299;0;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2013;1575355;0;3872;679699;891783;1;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/09/2013;1561931;14009;101998;103344;1342514;68;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/09/2013;1528830;0;331063;179804;850629;0;167333
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2013;1503937;254977;411018;761656;76056;230;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/09/2013;1398308;162056;307137;653120;275995;0;0
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/09/2013;1369556;0;1279;1209828;158449;0;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2013;1368561;515259;81205;202547;569499;50;0
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/09/2013;1233162;56039;32403;143101;1001619;0;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2013;1229411;212944;373062;123236;520168;1;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/09/2013;1222260;18;31733;876376;314131;1;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/09/2013;1212173;157015;11338;291173;752647;0;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/09/2013;1103494;0;0;0;1103494;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/09/2013;1086993;94858;160469;662706;168940;20;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/09/2013;1025783;0;228153;387283;410345;2;0
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/09/2013;1016058;254;36745;206427;756520;0;16112
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/09/2013;941137;27525;250099;564861;95091;3562;0
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/09/2013;893685;10435;22155;111067;750028;0;0
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/09/2013;893585;0;570525;287678;35368;15;0
RODOBENS;51736;b1;C;2;;199;SAO PAULO;SP;01/09/2013;876594;560243;117901;123239;75202;8;0
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/09/2013;826635;155567;223028;431099;16941;0;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/09/2013;716368;21446;160618;149763;384540;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/09/2013;713866;52795;79075;463254;118742;0;0
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/09/2013;689590;0;0;164503;525087;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/09/2013;677988;75878;45719;438447;117945;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/09/2013;657110;27890;9321;417358;202439;102;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/09/2013;627023;2856;54951;147658;421555;3;0
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/09/2013;572093;65979;39819;299169;167127;0;0
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/09/2013;552802;69103;216474;153340;113879;6;0
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/09/2013;515673;73975;49627;157071;234987;14;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/09/2013;493145;11024;75310;319101;87702;9;0
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/09/2013;484655;15972;48845;360703;59132;3;0
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/09/2013;434793;58977;53217;302166;20432;0;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/09/2013;416176;215805;49620;66394;84303;54;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/09/2013;385200;27665;51188;306082;0;265;0
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/09/2013;379439;1663;72648;203639;101316;173;0
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/09/2013;369063;0;14229;274242;80592;0;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/09/2013;320002;24196;31110;232078;32618;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/09/2013;315518;53547;103000;117496;41222;254;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/09/2013;309816;19174;57183;48289;185137;32;0
BANCO TRICURY S.A.;57839805;b2;I;2;;8;SAO PAULO;SP;01/09/2013;309364;29420;66588;117510;95847;0;0
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/09/2013;302425;57983;0;19159;225283;0;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/09/2013;292385;0;0;33833;258553;0;0
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/09/2013;287935;3816;40590;124320;119208;1;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;01/09/2013;280271;13593;59702;193431;13510;35;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;01/09/2013;276786;101294;32564;74108;68710;110;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;01/09/2013;260366;27461;48179;104969;79675;83;0
BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12865507;n1;I;2;;14;SAO PAULO;SP;01/09/2013;256953;4526;12776;120913;118739;0;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/09/2013;253755;44765;35995;117516;55479;1;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/09/2013;245432;0;562;122974;121896;0;0
BANCO INTERMEDIUM S/A;416968;b1;I;2;;8;BELO HORIZONTE;MG;01/09/2013;242901;4483;5219;193301;39895;3;0
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2013;237645;2527;17734;109448;107936;0;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/09/2013;234258;23422;9326;170130;31347;33;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;I;2;;9;PORTO ALEGRE;RS;01/09/2013;227532;227532;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;;9;LONDRINA;PR;01/09/2013;224613;46298;29606;31321;117349;39;0
COOPERATIVA CENTRO BRASILEIRA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;01/09/2013;223797;72511;35612;114601;1062;11;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/09/2013;223686;90496;41349;60448;31346;48;0
SANTINVEST;50816;n1;C;2;;197;FLORIANOPOLIS;SC;01/09/2013;222410;14502;65778;139660;2176;293;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;01/09/2013;222125;24989;51655;74479;70873;130;0
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;n1;I;3;;19;BARUERI;SP;01/09/2013;201818;830;5157;80055;115774;2;0
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;I;2;;9;JOAO PESSOA;PB;01/09/2013;199160;37670;39374;76136;45967;13;0
SOCOPA;50328;b1;C;2;;199;SAO PAULO;SP;01/09/2013;192155;23563;50356;6358;111877;1;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DE SAÚDE E EMPRESÁRIOS LTDA;2398976;b3S;I;2;;9;LONDRINA;PR;01/09/2013;190449;25095;50742;113584;1002;26;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAIBA - SICREDI VANGUARDA PR/SP;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/09/2013;188322;53586;52621;57242;24729;144;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;01/09/2013;185944;50928;57580;58832;18518;86;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/09/2013;184834;83097;13656;57621;30404;55;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;01/09/2013;183116;61424;20080;38449;63095;68;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DO RIO DE JANEIRO - UNICRED-RIO LTDA.;72128440;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/09/2013;182330;29219;8219;135991;8900;1;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, OUTROS PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO.;36900256;b3S;I;2;;9;CUIABA;MT;01/09/2013;173992;9697;31823;127220;5236;16;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;I;2;;9;BELO HORIZONTE;MG;01/09/2013;169021;13339;44;1;155619;18;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;;9;CHAPECO;SC;01/09/2013;168835;69306;29000;18908;51571;50;0
BANCO KEB DO BRASIL S.A.;2318507;b1;I;3;;2;SAO PAULO;SP;01/09/2013;168583;34071;0;92340;42172;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/09/2013;163813;38992;42150;48313;34274;84;0
BANCO TOPÁZIO S.A.;7679404;b1;I;2;;8;PORTO ALEGRE;RS;01/09/2013;159210;4191;8841;132596;13580;2;0
NBC BANK BRASIL S. A. - BANCO MÚLTIPLO;74828799;b1;I;3;;8;PORTO ALEGRE;RS;01/09/2013;153576;4452;11003;100931;37191;0;0
BARCLAYS;51705;b1;C;3;;199;SAO PAULO;SP;01/09/2013;151425;0;214;446;150765;0;0
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/09/2013;149375;0;3744;128317;17315;0;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74114042;b3S;I;2;;9;ITAJAI;SC;01/09/2013;146882;14445;28836;103563;0;38;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/09/2013;144912;56876;66801;20963;0;271;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/09/2013;143749;130486;12975;268;0;21;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;;9;SANTA MARIA;RS;01/09/2013;140656;24575;24175;45135;46688;83;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/09/2013;139005;2684;1896;134425;0;0;0
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO, PARÁ E RONDÔNIA - CENTRAL SICREDI MT/PA/RO;33667205;b3C;I;2;;9;CUIABA;MT;01/09/2013;137188;137188;0;0;0;0;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;;14;SAO PAULO;SP;01/09/2013;136255;0;136255;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;01/09/2013;134387;59176;32012;18865;24312;22;0
