Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2013;16762780;97167686
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2013;13403755;90534132
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2013;10933350;46593707
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2013;10547801;45561058
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2013;8388938;32004504
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2013;4147939;7001563
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2013;3169694;8762690
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2013;2302505;21074716
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2013;2107064;11514469
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2013;1122788;4646088
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2013;1014684;3480891
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2013;968777;2068953
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/09/2013;954145;4004931
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2013;869332;4940194
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/09/2013;578435;1229801
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2013;562775;710920
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/09/2013;530055;5553290
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2013;484298;920810
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2013;452139;650656
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2013;429148;500918
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2013;414992;790234
FIBRA;49951;b1;I;2;;199;SAO PAULO;SP;01/09/2013;366980;1823184
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/09/2013;327760;348457
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/09/2013;326916;621585
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/09/2013;316750;507266
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2013;315695;471296
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/09/2013;261216;819999
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2013;256290;584206
DACASA FINANCEIRA S.A.-SOC. DE CRED. FINANC. E INVESTIMENTO;27406222;n1;I;2;;14;VITORIA;ES;01/09/2013;230614;1096422
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/09/2013;206259;11995107
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2013;179186;911123
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/09/2013;173989;538049
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2013;172537;345971
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/09/2013;145594;1104038
BANCO INTERMEDIUM S/A;416968;b1;I;2;;8;BELO HORIZONTE;MG;01/09/2013;140815;315992
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/09/2013;129047;530362
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/09/2013;124148;574880
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/09/2013;103852;311051
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/09/2013;101446;201741
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/09/2013;83927;98839
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;;8;GUARULHOS;SP;01/09/2013;80145;96074
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2013;79556;263463
BANCO SEMEAR S.A.;795423;b1;I;2;;8;BELO HORIZONTE;MG;01/09/2013;63880;373850
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;;14;BARUERI;SP;01/09/2013;62898;156487
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;;14;CURITIBA;PR;01/09/2013;61486;221607
BANCO FICSA S.A.;61348538;b1;I;2;;8;SAO PAULO;SP;01/09/2013;58118;162414
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;01/09/2013;55974;63312
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/09/2013;51752;64069
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;;14;SANTO CRISTO;RS;01/09/2013;49920;433129
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/09/2013;49763;71392
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;;14;FLORIANOPOLIS;SC;01/09/2013;46645;152498
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;01/09/2013;46566;82237
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/09/2013;44892;94331
AGIPLAN FINANCEIRA S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO;13660104;n1;I;2;;14;PORTO ALEGRE;RS;01/09/2013;42315;91507
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/09/2013;41769;96073
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;;14;BARUERI;SP;01/09/2013;41029;382104
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;;14;DOIS IRMAOS;RS;01/09/2013;37653;569499
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;411939;n1;I;2;;14;JUNDIAI;SP;01/09/2013;37600;46897
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/09/2013;33469;47076
BANCO GERADOR S.A.;10664513;b1;I;2;;8;RECIFE;PE;01/09/2013;33162;80589
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS POLICIAIS MILITARES E SERVIDORES DA SECRETARIA DOS NEGÓCIOS DA SEGURANÇA PÚBLICA DO ESTADO DE SÃO PAULO;62673470;b3S;I;2;;9;SAO PAULO;SP;01/09/2013;32026;85852
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/09/2013;31507;1423511
BANCO AZTECA DO BRASIL S.A.;9391857;b1;I;3;;8;RECIFE;PE;01/09/2013;30939;197191
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2013;30787;67420
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2013;30172;43010
DREBES FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;;14;ELDORADO;RS;01/09/2013;29944;331334
PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1800019;n1;I;2;;14;PORTO ALEGRE;RS;01/09/2013;27951;59081
