Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2013;5060731;195527;1004458;365464;217393;91164;0;0;0;78113;3108613;
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2013;4915466;346783;1789164;1263990;936997;344684;13594;38738;13465;168051;0;
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2013;4057242;161154;2541925;962081;293040;36688;16336;11274;13138;21605;0;
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/09/2013;3950002;2146523;952026;300264;204805;70110;112381;39899;30167;93827;0;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/09/2013;3692355;584106;1161646;1309111;442049;56138;31281;20167;27399;60458;0;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/09/2013;3639468;1195879;931966;595207;712297;89368;49276;7974;7663;49839;0;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/09/2013;3407726;821584;1156805;682197;504148;67161;16239;26946;8093;124554;0;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/09/2013;3339925;612602;1345632;1047004;205366;73339;34983;7131;3575;10293;0;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/09/2013;3200127;375814;2068420;368275;271435;76396;8479;7235;5417;18656;0;
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/09/2013;3003773;0;2366178;81312;64718;74650;69074;54732;52098;241012;0;
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/09/2013;2941087;17590;2628203;75522;43343;25470;24061;19806;18541;88551;0;
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/09/2013;2899796;554260;1827798;128040;69542;37879;31866;25594;27678;197139;0;
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/09/2013;2820094;56317;879900;1227125;187162;153817;26241;51574;11712;127742;98504;
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/09/2013;2782551;78620;1285539;471291;699674;92732;36276;24488;18995;74937;0;
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/09/2013;2716278;0;2204448;334804;58727;28623;15802;11041;9571;53262;0;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/09/2013;2665788;0;2418477;44048;77899;19217;19984;22315;12627;51220;0;
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/09/2013;2622770;1486052;151023;263797;94014;35996;0;0;0;0;591889;
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/09/2013;2567925;1102027;586412;309112;329758;210040;17029;930;369;12248;0;
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2013;2207839;219;1780090;90144;106828;42351;17399;42299;34885;93623;0;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/09/2013;2197400;509095;1395742;121786;25174;52596;19438;9720;3269;60580;0;
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/09/2013;2126119;252148;1768998;28572;15242;15183;3815;10035;14287;17840;0;
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/09/2013;1928233;1659989;24368;902;3946;31268;0;0;0;0;207759;
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/09/2013;1894904;4107;532165;618574;618581;19573;10870;24181;15032;51820;0;
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/09/2013;1748804;242801;448550;722663;260057;27563;7999;7822;20034;11315;0;
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/09/2013;1713067;0;1484584;54014;37845;53393;48972;8669;4839;20752;0;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/09/2013;1591069;656674;522115;264463;79961;22163;5380;2649;12008;25656;0;
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/09/2013;1580773;0;1088232;91399;49027;52202;47027;37609;37647;177630;0;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/09/2013;1528902;1282721;9186;69662;0;0;0;0;0;0;167333;
RODOBENS;51736;b1;C;2;;199;SAO PAULO;SP;01/09/2013;1490179;95775;1239040;35133;56692;16734;8800;7972;4969;25064;0;
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/09/2013;1425292;585736;723667;36442;31285;0;32566;10859;4737;0;0;
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/09/2013;1369556;0;761196;345893;119289;138400;4654;124;0;0;0;
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/09/2013;1292154;397319;548592;218246;36646;12593;1358;13131;22062;42207;0;
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/09/2013;1267629;592261;555293;43042;18143;13157;2222;933;29235;13344;0;
