cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/15;979.040.660;5.188.726;21.822.412;43.126.926;58.129.406;22.752.334;3.217.245;242.619;154.479.668;2.179.186;2.317.851;6.278.165;18.143.084;17.708.071;19.645.019;5.036.984;71.308.359;1.214.753;5.482.009;5.798.311;94.374;9.478;0;7.282;12.606.207;778.269;10.740.029;2.066.665;191.952;248.548;609.274;226.471;14.861.208;301.115;7.955.600;14.820.150;3.212.175;4.943.551;3.695.131;0;34.927.722;1.564.530;6.230.641;10.394.127;12.199.667;13.128.861;9.459.925;181.569;53.159.320;1.282.050;24.909.069;66.035.273;128.876.974;93.773.462;183.405.659;41.930.250;540.212.737;201.224;4.279.915;7.780.436;3.399.801;2.504.002;3.915.256;16.487;22.097.121;62.014;4.468.193;4.479.356;6.532.868;1.135.375;455.457;14.162;17.147.425
1%;1 - Público;jun/15;48,04%;44,95%;31,76%;37,83%;49,27%;60,70%;55,01%;32,71%;43,35%;75,78%;21,48%;24,83%;48,27%;83,87%;93,18%;84,26%;57,18%;33,69%;14,27%;39,49%;15,67%;5,22%;0,00%;4,15%;21,82%;46,50%;17,06%;12,42%;12,77%;19,86%;82,92%;98,95%;17,49%;19,07%;24,82%;24,63%;13,92%;38,97%;59,85%;0,00%;25,73%;27,92%;39,26%;48,41%;52,82%;80,51%;86,62%;29,46%;56,62%;56,09%;62,84%;66,01%;70,84%;82,30%;93,01%;95,26%;79,55%;76,15%;31,58%;31,96%;37,97%;43,85%;78,48%;100,00%;38,21%;47,22%;69,61%;34,64%;26,97%;17,92%;6,80%;5,03%;30,07%
2;2 - Privado Nacional;jun/15;754.302.992;4.438.926;30.670.976;48.478.934;43.809.480;9.807.423;1.659.157;237.479;139.102.375;473.847;4.977.833;12.062.399;12.202.743;2.205.159;273.651;7.915;32.203.549;1.868.752;25.404.654;5.553.352;66.289;20.312;53.245;4.591;32.971.194;621.122;27.578.247;4.644.353;817.558;398.490;119.200;482;34.179.453;738.890;10.916.188;19.494.033;13.321.971;6.554.187;1.432.337;996;52.458.602;2.705.967;6.571.550;7.511.890;6.753.536;2.053.390;1.117.084;343.929;27.057.346;487.924;8.923.121;22.011.430;33.417.725;13.802.993;11.085.695;2.052.834;91.781.722;30.611;7.255.824;11.990.457;4.158.027;2.684.907;786.403;0;26.906.229;22.404;1.006.560;4.714.447;13.395.810;5.000.519;4.697.622;265.359;29.102.722
2%;2 - Privado Nacional;jun/15;37,01%;38,45%;44,64%;42,52%;37,13%;26,16%;28,37%;32,02%;39,04%;16,48%;46,13%;47,70%;32,47%;10,44%;1,30%;0,13%;25,82%;51,83%;66,13%;37,82%;11,01%;11,19%;44,22%;2,62%;57,06%;37,11%;43,81%;27,91%;54,40%;31,85%;16,22%;0,21%;40,22%;46,79%;34,05%;32,39%;57,74%;51,66%;23,20%;6,53%;38,64%;48,30%;41,41%;34,99%;29,24%;12,59%;10,23%;55,80%;28,82%;21,35%;22,51%;22,00%;18,37%;12,11%;5,62%;4,66%;13,52%;11,58%;53,54%;49,25%;46,44%;47,02%;15,76%;0,00%;46,53%;17,06%;15,68%;36,46%;55,29%;78,93%;70,14%;94,21%;51,04%
3;3 - Privado com Controle Estrangeiro;jun/15;304.596.772;1.915.758;16.211.912;22.408.778;16.042.235;4.924.964;972.570;261.531;62.737.748;222.544;3.495.446;6.945.792;7.239.133;1.199.520;1.164.482;932.855;21.199.773;521.868;7.530.333;3.330.823;441.498;151.755;67.157;163.423;12.206.856;274.149;24.625.473;9.930.595;493.351;604.154;6.327;1.931;35.935.981;539.252;13.187.553;25.863.915;6.536.863;1.188.895;1.046.052;14.257;48.376.786;1.332.259;3.067.627;3.565.380;4.141.599;1.123.862;343.556;90.864;13.665.148;515.807;5.808.705;11.996.901;19.642.148;6.363.578;2.692.903;33.996;47.054.038;32.422;2.015.980;4.574.266;1.396.497;521.372;286.937;0;8.827.474;46.926;944.035;3.737.900;4.298.493;199.631;1.544.414;2.151;10.773.549
3%;3 - Privado com Controle Estrangeiro;jun/15;14,95%;16,60%;23,60%;19,65%;13,60%;13,14%;16,63%;35,26%;17,61%;7,74%;32,39%;27,47%;19,26%;5,68%;5,52%;15,61%;17,00%;14,47%;19,60%;22,69%;73,32%;83,59%;55,78%;93,23%;21,12%;16,38%;39,12%;59,67%;32,83%;48,29%;0,86%;0,84%;42,29%;34,15%;41,13%;42,98%;28,33%;9,37%;16,94%;93,47%;35,63%;23,78%;19,33%;16,61%;17,93%;6,89%;3,15%;14,74%;14,56%;22,57%;14,65%;11,99%;10,80%;5,59%;1,37%;0,08%;6,93%;12,27%;14,88%;18,79%;15,60%;9,13%;5,75%;0,00%;15,26%;35,73%;14,71%;28,90%;17,74%;3,15%;23,06%;0,76%;18,89%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/15;1.582.157.170;11.099.900;64.548.034;107.886.025;112.505.070;36.439.041;5.488.544;740.178;338.706.793;2.718.969;8.063.184;19.896.100;31.296.686;19.583.271;20.619.199;5.913.887;108.091.297;3.512.525;36.817.567;13.174.973;563.745;161.233;117.408;170.704;54.518.156;1.477.017;55.246.141;11.459.248;1.248.338;1.243.376;732.010;228.558;71.634.687;1.571.638;31.996.894;60.090.779;23.006.246;12.674.435;6.158.149;11.410;135.509.551;5.494.343;15.255.762;20.538.230;22.277.206;16.107.123;10.829.648;594.718;91.097.031;1.522.430;23.881.875;56.160.998;84.381.314;40.106.763;58.551.352;18.894.178;283.498.909;246.474;12.993.874;23.309.205;7.466.128;4.402.259;3.336.976;15.849;51.770.765;131.343;6.412.885;12.905.653;24.149.756;6.335.233;6.697.412;281.673;56.913.955
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/15;77,64%;96,16%;93,95%;94,62%;95,36%;97,21%;93,84%;99,80%;95,06%;94,55%;74,72%;78,68%;83,27%;92,76%;97,80%;98,93%;86,67%;97,42%;95,84%;89,73%;93,62%;88,81%;97,51%;97,38%;94,35%;88,26%;87,77%;68,86%;83,06%;99,38%;99,62%;99,86%;84,30%;99,52%;99,81%;99,85%;99,72%;99,90%;99,75%;74,81%;99,81%;98,07%;96,13%;95,65%;96,46%;98,78%;99,17%;96,49%;97,03%;66,60%;60,25%;56,14%;46,38%;35,20%;29,69%;42,92%;41,75%;93,27%;95,88%;95,74%;83,38%;77,09%;66,89%;96,13%;89,52%;100,00%;99,91%;99,80%;99,68%;100,00%;100,00%;100,00%;99,81%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/15;51.080.757;72.715;1.574.177;1.071.714;808.618;122.521;4.509;0;3.654.255;87.764;1.881.266;3.318.863;2.992.953;454.700;20.364;0;8.755.910;0;0;0;0;0;0;0;0;98.457;4.319.431;4.790.620;238.929;6.807;0;0;9.454.244;7.620;62.447;87.319;64.763;12.197;15.371;3.843;253.560;20.506;249.613;74.466;175.809;11.782;1.851;0;534.027;403.929;2.867.584;7.463.892;12.533.333;3.922.961;656.772;33.996;27.882.467;5.158;20.996;81.735;145.971;82.679;25.671;0;362.210;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/15;2,51%;0,63%;2,29%;0,94%;0,69%;0,33%;0,08%;0,00%;1,03%;3,05%;17,43%;13,13%;7,96%;2,15%;0,10%;0,00%;7,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,88%;6,86%;28,79%;15,90%;0,54%;0,00%;0,00%;11,13%;0,48%;0,19%;0,15%;0,28%;0,10%;0,25%;25,19%;0,19%;0,37%;1,57%;0,35%;0,76%;0,07%;0,02%;0,00%;0,57%;17,67%;7,23%;7,46%;6,89%;3,44%;0,33%;0,08%;4,11%;1,95%;0,15%;0,34%;1,63%;1,45%;0,51%;0,00%;0,63%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
