cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;jun/15;782.296.811;2.255.352;10.095.369;27.941.380;55.077.611;28.270.841;8.733.938;185.687;132.560.178;1.567.045;5.632.736;13.005.775;14.178.247;4.364.345;1.902.763;229.285;40.880.198;491.404;2.648.447;6.574.543;9.330.716;1.408.160;4.609;16.845;20.474.723;1.863.003;11.885.567;31.516.891;71.504.231;56.841.554;152.084.866;64.117.746;389.813.859;3.649.942;23.829.425;4.251.496;241.463;559;0;184.960;32.157.845;1.999.262;21.409.298;34.362.153;28.208.312;22.011.347;26.235.581;47.643;134.273.594;2.777.379;8.511.015;8.881.705;4.681.735;2.403.726;2.272.568;270.885;29.799.011;2.337.403
1%;1 - Público;jun/15;52,29%;62,85%;43,99%;45,38%;49,64%;55,50%;59,51%;99,42%;50,05%;25,33%;27,00%;37,64%;41,95%;54,20%;72,93%;95,56%;38,46%;13,05%;10,20%;10,68%;12,21%;15,88%;8,27%;89,01%;11,59%;92,20%;83,35%;86,53%;86,34%;85,99%;83,01%;75,16%;82,92%;21,89%;22,00%;13,75%;14,35%;0,43%;0,00%;99,66%;20,36%;79,72%;66,21%;62,41%;64,29%;73,96%;85,42%;99,81%;69,11%;34,04%;27,36%;37,32%;25,01%;34,87%;61,07%;71,88%;32,12%;7,06%
2;2 - Privado Nacional;jun/15;504.631.878;899.656;10.733.773;28.122.374;47.433.933;19.893.730;5.303.857;803;112.388.128;3.367.269;12.460.971;16.625.622;14.475.211;2.566.838;638.227;5.296;50.139.434;2.259.104;14.180.858;33.127.466;40.833.439;4.498.620;42.028;4;94.941.519;110.200;1.252.982;2.259.951;5.679.847;5.250.351;19.419.838;15.625.474;49.598.644;10.132.770;62.429.026;21.561.005;683.833;9.250;21;618;94.816.523;299.915;8.449.271;14.979.188;9.000.104;4.336.368;3.102.970;92;40.167.909;3.388.163;16.518.497;9.215.250;8.800.337;2.499.504;886.468;95.308;41.403.527;21.176.195
2%;2 - Privado Nacional;jun/15;33,73%;25,07%;46,78%;45,67%;42,75%;39,06%;36,14%;0,43%;42,43%;54,43%;59,74%;48,11%;42,82%;31,88%;24,46%;2,21%;47,17%;59,99%;54,63%;53,81%;53,43%;50,72%;75,45%;0,02%;53,74%;5,45%;8,79%;6,20%;6,86%;7,94%;10,60%;18,32%;10,55%;60,78%;57,62%;69,75%;40,65%;7,04%;0,08%;0,33%;60,03%;11,96%;26,13%;27,20%;20,51%;14,57%;10,10%;0,19%;20,67%;41,52%;53,10%;38,73%;47,01%;36,26%;23,82%;25,29%;44,63%;63,92%
3;3 - Privado com Controle Estrangeiro;jun/15;209.204.821;433.328;2.118.094;5.513.573;8.450.271;2.771.251;639.489;278;19.926.283;1.252.466;2.766.581;4.922.802;5.148.216;1.121.537;68.042;5.367;15.285.012;1.015.139;9.130.923;21.864.399;26.261.723;2.961.880;9.067;2.075;61.245.207;47.313;1.120.939;2.647.478;5.634.016;4.007.481;11.697.461;5.569.022;30.723.711;2.889.688;22.081.431;5.097.786;756.854;121.573;26.732;20;30.974.084;208.797;2.477.311;5.719.092;6.666.701;3.414.296;1.374.659;0;19.860.857;1.994.065;6.079.551;5.698.997;5.239.631;1.990.131;562.006;10.683;21.575.063;9.614.604
3%;3 - Privado com Controle Estrangeiro;jun/15;13,98%;12,08%;9,23%;8,95%;7,62%;5,44%;4,36%;0,15%;7,52%;20,24%;13,26%;14,25%;15,23%;13,93%;2,61%;2,24%;14,38%;26,96%;35,17%;35,51%;34,36%;33,40%;16,28%;10,97%;34,67%;2,34%;7,86%;7,27%;6,80%;6,06%;6,39%;6,53%;6,54%;17,33%;20,38%;16,49%;44,99%;92,53%;99,92%;0,01%;19,61%;8,33%;7,66%;10,39%;15,19%;11,47%;4,48%;0,00%;10,22%;24,44%;19,54%;23,95%;27,99%;28,87%;15,10%;2,83%;23,25%;29,02%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/15;1.388.386.067;3.559.963;22.435.074;60.148.743;108.781.929;50.096.680;14.374.756;186.172;259.583.317;4.483.822;16.094.829;28.330.181;29.011.935;6.797.667;2.116.422;234.665;87.069.520;3.411.412;21.226.743;50.098.038;62.668.971;7.260.016;48.515;18.924;144.732.619;2.015.052;14.168.841;36.278.558;82.514.847;65.822.421;182.856.741;85.213.130;468.869.590;14.860.323;100.667.941;28.326.659;1.313.697;124.556;26.724;184.980;145.504.881;2.234.737;27.403.498;44.753.815;36.425.445;26.163.975;27.744.395;46.548;164.772.413;7.752.064;27.724.891;21.143.004;17.682.805;6.589.974;3.523.762;309.024;84.725.525;33.128.202
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/15;92,80%;99,21%;97,77%;97,68%;98,04%;98,35%;97,94%;99,68%;98,00%;72,47%;77,16%;81,99%;85,83%;84,41%;81,12%;97,80%;81,91%;90,59%;81,77%;81,37%;82,00%;81,86%;87,09%;100,00%;81,93%;99,73%;99,36%;99,60%;99,63%;99,58%;99,81%;99,88%;99,73%;89,13%;92,92%;91,64%;78,10%;94,81%;99,89%;99,67%;92,12%;89,11%;84,75%;81,28%;83,02%;87,91%;90,33%;97,51%;84,80%;95,01%;89,12%;88,85%;94,45%;95,60%;94,70%;82,00%;91,32%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/15;37.557.619;468;7.580;20.134;21.691;2.009;0;0;51.882;3.060;25.230;49.850;42.316;4.946;1.596;0;126.998;249.790;3.949.120;9.472.185;10.988.414;1.282.111;1.532;0;25.943.153;0;0;0;0;0;0;0;0;799.273;2.527.932;955.623;96.899;23;23;0;4.379.773;87.227;393.366;1.551.805;2.746.403;1.540.746;478.682;0;6.798.230;12.112;50.533;83.423;88.536;17.580;5.399;0;257.583;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/15;2,51%;0,01%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,05%;0,12%;0,14%;0,13%;0,06%;0,06%;0,00%;0,12%;6,63%;15,21%;15,39%;14,38%;14,46%;2,75%;0,00%;14,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,79%;2,33%;3,09%;5,76%;0,02%;0,08%;0,00%;2,77%;3,48%;1,22%;2,82%;6,26%;5,18%;1,56%;0,00%;3,50%;0,15%;0,16%;0,35%;0,47%;0,26%;0,15%;0,00%;0,28%;0,00%
