Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42248;68070868;29890805;97961673;38672019;136633692;782969960;19575784;572;4654927;0;24231284;36389090;843590334;NA;0,0807;0,1161;0,162;NA%;0,1527
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42248;95317563;46298;95363861;29399029;124762890;728976178;3435015;573836;11844064;1209482;17062396;28622953;774661528;NA;0,123;0,1231;0,1611;NA%;0,2972
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42248;65848669;0;65848669;32924334;98773003;608756017;29733557;0;7352297;0;37085854;25729517;671571388;NA;0,0981;0,0981;0,1471;NA%;0,165
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42248;73577076;0;73577076;19513015;93090091;585507055;12416543;504076;8323956;65455;21310030;37106557;643923641;NA;0,1143;0,1143;0,1446;NA%;0,3862
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42248;57017875;0;57017875;23321123;80338997;521661558;1250336;0;1625387;0;2875724;40349756;564887037;NA;0,1009;0,1009;0,1422;NA%;0,1342
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42248;50925617;5029914;55955531;5612072;61567603;336166757;8984942;0;26545736;287436;35818115;17039349;389024220;NA;0,1309;0,1438;0,1583;NA%;0,1961
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42248;15370712;5120722;20491434;3977264;24468698;132213006;1764764;11451845;27235909;3646518;44099036;758546;177070588;NA;0,0868;0,1157;0,1382;NA%;0,4482
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42248;8738721;0;8738721;6938717;15677438;98959965;359980;0;6282705;140488;6783174;12569554;118312693;NA;0,0739;0,0739;0,1325;NA%;0,1699
