Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42248;19521507;344873728;113086973;656366971;-31065421;625301550;541822;792330;291961;-50043;1576071;202375010;69236647;28312281;1404283766;291961;1403991805
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42248;17938620;224483988;219658256;419944143;-31040949;388903194;1553145;8705879;5343940;-181223;15421741;233354112;72544701;42779175;1215083787;5343940;1209739847
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42248;10614611;126925316;173894391;654939496;-31721261;623218235;0;0;0;0;0;72989011;135713084;12776894;1156131542;0;1156131542
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42248;647049;29135682;146742504;397788946;-2859339;394929607;0;0;0;0;0;56038160;294776731;16305068;938574801;0;938574801
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42248;12838213;153285236;167478292;333270361;-26684414;306585947;68961;6342572;3194838;-208678;9397692;130449516;56957057;41533014;878524967;3194838;875330130
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42248;6925985;58984059;150848246;225426754;-14897360;210529394;28102;5698102;2830263;-72068;8484400;200052757;54288973;16449605;706563419;2830263;703733156
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42248;22988045;41435043;94936917;73741246;-1550934;72190311;0;0;0;0;0;42991770;1974741;11873746;288390573;0;288390573
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42248;4152946;19536384;37882276;59483160;-4689234;54793926;7487;926646;120694;-83468;971359;43513918;14622610;3322714;178796132;120694;178675438
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42248;1201605;37166734;44205636;47492582;-2217237;45275346;88417;2457941;1185805;-25454;3706708;10138768;2148658;2799589;146643044;1185805;145457239
