Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42248;1987451;210720;2666878;-740376;450005;23695;4598374;-3923179;-565300;-161802;0;-326209;-4976491;-378117;142726;88943;-275107;-293324;-28047;720358;410108;-305541;460116;81999;-242;81757;351347;0;433104;-251717
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42248;1322050;31503;1152926;647333;534158;17798;3705768;-802028;-1985429;-23899;0;-217570;-3028926;676841;234002;70758;-358522;-373331;-74469;25535;366961;-328136;-437201;239640;-5234;234406;-10686;-12685;211035;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;C;3;SAO PAULO;SP;42248;2326335;0;227817;-117255;1094831;0;3531729;-101359;-3295885;0;0;-166684;-3563927;-32198;17681;4420;-33702;-23254;-17588;0;74384;-13617;8323;-23875;-5;-23880;45067;-5335;15853;0
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42248;1778430;13161;649312;221059;289387;225949;3177298;-1258708;-547841;-7584;0;-146110;-1960243;1217055;60061;305798;-460163;-340270;-106279;69874;646039;-1031785;-856725;360330;-535;359795;34433;-34897;359331;-93531
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42248;34067;0;1748988;-671503;1230222;0;2341774;-225239;-1844407;0;0;690;-2068956;272818;107096;172;-259280;-56200;-31992;0;57719;-51510;-233996;38822;246;39068;26275;-5052;60291;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42248;788709;0;795298;341707;263476;3024;2192213;-751016;-962154;0;0;-160521;-1873691;318521;450546;14169;-374433;-254809;-61696;0;348704;-525494;-403012;-84491;341;-84150;126966;0;42816;-14529
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42248;283002;0;604261;1007171;282551;0;2176986;-715447;-1549289;0;0;-158656;-2423392;-246407;212003;0;-307510;-99890;-23271;307168;466697;-311877;243319;-3088;116;-2972;190486;0;187514;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42248;1564770;20254;81985;352234;127242;0;2146485;-1747465;-38307;-19905;0;-322962;-2128639;17846;34084;89316;-78413;-568778;-45519;5564;606407;-242887;-200227;-182380;-14187;-196567;240861;0;44294;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;42248;901366;0;199256;854927;187488;0;2143038;-1236920;-538596;0;0;-186096;-1961612;181426;6328;17852;-58779;-118042;-36192;18191;73297;-36819;-134163;47263;-458;46804;55165;-16405;85564;-39052
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42248;381372;31666;237534;524823;851576;0;2026972;-303947;-1199069;-29924;0;-53415;-1586355;440617;75292;35803;-103606;-221279;-36750;1384;164565;-234925;-319517;121100;-741;120359;-1948;-4740;113671;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42248;468153;0;335457;999700;0;0;1803311;-680927;-1256992;0;-107788;-90414;-2136121;-332810;40444;4637;-46663;-23396;-5678;233678;81204;-14074;270151;-62660;-2875;-65534;184199;-23624;95041;-35025
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42248;-485;123501;156913;1351652;149860;0;1781442;-14535;-1694064;-80356;0;23814;-1765142;16300;8063;7084;-31844;-61945;-5363;-9193;45676;-21743;-69265;-52965;-168;-53133;-35409;0;-88542;0
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42248;365387;33490;128206;814239;325628;23;1666973;-836456;-743028;-36584;0;-160152;-1776220;-109247;14147;3002;-55676;-41105;-18393;4;46541;-35024;-86503;-195750;-87;-195837;219878;0;24041;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42248;674398;566;175819;802439;0;0;1653222;-1325332;-12991;-484;-4086;-124305;-1467198;186025;12185;28387;-30145;-148862;-14573;57566;94317;-189353;-190479;-4454;368;-4086;41142;-3861;33195;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42248;736153;47616;48984;795197;0;0;1627950;-236426;-1180911;-30042;0;-136275;-1583653;44297;59110;19362;-1270;-84549;-38477;0;412263;-261943;104496;148793;-9908;138885;36506;0;175391;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42248;1156023;0;2061489;-2062264;408311;31390;1594948;-2674652;-4106868;0;0;-234258;-7015778;-5420829;673060;27814;-383634;-595728;-252167;2120047;10387116;-7619649;4356859;-1063970;506266;-557705;2908730;-502979;1848047;0
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42248;64194;0;68831;319491;924421;0;1376936;-32280;-1308870;0;0;-227;-1341377;35560;3935;0;-8141;-3218;-3997;0;4465;-2556;-9510;26049;0;26049;-8336;-319;17395;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42248;71855;0;261899;578630;349752;0;1262135;-61211;-1004095;0;0;4982;-1060325;201810;1102;309;-28594;-22164;-10066;0;1892;-32597;-90118;111692;-74;111618;-45739;0;65879;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42248;365715;0;555689;6045;23877;11260;962585;-609466;-205672;0;0;602;-814536;148049;46167;18;-26433;-95555;-9668;2550;18850;-29405;-93476;54573;-5;54568;-19064;0;35505;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42248;759674;283;93249;81997;22600;3467;961271;-351507;-27138;-282;0;-216583;-595511;365761;13057;36174;-82741;-149673;-28590;12565;89386;-269363;-379185;-13424;-46959;-60383;74487;0;14104;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;42248;187316;14359;14491;710728;0;0;926894;-45043;-777899;-10184;0;-10673;-843798;83096;0;13380;-10172;-34027;-8528;0;2790;-5200;-41757;41339;-2541;38797;-11377;-1485;25935;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42248;277335;0;113098;493262;0;0;883695;-76525;-248108;0;-474204;-3680;-802517;81178;55951;107;-90704;-23104;-12280;0;111749;-6158;35561;116740;-64;116675;6375;0;123050;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;42248;802705;0;45022;0;0;0;847726;0;0;0;0;-205322;-205322;642404;69;0;-4545;-203280;-42779;0;85551;-65;-165048;477356;-153;477202;-200782;0;276421;-18000
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42248;218682;0;508799;0;0;4288;731769;-626965;-13708;0;0;-337;-641010;90759;98244;18;-21274;-53444;-16598;1066;17377;-58867;-33476;57283;8720;66003;-23095;-1167;41741;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;42248;81401;480024;128575;0;0;0;690000;-229828;-34015;-381265;0;-11377;-656486;33515;0;0;0;-9413;-2333;0;3102;-3736;-12380;21134;0;21134;-10092;0;11042;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42248;25916;0;248836;-120113;533626;0;688264;-60793;-74835;0;0;-1555;-137182;551082;148632;971;-169669;-36676;-12950;0;115;-469774;-539350;11732;-325;11406;4876;0;16283;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42248;323623;54133;170785;94934;20600;0;664075;-328195;-73572;-43321;0;-25545;-470633;193443;8419;7491;-40534;-25579;-9293;5553;24143;-118215;-148015;45428;-603;44825;-12046;-2180;30599;0
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42248;575434;0;62454;1377;4868;6652;650787;-281616;-2535;0;0;-129744;-413895;236892;59131;32780;-177327;-110091;-24183;8901;23011;-102739;-290516;-53624;1327;-52296;82057;-5421;24339;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42248;324;0;802152;-213038;45352;0;634790;-115821;-4719;0;0;0;-120539;514251;66350;0;-86415;-24500;-12512;64177;222292;-587761;-358369;155881;0;155881;-29409;0;126472;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;42248;177833;0;88664;353909;10813;0;631219;-340421;-380322;0;0;-55674;-776417;-145197;19603;124;-21508;-20724;-1175;4789;81300;-25701;36707;-108490;-531;-109020;129099;-9716;10363;-20949
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42248;204064;9308;369028;0;7235;9900;599535;-401836;-5933;-7650;0;-78684;-494103;105432;44280;21826;-77279;-59657;-14728;5676;8952;-19567;-90497;14936;894;15830;28570;-4892;39507;-12000
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42248;17906;0;60211;9503;511665;0;599285;-43263;-786498;0;0;541;-829220;-229935;11532;63;-19557;-12391;-2961;-79;401472;-119725;258352;28417;-10;28407;-13398;0;15009;0
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42248;546800;32045;9819;0;0;0;588663;-354300;0;-31761;0;-69327;-455388;133276;40830;26912;-134;-126021;-32209;6406;28768;-24326;-79775;53501;366;53866;-5339;0;48527;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;42248;245889;0;56674;61666;189814;0;554042;-45700;-446395;0;0;-1786;-493881;60161;5258;2;-9510;-5092;-2964;0;14225;-11752;-9833;50328;10;50338;-19214;-275;30849;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;42248;511519;0;7619;0;0;0;519138;-5206;0;0;0;-290398;-295604;223535;77773;59128;-23805;-116592;-37382;0;22917;-47641;-65602;157932;0;157932;-50510;0;107423;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;42248;301143;0;132873;43464;28159;0;505639;-374266;-74458;0;0;-27497;-476220;29419;5860;829;-36332;-21685;-3741;104;22311;-37530;-70185;-40766;-1221;-41988;-4064;0;-46052;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;42248;104714;0;10779;1921;359348;0;476762;-28385;-410852;0;0;-31497;-470734;6028;1;0;-1045;-1621;-2504;0;4;-3580;-8744;-2716;0;-2716;2105;0;-610;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42248;193626;0;226854;2855;10612;0;433948;-80260;-150480;0;0;-49486;-280226;153722;120464;27038;-120216;-69384;-24307;0;155972;-134602;-45036;108686;563;109249;-34192;0;75057;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;42248;394202;0;62412;-68909;31038;0;418744;-115249;-162490;0;0;-40686;-318425;100318;8496;8;-30284;-24390;-9982;334;1869;-16474;-70423;29896;-145;29751;11879;-6429;35200;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;42248;0;0;141186;149909;109133;0;400228;-64422;-233934;0;0;0;-298356;101871;70908;0;-83730;-30742;-12516;0;37635;-31952;-50397;51474;1299;52773;-34296;-992;17484;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;42248;360557;0;3438;5691;0;0;369687;-8077;-284666;0;0;-52689;-345432;24255;10985;154;-8070;-4619;-3643;0;356;-15;-4852;19403;26604;46008;-4126;-844;41038;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;;I;3;SAO PAULO;SP;42248;8001;0;57545;104337;181829;0;351711;-20064;-279861;0;0;-553;-300478;51233;11573;0;-12256;-5952;-6338;0;14914;-3713;-1772;49461;-1;49460;-28598;0;20862;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42248;277311;0;68858;4776;0;0;350945;0;-181631;0;0;-44319;-225950;124995;10126;0;-40878;-9929;-8128;0;5256;-5835;-49388;75607;-539;75068;-32346;0;42722;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;42248;335074;0;13843;0;54;0;348971;-20362;0;0;0;-138119;-158481;190489;48432;16593;-4197;-63628;-21061;0;1382;-115874;-138353;52136;19;52155;-20373;-65;31718;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;42248;343020;0;5721;0;33;0;348774;-16312;0;0;0;-221928;-238239;110535;14750;18665;-9300;-43409;-42569;0;36771;-20870;-45962;64573;-22045;42527;-8947;0;33580;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;42248;292579;0;46301;0;1785;1329;341994;-115503;-132;0;0;-22163;-137798;204196;2492;15519;-63558;-62452;-11906;0;7679;-12791;-125017;79179;221;79400;-40186;-5054;34160;-7774
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;42248;8819;0;21152;113554;174261;0;317786;-22466;-315139;0;0;-2672;-340277;-22491;9989;65;-11721;-7056;-530;32059;17965;-2517;38255;15764;0;15764;11421;-607;26578;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;42248;158709;297;25983;132547;0;0;317536;-111018;-6310;-254;0;-12820;-130402;187135;2808;40;-4757;-7813;-2543;0;1387;-148015;-158893;28241;-3784;24458;2904;-357;27004;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;42248;182250;0;27396;81375;25797;0;316818;-29225;-234795;0;0;-40788;-304809;12009;7472;2713;-29251;-9891;-5172;0;42054;-15234;-7309;4701;-1312;3389;24164;-2153;25400;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42248;9563;0;296810;0;0;0;306373;-296758;0;0;0;0;-296758;9615;0;0;-6121;54824;0;2;1912;-60233;-9615;0;0;0;0;0;0;0
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;42248;183088;58;37701;70877;0;0;291723;-70622;-79764;-19;0;-32450;-182855;108869;243512;19114;-5396;-213711;-36290;0;33062;-12569;27721;136590;247;136837;-17541;0;119295;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;42248;238406;0;41144;2821;9070;0;291442;-158724;-10681;0;0;-31763;-201168;90273;2125;1870;-13254;-51956;-5818;5993;458;-3578;-64162;26112;12294;38406;-340;-1559;36507;-18637
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;42248;214484;0;14054;45967;0;0;274505;-30976;-68386;0;0;-141492;-240854;33651;113232;30463;-27652;-75379;-23187;0;36793;-68114;-13844;19807;0;19807;14583;-2502;31888;0
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;42248;74658;0;59457;59299;74195;0;267608;-68185;-89990;0;0;-16484;-174659;92949;4701;6;-10095;-9132;-2415;11852;561;-75643;-80165;12784;0;12784;8073;0;20857;-10223
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42248;249247;3660;1467;0;0;0;254374;-41206;-68752;-2769;0;-29868;-142595;111779;38;3782;-25792;-24946;-9922;0;27179;-19258;-48919;62860;-15776;47085;13850;0;60934;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;42248;113406;504;43939;39457;38488;0;235794;-86352;-115715;-433;0;-6638;-209138;26656;160;4654;-13666;-13950;-2041;18066;9531;-4640;-1886;24770;-476;24294;9181;-3574;29901;0
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;42248;202972;1956;10107;4552;0;0;219588;-87113;0;-1285;0;-51532;-139930;79658;2857;19145;-10168;-67800;-9248;-428;21696;-42031;-85977;-6319;-1377;-7695;28097;0;20402;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;42248;165804;7444;47192;-3039;0;0;217402;-66987;-20728;-5845;0;-36569;-130129;87273;2263;9;-12129;-18519;-5520;0;6587;-10599;-37907;49365;715;50080;13893;-1008;62965;0
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;;I;3;SAO PAULO;SP;42248;50784;0;13466;0;146119;0;210369;-4435;-193614;0;0;-245;-198294;12075;16;8;-3676;-2741;-578;0;39;0;-6932;5142;-13;5130;-2495;-143;2492;0
BONSUCESSO - PRUDENCIAL;1000080422;b1;;I;2;BELO HORIZONTE;MG;42248;100369;0;43281;49854;7136;0;200639;-55678;-31;0;0;-4627;-60336;140303;1487;5141;-6470;-69109;-5957;5923;37241;-84663;-116406;23897;80;23978;-7344;0;16634;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;42248;66000;0;95080;0;0;23405;184484;-105368;0;0;0;-2938;-108307;76178;0;1345;-23557;-12872;-4562;0;1536;-4638;-42748;33430;1013;34443;0;0;34443;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;42248;23546;0;19952;3235;137370;0;184104;-39239;-3216;0;0;-1719;-44174;139930;20771;487;-32264;-37493;-5401;260;5061;-73192;-121771;18159;155;18314;-7456;-569;10289;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;42248;13;173913;0;1357;0;0;175283;0;-27217;-132155;0;-35552;-194925;-19642;0;0;0;-5374;-1258;0;1230;-538;-5940;-25583;253;-25330;21346;0;-3984;0
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;42248;59769;0;137751;-86649;58708;0;169580;-119784;-21360;0;0;-67051;-208195;-38615;11265;3351;-20221;-23313;-1515;2614;29981;-1125;1036;-37579;-1417;-38997;29532;-2313;-11778;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;42248;145077;0;19825;0;0;0;164902;-15396;-96263;0;0;-25767;-137425;27477;9706;2567;-11469;-8213;-274;0;1423;-10544;-16803;10673;-4199;6474;-2003;0;4471;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;42248;115592;0;47909;0;0;134;163635;-72963;-1543;0;0;-32593;-107099;56536;29272;5529;-44150;-35122;-10760;0;36788;-18713;-37158;19378;295;19673;6237;-2703;23206;-4497
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;42248;3827;0;155105;0;0;0;158932;-155105;0;0;0;-1;-155106;3826;0;0;-5657;36774;0;1;368;-35301;-3815;11;-11;0;0;0;0;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;42248;70668;0;22680;31499;33390;0;158236;-52349;-85260;0;0;-8492;-146101;12135;2998;1054;-11481;-6098;-2973;0;13127;-133;-3506;8629;0;8629;4101;0;12730;-8500
BMW - PRUDENCIAL;1000080635;n1;;C;3;SAO PAULO;SP;42248;58562;4071;495;93635;0;0;156763;-23216;-122325;-3850;0;29;-149363;7400;576;1890;-3078;-6032;-213;0;28661;-10418;11387;18787;0;18787;-8118;0;10669;0
CAIXA GERAL - PRUDENCIAL;1000080927;b1;;C;3;SAO PAULO;SP;42248;27835;0;37389;91391;0;0;156615;-27124;-7525;0;-117323;-566;-152539;4076;4408;0;-7991;-6974;-1817;0;17340;-3089;1876;5952;2;5954;-169;0;5786;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;42248;78988;53516;18106;0;0;0;150610;0;-18510;-47918;0;-30174;-96602;54008;6156;56;-14220;-21246;-4336;0;1813;-6375;-38151;15857;-206;15651;18171;0;33822;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;42248;90462;0;56240;0;0;0;146702;-48004;-14184;0;0;2257;-59931;86771;1495;1003;-18071;-14989;-203;0;1012;-1498;-31251;55520;-76;55444;-336;-1566;53543;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;42248;110915;0;30718;0;0;0;141633;-55536;-1847;0;0;-13846;-71228;70405;7256;3790;-21417;-28038;-115;0;1294;-1856;-39086;31319;-40;31279;0;-1698;29581;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;42248;112428;0;17939;4833;0;0;135200;-42048;-6731;0;0;-35205;-83984;51216;32721;20602;-33551;-48626;-9182;783;11037;-4248;-30463;20753;309;21063;4267;-4466;20864;-6101
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;42248;117457;0;12086;4454;0;0;133996;-63261;-668;0;0;-14644;-78573;55423;1830;1801;-13972;-31595;-3578;581;256;-2347;-47024;8398;-893;7505;1729;0;9234;-4430
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;42248;85;0;126266;0;0;0;126351;-120291;0;0;0;0;-120291;6061;0;0;-897;-766;-5;4243;6;-92;2489;8550;0;8550;0;0;8550;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;42248;97173;5711;325;15224;0;0;118432;-9683;-46248;-3074;0;-37352;-96357;22074;2851;597;-9517;-8163;-2860;0;7025;-788;-10854;11220;509;11729;-5254;0;6475;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;42248;94644;0;21368;0;0;0;116012;0;-49935;0;0;-46109;-96044;19968;1960;425;-9482;-4139;-2803;0;2391;-5891;-17541;2427;0;2427;-2932;0;-505;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;42248;850;0;110697;3;0;3002;114552;-103687;-4192;0;0;89;-107791;6761;56;0;-5517;-2461;-5;6544;8682;-2195;5103;11864;1;11863;-10;-151;11703;0
