Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42522;14148108;415247553;120105520;633652199;-35849822;597802377;293384;717939;307290;-71462;1247152;197149471;74624350;26913082;1447237614;307290;1446930323
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42522;21711321;265620418;213851048;436578859;-34303241;402275618;6983635;5905712;3684238;-358198;16215387;222370087;76709388;43623101;1262376367;3684238;1258692129
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42522;9650572;149619035;180443032;679642687;-36286420;643356267;0;0;0;0;0;77067283;140684872;13326168;1214147230;0;1214147230
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42522;16989;82099308;155272982;381558194;-7880326;373677868;0;0;0;0;0;36166568;274932586;13056782;935223082;0;935223082
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42522;32273678;138706032;191014694;306474064;-27657388;278816675;90544;4883270;2642705;-170478;7446041;172889193;53475783;44895638;919517734;2642705;916875029
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42522;5206744;64207833;145979821;206990500;-15738817;191251683;21007;5212541;2546380;-57657;7722271;164111856;63832329;15671982;657984519;2546380;655438139
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42522;12772937;34484914;62091616;41441436;-1025361;40416075;0;0;0;0;0;40682030;2230704;10627315;203305592;0;203305592
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42522;3439886;14572774;30266651;53739712;-5230514;48509199;8526;709720;98071;-27795;788522;33007996;15783931;2876855;149245814;98071;149147743
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42522;945905;32521653;47701260;38032526;-2501179;35531346;67636;2877134;1538503;-68880;4414393;11304251;2054593;3236589;137709990;1538503;136171486
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42522;141196;19855391;31689637;44156604;-2755379;41401225;2803;129410;25472;-9357;148329;13239271;1165028;489291;108129367;25472;108103896
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42522;403162;11360463;30889830;14672177;-930898;13741278;1128;204625;23718;-4716;224755;19454182;4350858;639650;81064178;23718;81040460
