Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;42522;1695095;0;1695095;929290;2624384;14895239;800245;219261;779990;0;1799496;1175040;17869775;18478410;0,0949;0,0949;0,1469;0,0917;0,0078
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42522;2606050;0;2606050;966118;3572169;15501391;0;0;0;0;0;1297735;16799126;19966644;0,1551;0,1551;0,2126;0,1305;0,0072
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42522;2788651;0;2788651;0;2788651;15140228;1284;0;42663;0;43947;940006;16124182;22382843;0,1729;0,1729;0,1729;0,1246;0,0878
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;42522;2851118;0;2851118;0;2851118;11947626;314774;0;1409431;49938;1774142;2347689;16069457;20011030;0,1774;0,1774;0,1774;0,1425;0,0913
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42522;2235686;0;2235686;0;2235686;14121619;18220;0;0;9918;28138;914998;15064755;21465795;0,1484;0,1484;0,1484;0,1042;0,0118
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;;C;2;RIO DE JANEIRO;RJ;42522;4980460;0;4980460;0;4980460;550586;0;0;1970606;9041063;11011669;388412;11950667;6650949;0,4168;0,4168;0,4168;0,7488;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42522;1609762;0;1609762;0;1609762;7267887;132301;0;2900289;0;3032591;1123280;11423758;16867568;0,1409;0,1409;0,1409;0,0954;0,0126
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42522;1703533;0;1703533;0;1703533;6929925;245667;0;1869308;0;2114974;1340143;10385042;17248311;0,164;0,164;0,164;0,0988;0,0299
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42522;968074;0;968074;370419;1338493;9349981;23800;607;50780;34826;110014;808794;10268789;14559954;0,0943;0,0943;0,1303;0,0665;0,1448
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42522;1559050;0;1559050;0;1559050;8563083;84;0;0;0;84;1416326;9979494;12546402;0,1562;0,1562;0,1562;0,1243;0,0377
