Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44348;124964336;16710028;141674364;14887030;156561395;941020567;4587240;1190192;12748050;7055156;25580638;82026127;1048627332;1883387854;0,1192;0,1351;0,1493;0,0752;0,1795
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44348;115591995;9420217;125012212;16095702;141107914;799070311;9866480;31557;7858233;904231;18660501;66907975;884638786;1493789650;0,1307;0,1413;0,1595;0,0837;0,2962
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44348;112036523;26906825;138943348;24209844;163153192;705828230;12729474;806418;7349045;0;20884937;103777787;830490954;1870347726;0,1349;0,1673;0,1965;0,0743;0,1428
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44348;73061863;6318230;79380093;6308069;85688163;508910173;6587466;1104769;9430634;1709887;18832756;54851805;582594733;982446405;0,1254;0,1363;0,1471;0,0808;0,1522
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44348;88901176;1713241;90614417;26165775;116780192;487471534;548239;0;15715352;112720;16376310;77302337;581150182;1482025068;0,153;0,1559;0,2009;0,0611;0,1332
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44348;143307749;0;143307749;42143187;185450936;401727627;28508583;0;390072;0;28898654;50877376;481503657;829810589;0,2976;0,2976;0,3851;0,1727;0,0582
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44348;30829226;383643;31212869;3846649;35059518;167996503;1962718;6258980;12719787;4357524;25299008;9943021;203238532;440741885;0,1517;0,1536;0,1725;0,0708;0,3277
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44348;14309840;2591318;16901158;3176808;20077966;124338175;861860;0;7396939;1129147;9387946;6040472;139766593;245232350;0,1024;0,1209;0,1437;0,0689;0,3345
