Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44348;1844214223;724712112;1697583494;1257466309;146630729;13746909;156561395;0,1493;0,1795;2907;884
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44348;1843756573;705936999;1708152384;1454110077;135604189;9808931;163153192;0,1965;0,1428;3988;722
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44348;1461361686;819004200;1387141240;1202650793;74220446;10258127;116780192;0,2009;0,1332;3374;842
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44348;1387506720;545449408;1240999888;1005552216;146506832;12139219;141107914;0,1595;0,2962;3276;1368
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44348;955210520;438286978;871258102;677438207;83952418;7223196;85688163;0,1471;0,1522;2649;1940
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44348;728459865;292381708;606153829;211811792;122306036;15116080;185450936;0,3851;0,0582;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44348;331074330;90906195;294457346;225951621;36616985;2854893;35059518;0,1725;0,3277;38;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44348;226983332;94319701;212407503;178622069;14575830;1128158;20077966;0,1437;0,3345;120;4
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44348;118846848;62579475;107326289;83762031;11520559;823767;11653023;0,1525;0,1789;9;28
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44348;115891424;24976213;105298849;55581351;10592575;617314;10376755;0,1642;0,023;89;8
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44348;98102637;36640135;89448536;74964837;8654101;544161;6697102;0,1477;0,1089;520;127
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44348;96146154;4144652;89728268;53111602;6417886;466618;6361036;0,1376;0,0126;9;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;44348;91687687;60193;78726129;6862839;12961558;486679;NA;NA%;NA%;1;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44348;77984036;7972404;73681082;35239341;4302954;194269;2898900;0,1464;0,0429;6;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44348;74433270;15175857;72600223;66252406;1833047;29256;1767408;0,1314;0,0557;7;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44348;71055776;13522886;68931555;57725330;2124221;117632;2108180;0,1368;0,1244;8;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44348;62807676;14149480;55867726;22910126;6939950;710423;9359736;0,136;0,0268;296;2
