Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44348;136603035;184239294;2892113;471871621;137794;928642;796672500;250248638;6299049;10424306;33466968;59029578;18405470;127625372;82919800;1257466309;65712627;371282803;1694461739;3121755;146630729;1844214223
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44348;118091948;223426548;24641031;310230896;361555;9330001;686081979;585482537;12778153;71914686;30199;29612851;2192;114338080;68207480;1454110077;2901218;250939725;1707951020;201364;135604189;1843756573
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44348;48704159;371409069;114774;181587155;0;11753243;613568400;205840963;28006946;6352;1601789;2584156;0;32199242;351042188;1202650793;1989042;172919405;1377559240;9582000;74220446;1461361686
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44348;53465550;137400709;2739749;355849609;330674;1009868;550796159;254483309;26333305;13560746;81262710;10045748;12450692;143653201;56619547;1005552216;21230748;214063382;1240846345;153543;146506832;1387506720
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44348;41695764;64748382;4616757;289013633;261215;476025;400811777;123620376;24859889;14526041;20719320;8438949;5130518;73674717;79331338;677438207;30200636;163209330;870848173;409929;83952418;955210520
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44348;0;0;93407;0;0;5985379;6078786;29392056;0;0;1019427;8074693;1309475;10403595;165937355;211811792;282461;394059118;606153371;458;122306036;728459865
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44348;7663753;0;2757632;88444234;0;389043;99254661;62919409;2141611;6927948;34055679;13941385;536027;57602650;6174900;225951621;16693574;51553534;294198728;258617;36616985;331074330
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44348;1803672;4117645;462932;64659876;294738;32;71338895;39844041;749601;9817827;34838963;2325568;5391120;53123079;14316053;178622069;9895489;23829814;212347372;60131;14575830;226983332
