Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44348;39748928;215219768;504408387;628506989;-45248481;583258508;8184323;405533;158446;-292836;8455466;294359780;155524051;43397779;1844372669;158446;1844214223
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44348;25415053;571608256;292211478;643242461;-40832647;602409814;35764;274213;97431;-2807;404600;232171210;86252616;33380976;1843854003;97431;1843756573
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44348;12854531;172738121;281985039;809559640;-35387072;774172568;0;0;0;0;0;88598341;111315872;19697214;1461361686;0;1461361686
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44348;24192876;116576082;408792728;465546707;-41352780;424193928;16621;4065224;1339356;-61280;5359921;245000251;98971105;65759186;1388846077;1339356;1387506720
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44348;28179540;42916541;239842381;362032433;-24401131;337631302;6733;4531163;2083946;-32097;6589745;178081018;104948943;19104996;957294466;2083946;955210520
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44348;18771;96332993;159139696;290313715;-18935513;271378202;0;0;0;0;0;31672954;158326808;11590442;728459865;0;728459865
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44348;5181800;41838797;120156819;85215968;-2954942;82261025;0;0;0;0;0;57300279;9818160;14517451;331074330;0;331074330
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44348;1515912;8310642;90216907;80505223;-3170572;77334651;3231;1332243;455907;-5552;1785830;20374449;20994564;6906285;227439239;455907;226983332
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44348;289990;7089338;39456248;55194857;-3779292;51415566;19;74212;4503;-350;78384;16799067;1105482;2617277;118851351;4503;118846848
