Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
CCB - PRUDENCIAL;1000080295;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;17690770;1405553;42736;S3
ABC-BRASIL - PRUDENCIAL;1000080312;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;39069196;1325018;42736;S3
PINE - PRUDENCIAL;1000080374;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;9281641;86033;42736;S3
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;27133581;NI;42736;S3
ING - PRUDENCIAL;1000080501;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;14396386;NI;42736;S3
DEUTSCHE - PRUDENCIAL;1000080532;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;9782266;0;42736;S3
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;29598146;NI;42736;S3
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;8591169;NI;42736;S3
ALFA - PRUDENCIAL;1000080570;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;14804922;NI;42736;S3
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;20591087;19626;42736;S3
HAITONG - PRUDENCIAL;1000080666;b2;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;6709627;37112;42736;S3
BNP PARIBAS - PRUDENCIAL;1000080673;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;36821486;NI;42736;S3
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;10287584;NI;42736;S3
SICREDI - PRUDENCIAL;1000080745;b1;C;2;PORTO ALEGRE;RS;43252;Sim;Sim;Não;47941055;NI;42736;S3
GMAC - PRUDENCIAL;1000080848;b2;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;11265079;NI;42736;S3
BANCOOB - PRUDENCIAL;1000080879;b1;C;2;BRASILIA;DF;43252;Sim;Sim;Não;49214015;NI;42736;S3
ORIGINAL - PRUDENCIAL;1000080903;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;9715772;11100;42736;S3
APE POUPEX - PRUDENCIAL;1000081184;n1;I;2;BRASILIA;DF;43252;Não;Sim;Não;7664621;NI;42736;S3
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;I;1;BELEM;PA;43252;Sim;Sim;Não;27576334;NI;42736;S3
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;C;1;PORTO ALEGRE;RS;43252;Sim;Sim;Não;17799316;NI;42736;S3
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;I;1;BELO HORIZONTE;MG;43252;Sim;Sim;Não;6903807;NI;42736;S3
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;I;3;CURITIBA;PR;43252;Sim;Sim;Não;8151478;NI;42736;S3
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;6116113;249745;42736;S3
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;31393019;0;42736;S3
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;10711566;NI;42736;S3
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;C;2;RIO DE JANEIRO;RJ;43252;Sim;Sim;Não;7789670;NI;42736;S3
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;I;3;SAO PAULO;SP;43252;Sim;Sim;Não;13811570;NI;42736;S3
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;9698002;263558;42736;S3
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;25241805;82684;42736;S3
CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB CENTRAL MT/MS;106180;b3C;I;2;CUIABA;MT;43252;Sim;Sim;Não;270452;NI;42736;S4
COOPERATIVA DE CRÉDITO UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM;184068;b3C;I;2;BELO HORIZONTE;MG;43252;Sim;Sim;Não;947302;NI;42736;S4
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;I;2;BELO HORIZONTE;MG;43252;Sim;Sim;Não;4898407;NI;42736;S4
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.;315557;b3C;I;2;SAO PAULO;SP;43252;Sim;Sim;Não;702453;NI;42736;S4
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED CENTRAL SC/PR;543968;b3C;I;2;FLORIANOPOLIS;SC;43252;Sim;Sim;Não;2332903;NI;42736;S4
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL;692214;b3C;I;2;BRASILIA;DF;43252;Sim;Sim;Não;611968;NI;42736;S4
COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA;966246;b3S;I;2;ITAI;SP;43252;Sim;Sim;Não;432051;NI;42736;S4
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;I;2;FRANCISCO BELTRAO;PR;43252;Sim;Sim;Não;2048595;NI;42736;S4
CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS;1634601;b3C;I;2;PORTO ALEGRE;RS;43252;Sim;Sim;Não;1611506;NI;42736;S4
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;LONDRINA;PR;43252;Sim;Sim;Não;2242189;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2843443;b3S;I;2;JOINVILLE;SC;43252;Sim;Sim;Não;524315;NI;43009;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS PROFISSIONAIS MÉDICOS E DA SAÚDE DE CURITIBA E REGIÃO METROPOLITANA - SICREDI MEDICRED PR;2924977;b3S;I;2;CURITIBA;PR;43252;Sim;Sim;Não;44544;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS;3042597;b3S;I;2;CAMPO GRANDE;MS;43252;Sim;Sim;Não;676856;NI;43160;S4
UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.;3046391;b3C;I;2;LONDRINA;PR;43252;Sim;Sim;Não;2015252;NI;42736;S4
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE;3502131;b3C;I;2;PORTO VELHO;RO;43252;Sim;Sim;Não;854373;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE – SICREDI CELEIRO CENTRO OESTE;3566655;b3S;I;2;SAO GABRIEL DO OESTE;MS;43252;Sim;Sim;Não;906467;NI;42736;S4
CENTRAL DAS COOPERATIVAS DE CREDITO MUTUO DO RIO GRANDE DO SUL;3618104;b3C;I;2;PORTO ALEGRE;RS;43252;Sim;Sim;Não;407871;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DO ESTADO DE SANTA CATARINA – SICREDI SUL SC;3793242;b3S;I;2;CRICIUMA;SC;43252;Sim;Sim;Não;451477;NI;42736;S4
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO BRASIL CENTRAL, AMAZÔNIA OCIDENTAL E MUNICÍPIO DE UBÁ;4243780;b3C;I;2;GOIANIA;GO;43252;Sim;Sim;Não;1904534;NI;42736;S4
COOPERATIVA CENTRAL DE CRÉDITO NOROESTE BRASILEIRO LTDA.;4632856;b3C;I;2;JI-PARANA;RO;43252;Sim;Sim;Não;240666;NI;42917;S4
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB;5036532;b3C;I;2;MARINGA;PR;43252;Sim;Sim;Não;1933926;NI;42736;S4
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;I;2;BLUMENAU;SC;43252;Sim;Sim;Não;4530714;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CERRADO DE GOIÁS - SICREDI CERRADO GO;6332931;b3S;I;2;RIO VERDE;GO;43252;Sim;Sim;Não;334885;NI;42736;S4
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS;7202627;b3C;I;2;CHAPECO;SC;43252;Sim;Sim;Não;1151992;NI;42736;S4
