Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43252;1448374133;633371568;1356513049;1138409533;91861084;5907407;130078024;0,1845;0,1425;4770;1248
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43252;1356641660;518509874;1220907418;923458170;135734242;11668326;134072349;0,1717;0,2141;3394;993
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43252;1272444022;695321521;1232318725;1054728005;40125297;5832657;100211346;0,191;0,0941;3390;798
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43252;1030977855;390580748;917868995;741714192;113108860;9003006;97784970;0,1486;0,4488;4745;1479
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43252;834461132;317161318;762973921;423773128;71487211;4760493;158036950;0,29;0,0795;5;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43252;737891063;290478643;671953625;512611133;65937438;5981956;62079262;0,1476;0,129;2687;1236
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43252;161765338;64283151;151290298;132333710;10475041;1057892;14072173;0,1278;0,3264;115;5
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43252;155873133;17865936;136697605;90503034;19175528;1223214;15542920;0,1729;0,3017;15;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43252;97476352;49016418;88339495;64927784;9136857;548116;9576470;0,1602;0,208;92;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43252;78285491;0;64502042;6609626;13783449;1743312;NA;NA%;NA%;0;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43252;75388848;32007012;68354089;58037117;7034759;505921;5963422;0,1502;0,0549;541;146
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43252;73809016;10249989;65287407;35708118;8521608;590026;8281749;0,146;0,0159;134;22
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43252;57826144;10446096;54053759;17206600;3772385;231818;6550991;0,1568;0,0232;309;2
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43252;47563883;9314338;46302258;44013353;1261624;51027;1416059;0,2193;0,0884;7;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43252;47024318;6253448;45331989;39176517;1692329;132636;1683231;0,1952;0,0984;7;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43252;46583973;16138462;43209084;19079406;3374888;94179;3955644;0,1384;0,0139;7;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43252;43033692;1817902;38200243;21496783;4833449;190913;4670889;0,1527;0,0222;11;1
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43252;39517444;4162560;35758652;17481475;3758792;171768;5128151;0,2045;0,0115;10;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43252;35379634;1710385;33905791;7331549;1473843;22048;1440157;0,314;0,0197;3;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43252;30923545;12352387;27477585;21612995;3445961;220201;4153209;0,1614;0,0062;8;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43252;26791046;19111095;22774668;17646629;4016378;98764;2437753;0,1369;0,1687;5;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43252;26736296;18738882;24103779;19948788;2632516;-31464;4249088;0,1756;0,0034;18;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43252;26494321;15038422;23297751;19764402;3196570;291733;3204048;0,1579;0,2734;42;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43252;25391756;2385521;23784272;6270382;1607485;-18935;785332;0,1106;0,0277;5;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43252;23346547;4036569;21934032;21163050;1412515;81204;1367909;0,1684;0,1561;130;30
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43252;23069909;660492;20584458;12312098;2485451;88176;2485451;0,1736;0,0241;4;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43252;21990070;8335089;20171077;16178938;1818993;30683;2228937;0,2272;0,0229;14;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43252;20922134;2762363;19526073;7825712;1396062;77698;1395855;0,254;0,0025;4;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43252;18651604;3034169;16769118;5236137;1882486;-26212;2358881;0,1313;0,0668;121;1
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43252;18256492;2118376;15178248;5996161;3078243;37478;2877094;0,1927;0,0055;4;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43252;16919751;13895131;14343080;13493487;2576671;65739;2570151;0,1675;0,008;4;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43252;16548094;2726027;15657289;6491483;890805;10449;851421;0,1713;0,0021;4;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43252;16220351;9095682;13485083;9847639;2735268;78197;1284124;0,1389;0,1699;36;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43252;15613619;13167494;12686001;9202680;2927618;297744;3829995;0,2787;0,0014;3;0
