Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43252;110457339;7745826;118203165;15869184;134072349;685245315;5607367;819076;15760247;2828162;25014853;70467973;780728141;1390407289;0,1415;0,1514;0,1717;0,085;0,2141
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43252;66676147;24002355;90678502;39399522;130078024;611008193;20658420;4602;9023157;0;29686179;64186019;704880390;1157385491;0,0946;0,1286;0,1845;0,0783;0,1425
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43252;69588741;5204706;74793447;22991523;97784970;588341325;4410823;559094;10873139;227692;16070748;53509834;657921906;1109253593;0,1058;0,1137;0,1486;0,0674;0,4488
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43252;105357967;0;105357967;52678983;158036950;466892616;29776703;0;10549713;0;40326416;37748803;544967834;941147165;0,1933;0,1933;0,29;0,1119;0,0795
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43252;65522616;0;65522616;34688730;100211346;445203405;3192263;1680843;5509325;136137;10518568;69051696;524773669;1318082720;0,1249;0,1249;0,191;0,0497;0,0941
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43252;52244232;4881659;57125891;4953371;62079262;354376884;4821069;0;19820958;4160141;28802168;37372300;420551352;686816246;0,1242;0,1358;0,1476;0,0832;0,129
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43252;10255542;1151371;11406913;2665260;14072173;92523944;6895374;0;1833913;23;8729310;8845122;110098376;186253654;0,0931;0,1036;0,1278;0,0612;0,3264
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43252;9949687;3535657;13485344;2057576;15542920;57021780;1246729;5020603;10635142;7052220;23954694;8934201;89910675;174114020;0,1107;0,15;0,1729;0,0775;0,3017
