Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41334;530122;1356;64304;-25963;200;1740;571759;-224355;-410;-1082;0;-135149;-360996;210763;13201;16782;-82926;-112360;-3597;2576;29066;-49565;-186823;23940;-8508;15432;-4991;-92;10348;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41334;263918;223843;13881;0;0;0;501642;-123842;0;-215293;0;-54354;-393489;108153;5251;14426;-412;-82574;-16096;-14869;88326;-19711;-25658;82495;0;82495;-39819;0;42676;0
BRB;31976;b1;;C;1;BRASILIA;DF;41334;408527;0;25576;0;276;4734;439114;-101140;-641;0;0;-38154;-139935;299179;6534;30316;-139886;-68498;-20243;4582;19176;-38193;-206212;92967;-6779;86188;-18635;-8496;59056;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41334;85828;0;349338;-9618;10632;0;436179;-147266;-25881;0;0;-1169;-174315;261864;235417;0;-165858;-43639;-33572;-43633;91788;-113061;-72559;189305;0;189305;-101901;0;87405;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41334;383108;0;57561;-38654;19319;0;421333;-176170;-14573;0;0;-91610;-282353;138980;6443;10135;-39314;-84515;-23098;4795;100359;-11642;-36837;102143;-1811;100332;-25358;-9260;65714;-24486
BIC;32119;b1;;C;2;SAO PAULO;SP;41334;418691;48326;25345;-108733;7265;20;390913;-227536;-23681;-36785;0;-58104;-346107;44807;12291;6340;-53841;-47895;-19962;307;77153;-38030;-63637;-18830;-1506;-20336;30647;-7484;2826;-26000
ALFA;51293;b1;;C;2;SAO PAULO;SP;41334;201783;61477;92897;25926;4900;0;386982;-176618;-22171;-54214;0;-12229;-265232;121750;7624;8697;-42874;-26968;-6571;1850;25751;-40704;-73195;48555;611;49166;-14466;-2111;32589;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41334;283484;47361;15889;27024;0;0;373759;-126916;-8449;-34454;-15635;-31063;-216517;157242;50015;10251;-90797;-161157;-19725;3375;261928;-137783;-83893;73349;148;73497;-26182;-4199;43117;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41334;351408;0;29557;-19149;1127;0;362943;-158620;-8125;0;0;-82160;-248905;114038;9829;610;-47638;-124034;-11652;-4263;61059;-20645;-136736;-22699;-1438;-24137;16742;-15910;-23305;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41334;259293;0;67317;5893;10535;0;343038;-181498;-77225;0;0;-17127;-275850;67187;30752;2202;-32633;-18607;-9757;-5106;141724;-70200;38374;105561;87;105648;-26990;-18601;60057;-21371
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41334;143614;0;170478;-494;1698;6555;321851;-222164;-76143;0;0;-538;-298845;23006;5919;9;-26680;-39284;-3754;2624;57640;-6947;-10473;12533;16;12549;-3958;0;8592;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;41334;308299;0;10536;0;0;0;318835;0;0;0;0;-64306;-64306;254529;1;0;-2846;-93489;-17066;0;63456;0;-49943;204586;1;204585;-76927;-275;127383;-13200
BANESTES;30159;b1;;C;1;VITORIA;ES;41334;169595;16151;122298;0;3852;6029;317926;-153607;-3199;-12374;0;-32841;-202022;115904;33337;15489;-60931;-49180;-11255;3106;12898;-12227;-68763;47140;-920;46221;-13167;-2487;30567;-10799
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41334;200099;105302;1666;0;0;0;307067;-20604;-82475;-101787;0;-39558;-244424;62642;3;2773;-15841;-18001;-8044;0;11517;-4307;-31899;30744;-7533;23210;-8303;0;14907;0
