Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BANESTES;30159;b1;;C;1;VITORIA;ES;41334;207143;4461131;3067040;3467035;-152377;3314658;738;160627;79202;-3092;237475;776549;741490;200726;13006212;79202;12927010
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41334;72367;2603411;831240;7034482;-391932;6642551;0;0;0;0;0;2112333;380215;209413;12851531;0;12851531
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41334;87193;1503620;5659887;2056129;-71625;1984504;0;0;0;0;0;933165;317084;215481;10700934;0;10700934
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41334;67198;135636;1389989;6995633;-342671;6652962;0;0;0;0;0;1506387;304162;262561;10318894;0;10318894
PINE;50304;b1;;C;2;SAO PAULO;SP;41334;211602;610265;3633260;4296947;-189341;4107606;0;0;0;0;0;1323224;195579;157731;10239267;0;10239267
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41334;22006;2541602;4183898;136828;-19590;117238;0;0;0;0;0;3290663;1587;49719;10206714;0;10206714
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41334;80903;39008;0;8408288;-238421;8169868;2163;275502;176126;-6916;446875;1540367;15859;8372;10301252;176126;10125125
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41334;37;0;1290963;8204981;-277573;7927408;0;0;0;0;0;466652;24;24116;9709200;0;9709200
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41334;3406;373792;111999;6613861;-137281;6476580;6289;581264;423366;-7138;1003781;1622916;200954;187568;9980996;423366;9557630
BRB;31976;b1;;C;1;BRASILIA;DF;41334;167998;126394;1123001;6640402;-284844;6355559;0;0;0;0;0;916906;562198;167090;9419147;0;9419147
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41334;831;4833426;2841276;0;0;0;0;0;0;0;0;1565189;678;17908;9259307;0;9259307
BES;51482;b2;;C;3;SAO PAULO;SP;41334;28673;747980;5135658;1477345;-3200;1474145;0;0;0;0;0;363285;5082;147401;7902224;0;7902224
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41334;2521;2169676;1001970;251112;-7533;243579;0;0;0;0;0;4188188;1120;59338;7666392;0;7666392
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;41334;2890;2103095;1345004;628189;-5266;622923;0;0;0;0;0;3018040;65338;42005;7199294;0;7199294
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;41334;1775;522785;3890373;0;0;0;0;0;0;0;0;2356220;487;71589;6843228;0;6843228
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41334;373;294589;12533;4827065;-247813;4579253;2348;678505;294035;-21516;953372;252559;11229;6312;6110220;294035;5816186
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;41334;267;130304;5430548;0;0;0;0;0;0;0;0;172747;57;87;5734010;0;5734010
