Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41334;NA;NA;73271941;44005402;113665253;647215364;0;28031;2916212;6648;2950891;33436225;683602480;NA;NA%;NA%;0,1663;NA%;0,2471
ITAU;10069;b1;;C;2;SAO PAULO;SP;41334;NA;NA;80912489;39700707;120186700;568320527;0;769527;28270782;1992164;31032473;36720329;636073329;NA;NA%;NA%;0,189;NA%;0,4721
BRADESCO;10045;b1;;C;2;OSASCO;SP;41334;NA;NA;67783029;28740476;96394618;500385890;12407700;118227;77250376;6745481;96521783;21792200;618699873;NA;NA%;NA%;0,1558;NA%;0,4367
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41334;NA;NA;48354961;36152967;84288009;525806446;8320158;0;15483739;0;23803896;10062016;559672358;NA;NA%;NA%;0,1506;NA%;0,4798
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41334;NA;NA;29018631;29018631;56992371;377750466;0;0;4549903;0;4549903;19188863;401489232;NA;NA%;NA%;0,142;NA%;0,1206
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41334;NA;NA;63294437;4474643;67717053;279088025;0;7673;19428808;851136;20287617;15720333;315095974;NA;NA%;NA%;0,2149;NA%;0,3365
HSBC;51152;b1;;C;3;CURITIBA;PR;41334;NA;NA;9980436;2361947;12342383;77706992;1199292;0;6695474;50382;7945148;9579193;95231333;NA;NA%;NA%;0,1296;NA%;0,3323
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41334;NA;NA;7595235;3834977;11430213;77218739;0;26345;4038382;194836;4259564;2564749;84043052;NA;NA%;NA%;0,136;NA%;0,025
