Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/03/2014;17057089;2266714;7650305;632441;218678;1555643;29380869;-12816292;-990099;-2168581;0;-4223342;-20198314;9182555;3113640;1965400;-2668009;-4106518;-1005443;604381;8277246;-7927814;-1747116;7435439;165040;7600479;-1842804;-1912099;3845576;-2597056
BB;49906;b1;;C;1;BRASILIA;DF;01/03/2014;18019945;137933;8387908;-109149;431241;1419575;28287452;-16694169;-914689;-104694;0;-4027633;-21741184;6546268;2987113;1482008;-4240982;-4095410;-639989;385160;4562571;-2873375;-2432904;4113364;23319;4136682;-900296;-361790;2874596;-882332
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/03/2014;13696546;1493249;7000293;358298;0;1082075;23630461;-10809798;-502032;-1316657;-141655;-3232279;-16002421;7628040;2133375;1572810;-2714113;-3596293;-773044;782880;2717887;-2772701;-2649198;4978842;-103567;4875275;-1424858;0;3450417;-1212201
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/03/2014;14542028;0;6093357;-42522;149939;2040289;22783092;-11800965;-2684810;0;0;-2478216;-16963990;5819102;3501618;752570;-4284210;-2364578;-704817;172160;2215310;-3099531;-3811475;2007626;-67722;1939904;-187256;-242373;1510275;-348402
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/03/2014;9798178;774362;4929411;322876;746650;796852;17368329;-7824854;-203722;-838154;0;-3005193;-11871923;5496405;1779323;700385;-1449631;-3085506;-831630;72459;2077933;-3478354;-4215021;1281384;186995;1468379;-641212;-273788;553378;-5
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/03/2014;8564935;0;1986098;128380;38186;0;10717599;-605832;-6506281;0;0;19791;-7092322;3625277;52359;0;-226242;-107016;-124630;297041;1269704;-2381528;-1220312;2404965;-1871;2403093;-847914;0;1555179;0
HSBC;51152;b1;;C;3;CURITIBA;PR;01/03/2014;2419684;288319;1091117;-68239;273832;202513;4207225;-2028002;-184409;-253793;0;-579487;-3045692;1161533;241788;367678;-768687;-1076831;-153629;136938;474888;-304399;-1082253;79280;-17968;61312;-4419;-88017;-31124;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/03/2014;2746021;415722;941319;31805;0;278;4135145;-2117825;-59259;-406264;-10509;-760672;-3354530;780615;105119;139019;-325895;-279435;-93929;41238;378031;-628494;-664347;116268;142233;258501;-60360;-45885;152256;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/03/2014;1463908;168835;1492435;29473;9326;30803;3194780;-2065620;-110129;-172608;0;-214288;-2562644;632135;100870;54692;-262840;-185098;-63976;1049;465562;-206006;-95748;536388;-30786;505602;-142488;0;363114;-93117
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/03/2014;285941;0;1876444;43910;670742;8114;2885152;-1823037;-243216;0;0;-62635;-2128888;756264;547636;18457;-120650;-156621;-31377;108952;592341;-146604;812134;1568398;-66950;1501448;-420035;-145762;935652;0
BMG;30290;b1;;C;2;SAO PAULO;SP;01/03/2014;1788562;4169;124891;-132198;280473;0;2065896;-916959;-307;-3960;0;-196971;-1118198;947698;8007;7936;-48986;-557808;-13627;3914;27233;-304637;-877969;69730;491;70221;-27422;-6290;36509;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;01/03/2014;1171644;10940;427333;8958;0;142418;1761293;-809055;-59696;-8216;-13344;-79619;-969930;791363;32662;151481;-405971;-246132;-59464;27219;139625;-336455;-697033;94330;-2112;92217;8389;-22837;77769;-66126
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;01/03/2014;481099;26236;371494;83803;0;12592;975223;-412139;-59218;-21303;-31009;-165649;-689318;285905;216377;61381;-311077;-273117;-43766;8374;281525;-174476;-234779;51126;-5766;45361;-7268;-17570;20523;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;01/03/2014;480243;0;504669;-58722;17067;5950;949207;-274258;-211685;0;0;-115303;-601246;347961;444121;6266;-427614;-205280;-60683;0;426028;-299707;-116868;231093;111;231204;-77349;-7326;146528;-48973
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;01/03/2014;872847;52898;43765;-30367;56;0;939199;-738841;-3355;-46869;0;-236039;-1025103;-85904;13386;68282;-60090;-306771;-34146;11210;374679;-123286;-56735;-142639;-14325;-156964;67965;-31;-89031;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;01/03/2014;709601;97161;52716;-108620;0;0;750858;-296269;-195703;-89356;0;-85662;-666990;83868;0;24710;-2257;-75884;-14041;420;217188;-111020;39116;122985;-2508;120476;-49567;0;70909;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;01/03/2014;611649;517;74548;-15471;0;3688;674931;-300189;-389;-460;-1019;-200617;-502674;172257;13008;18013;-94109;-130381;-3821;1423;31652;-71796;-236010;-63753;-4566;-68319;30108;-1282;-39494;0
BRB;31976;b1;;C;1;BRASILIA;DF;01/03/2014;470092;0;46266;0;2297;6502;525158;-178743;-1155;0;0;-71312;-251210;273948;10106;33375;-156855;-83814;-20637;15121;17872;-34116;-218947;55001;-2550;52451;-8420;-6349;37683;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;01/03/2014;418395;41905;15293;0;0;0;475594;-270809;0;-38681;0;-35730;-345221;130373;7602;24940;-216;-108123;-28803;-3305;14245;-12484;-106144;24229;405;24633;-11225;0;13408;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;01/03/2014;514776;0;86446;-143422;14805;0;472605;-233549;-13857;0;0;-126686;-374092;98514;6810;12444;-41817;-107946;-29066;-162;204403;-33889;10777;109291;-3237;106053;-30310;-9157;66587;-29109
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;01/03/2014;174230;0;282605;-435;1276;11330;469005;-354701;-20261;0;0;-165;-375127;93878;7294;9;-22387;-53754;-5965;3758;22955;-19486;-67575;26303;0;26303;-9422;0;16881;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;01/03/2014;427058;0;23320;0;0;0;450378;0;0;0;0;-67116;-67116;383262;0;0;-3921;-124233;-22103;0;56469;-2603;-96392;286870;-83;286787;-110301;-317;176170;-19912
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;01/03/2014;23469;354454;59310;0;0;0;437232;-124863;-813;-295910;0;-14788;-436374;858;0;0;0;-7422;-2258;0;34318;-10163;14476;15334;0;15334;-6865;0;8468;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;01/03/2014;330248;35450;100813;-48510;18848;0;436849;-217397;-17830;-27498;0;-52185;-314910;121939;48582;14283;-73337;-176595;-20143;2757;143743;-81952;-142663;-20724;-598;-21322;15201;-7517;-13638;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;01/03/2014;142725;0;699998;-444760;25207;0;423169;-300359;-35141;0;0;-61111;-396610;26559;231511;0;-212986;-111012;-24392;-16785;213274;-87928;-8319;18240;0;18240;-20545;-9;-2314;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;01/03/2014;230754;51354;120074;9186;2585;0;413952;-240732;-20964;-41777;0;-6916;-310388;103564;6368;9332;-42670;-27310;-6684;3395;29249;-42796;-71116;32448;370;32818;-8951;-2213;21654;0
BANESTES;30159;b1;;C;1;VITORIA;ES;01/03/2014;187514;11490;196849;0;4447;8502;408802;-239199;-2992;-8302;0;-33154;-283647;125155;39489;17769;-63536;-51436;-12797;3777;14006;-22692;-75421;49734;278;50012;-15538;-3851;30623;-9000
BIC;32119;b1;;C;2;SAO PAULO;SP;01/03/2014;375575;43919;68097;-83919;0;64;403735;-251672;-22488;-31581;-14526;-63025;-383292;20443;18414;6739;-54109;-53958;-20512;-207;122207;-39878;-21305;-863;451;-412;917;0;505;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;01/03/2014;133472;0;263645;0;0;6061;403177;-322582;-10697;0;0;-2027;-335305;67872;56666;19;-15993;-38364;-9666;334;2044;-38322;-43281;24591;20708;45299;-17436;-935;26928;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;01/03/2014;22286;0;438319;-108261;0;0;352344;-140574;-8355;0;-62152;724;-210357;141987;89919;92;-140953;-42426;-32009;0;317517;-276618;-84477;57510;42514;100024;-39519;-4052;56453;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;01/03/2014;233358;0;150123;-89402;31467;0;325546;-188573;-32442;0;0;-26417;-247433;78113;37701;3255;-35716;-21046;-10974;-17257;102175;-11407;46732;124846;-341;124505;-32733;-19634;72138;-24067
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;01/03/2014;250181;0;55797;-4967;0;0;301011;-174190;-8230;0;-1045;-63866;-247331;53680;6133;2611;-42136;-84410;-8931;-4751;60900;-31752;-102337;-48657;-527;-49184;-8110;-208;-57503;0
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;01/03/2014;295819;0;3752;0;0;0;299571;-4750;0;0;0;-101336;-106086;193485;61751;45158;-16469;-88652;-31554;0;10811;-32122;-51078;142407;0;142407;-54194;0;88213;0
PERNAMBUCANAS;40699;n1;;C;2;SAO PAULO;SP;01/03/2014;278537;0;4121;0;0;0;282658;-5564;0;0;-6;-113980;-119550;163108;1472;14520;-14222;-37399;-744;0;16617;-40136;-59890;103218;0;103218;-41385;0;61833;0
