Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2014;353258940;27858836;56120387;90232047;132605705;31541;46410423
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2014;285195303;20375465;223293;2741992;261854553;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2014;274234251;9011150;15447469;59069188;73918628;56334;116731482
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2014;233456030;40109719;28121773;52635802;37277151;83044;75228542
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2014;143127046;20026830;28002497;21625600;73440050;32070;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2014;105407980;8275586;14238160;46152421;25276402;31738;11433672
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2014;47334495;1182718;1276021;17721762;18527696;1264;8625034
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2014;43419420;4341181;3269693;13302740;15327635;12345;7165826
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2014;18063236;242246;3040225;3723475;9059901;226;1997164
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2014;13454869;1454492;4294940;3214213;4490396;828;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2014;13004500;1250332;1364396;6104120;4118662;8117;158872
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2014;12637423;613064;221529;2079826;6293112;0;3429892
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2014;10531579;66688;818421;1642179;8004053;238;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/03/2014;10172712;626041;1152893;5647647;475503;13;2270616
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/03/2014;9682800;698500;1517129;6150673;1316492;6;0
