Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2014;591625606;315787452;79542794;100117115;19394762;3486584;7572232;2897066;1868183;12688911;48270507
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2014;505793304;145467468;217069395;54233763;50618896;13994402;5128310;2090812;1696982;15493276;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2014;443780405;147064779;103395282;24756070;13432029;5786567;3041711;2536592;2826641;11265461;129675273
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2014;363048286;36938667;121016842;59996331;45727093;6514084;3320921;2205828;1722935;9917839;75687746
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2014;285197016;108450623;107485387;58900209;8959135;334088;709784;26511;0;331278;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2014;223691721;39724920;107939236;18906574;13878860;5180998;2663873;4360329;1468003;7714646;21854283
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2014;62914831;27082877;16946333;5661306;1825470;747370;296327;395724;424926;2368672;7165826
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2014;56648667;3298340;29190918;8633545;7227656;1538003;737422;683594;1329233;2012792;1997164
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2014;54702243;33752671;8006568;1768580;993157;331183;203534;130872;98701;741274;8675703
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2014;26376144;3713013;10646101;5554313;3861698;919338;353339;338735;101785;728950;158872
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2014;23869627;5614211;10026011;3275316;1209329;1408615;443072;321042;243928;1328101;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2014;21339235;353742;15274921;2717197;1671075;394454;273100;140003;65805;448939;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/03/2014;16556952;0;14417093;779487;342385;193523;113736;106596;111409;492722;0
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/03/2014;16137838;0;11241564;2205516;1045552;485125;205719;163992;131408;658962;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2014;14539755;1049177;3661214;2261501;2631371;286840;100684;39666;46903;21766;4440632
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/03/2014;11724627;4229391;3941201;2211508;193898;137997;127666;75332;201953;605681;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/03/2014;11582204;11186117;337317;7882;18847;5000;13282;0;0;13758;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/03/2014;10489719;284776;2995781;3868423;867518;78029;26428;14174;21873;43120;2289598
