Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42795;110454109;153654;110607763;19786308;130394071;642687000;3893861;467024;15839011;1832616;22032512;54417146;719136657;1302425229;0,1536;0,1538;0,1813;0,0849;0,246
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42795;62926075;21941170;84867245;39182121;124049367;618942361;8180981;4243;1537649;0;9722873;54986312;683651545;1132202129;0,092;0,1241;0,1815;0,075;0,1687
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42795;67915450;5207121;73122571;19797079;92919650;546287465;3235147;20435;9591782;249642;13097005;48156699;607541169;1083956147;0,1118;0,1204;0,1529;0,0675;0,4229
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;42795;90576284;0;90576284;45288142;135864426;511021824;44327205;0;2988170;0;47315375;35416564;593753763;865339525;0,1525;0,1525;0,2288;0,1047;0,0945
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42795;51954149;0;51954149;27045893;79000042;514201647;3906102;1889342;3685509;0;9480953;57488105;581170705;1374513248;0,0894;0,0894;0,1359;0,0378;0,1352
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42795;53760991;4012325;57773316;4097519;61870834;316231666;8982659;0;34831470;1504768;45318897;31914296;393464859;619863093;0,1366;0,1468;0,1572;0,0932;0,1661
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42795;12423539;4083269;16506808;2857586;19364394;54162329;2020636;4251330;24629330;7403784;38305079;7080091;99547499;126324730;0,1248;0,1658;0,1945;0,1307;0,3652
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42795;9351031;952281;10303313;1936487;12239800;73467563;435758;0;3286876;467514;4190147;6137422;83795132;169754678;0,1116;0,123;0,1461;0,0607;0,3026
