Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42795;15313369;421869633;120410321;588427124;-35212235;553214889;301926;515795;267074;-31684;1053111;182768717;70491639;34891238;1400012917;267074;1399745843
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42795;9056968;169377355;182090364;702270046;-34581024;667689022;0;0;0;0;0;80379460;159747706;13733340;1282074216;0;1282074216
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42795;20104413;270157823;212342903;417622566;-33302672;384319894;6676801;4436126;2813571;-333086;13593412;220569706;91252611;45597870;1257938633;2813571;1255125062
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42795;11720835;187723826;212523706;336277194;-36192573;300084620;42156;4423955;1933404;-161167;6238347;150274058;67476502;64743973;1000785868;1933404;998852464
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;42795;24597;65162566;163873263;347397078;-14427760;332969318;0;0;0;0;0;35611942;261251934;13813604;872707223;0;872707223
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42795;5400050;52572016;162181514;214630752;-16058442;198572310;22023;5062901;2295859;-66161;7314623;207883254;67160379;14592678;715676824;2295859;713380964
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42795;404740;50306539;34886577;44304134;-2465787;41838347;30389;2269708;1117267;-70497;3346866;12242117;3003010;3780224;149808420;1117267;148691153
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42795;848505;26186278;43223467;11601935;-1058857;10543078;0;1276;0;0;1276;30892929;2208592;10922794;124826919;0;124826919
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;42795;169944;17367977;30320053;44084323;-3074912;41009410;850;127096;6434;-5460;128920;12774498;535958;1470486;103777247;6434;103770813
