Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;42795;Sim;Sim;Não;1083956147;32599528;42736;S1
ITAU - PRUDENCIAL;1000080099;b1;C;2;SAO PAULO;SP;42795;Sim;Sim;Não;1302425229;135574502;42736;S1
SANTANDER - PRUDENCIAL;1000080185;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;619863093;28483441;42736;S1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;42795;Sim;Sim;Não;1132202129;48563981;42736;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;42795;Sim;Sim;Não;126324730;11370368;42736;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;42795;Sim;Sim;Não;1374513248;NI;42736;S1
SAFRA - PRUDENCIAL;1000080109;b1;C;2;SAO PAULO;SP;42795;Sim;Sim;Não;169754678;5324013;42736;S2
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;42795;Sim;Sim;Não;71881763;251044;42736;S2
CITIBANK - PRUDENCIAL;1000080192;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;78399214;NI;42736;S2
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;65245641;2357553;42736;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;C;2;SAO PAULO;SP;42795;Sim;Sim;Não;131134623;1648201;42736;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;42795;Sim;Sim;Não;69825304;NI;42736;S2
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;42795;Sim;Sim;Não;865339525;NI;42736;S2
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;42795;Não;Sim;Não;7007793;NI;42736;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;PORTO ALEGRE;RS;42795;Não;Sim;Não;11189709;NI;42736;S3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;27341143;NI;42736;S3
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;C;2;BELO HORIZONTE;MG;42795;Sim;Sim;Não;10387237;36582;42736;S3
BANESTES - PRUDENCIAL;1000080147;b1;C;1;VITORIA;ES;42795;Sim;Sim;Não;19072557;NI;42736;S3
BMG - PRUDENCIAL;1000080178;b1;C;2;SAO PAULO;SP;42795;Sim;Sim;Não;14415980;57778;42736;S3
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;16524148;NI;42736;S3
PAN;1000080257;b1;C;2;SAO PAULO;SP;42795;Sim;Sim;Não;26558706;NI;42736;S3
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;7367034;NI;42736;S3
BRB - PRUDENCIAL;1000080288;b1;C;1;BRASILIA;DF;42795;Sim;Sim;Não;14689210;NI;42736;S3
CCB - PRUDENCIAL;1000080295;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;13675966;1102562;42736;S3
ABC-BRASIL - PRUDENCIAL;1000080312;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;36768957;1411072;42736;S3
PINE - PRUDENCIAL;1000080374;b1;C;2;SAO PAULO;SP;42795;Sim;Sim;Não;9831773;100723;42736;S3
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;15264915;NI;42736;S3
ING - PRUDENCIAL;1000080501;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;8579172;NI;42736;S3
DEUTSCHE - PRUDENCIAL;1000080532;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;8053995;20882;42736;S3
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;18378406;NI;42736;S3
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;8184803;NI;42736;S3
ALFA - PRUDENCIAL;1000080570;b1;C;2;SAO PAULO;SP;42795;Sim;Sim;Não;14270634;NI;42736;S3
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;12734490;19498;42736;S3
HAITONG - PRUDENCIAL;1000080666;b2;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;11413962;156108;42736;S3
BNP PARIBAS - PRUDENCIAL;1000080673;b1;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;28744906;NI;42736;S3
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;C;3;SAO PAULO;SP;42795;Sim;Sim;Não;6724749;NI;42736;S3
