Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;42795;479446;0;915548;-33355;22559;-6866;1377332;-319305;-583808;0;0;-218949;-1122062;255270;568168;16254;-455911;-298171;-73036;0;488112;-493578;-248162;7108;-1846;5262;-23022;0;-17760;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;42795;214144;0;833953;269981;0;0;1318078;-839168;-471909;0;-13494;-139036;-1463608;-145530;196600;0;-127946;-87136;-22408;2404;162054;-34618;88949;-56581;156;-56425;22535;-4794;-38684;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;42795;313897;0;598417;-1789;4905;16387;931817;-725973;-44136;0;0;-1491;-771599;160218;55274;23;-31946;-128126;-11052;1202;30155;-30108;-114578;45640;62;45702;-20237;0;25465;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;42795;248003;0;629088;0;0;6613;883704;-763581;-19648;0;0;-6911;-790141;93563;146646;14;-25446;-52075;-23506;1767;76050;-124018;-569;92994;394;93389;-40569;-1547;51272;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;42795;709239;75462;190654;-134116;20646;0;861885;-417558;-21794;-52694;0;-134682;-626727;235157;9235;16477;-63407;-118439;-44508;5161;189573;-36062;-41970;193187;1427;194614;-56571;-15725;122319;-47745
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;42795;195184;2083;579369;0;2916;10377;789929;-596860;-5086;-1485;0;-42889;-646319;143610;43370;24649;-84060;-61322;-15037;4948;20701;-15720;-82471;61139;1154;62293;-18632;-5207;38453;-15000
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;S4;I;2;SAO PAULO;SP;42795;660852;0;79183;0;0;0;740035;0;0;0;0;-139339;-139339;600696;0;0;-5829;-306780;-38722;0;126943;-15;-224403;376293;-36;376257;-122452;-646;253159;-65000
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;42795;643044;0;76419;-15439;0;8414;712438;-243637;-19;0;-755;-184117;-428529;283910;11027;45886;-94035;-142903;-26504;2763;32660;-96290;-267395;16514;-8824;7690;-4059;-134;3498;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;42795;636562;0;65304;0;659;7745;710270;-246403;-1055;0;0;-125432;-372890;337381;21797;40546;-195418;-104647;-27053;8782;28923;-60069;-287139;50241;-1609;48632;-17033;-5218;26381;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;42795;611541;0;233551;-275228;65679;0;635542;-288392;-27883;0;0;-114768;-431043;204499;68176;34153;-144245;-323032;-31234;701;419064;-228042;-204460;39;-942;-903;-127;-13445;-14475;0
