Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42795;1399745843;638333502;1320714322;1098352615;79031521;2483630;124049367;0,1815;0,1687;4954;1349
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42795;1282074216;715042745;1253991185;1094066125;28083031;1486997;79000042;0,1359;0,1352;3414;829
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42795;1255125062;478095380;1126350572;843418755;128774490;5490096;130394071;0,1813;0,246;3453;969
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42795;998852464;381367455;894277135;715229900;104575329;4071044;92919650;0,1529;0,4229;5330;1486
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;42795;872707223;348943738;817112543;495472079;55594680;372550;135864426;0,2288;0,0945;4;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42795;713380964;257168854;650217927;448508459;63163038;1901665;61870834;0,1572;0,1661;2763;1192
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42795;148691153;52346096;139253126;119356478;9438027;487179;12239800;0,1461;0,3026;112;5
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42795;124826919;12003616;106537940;52918281;18288979;726328;19364394;0,1945;0,3652;11;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;42795;103770813;46359116;95632784;68450564;8138029;85837;8010400;0,1316;0,1719;90;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;42795;79404873;20271969;70633061;41025632;8771812;295833;8525957;0,162;0,041;134;14
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;42795;68939584;30540012;62454819;53336275;6484765;128530;6038021;0,1578;0,091;537;200
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;42795;48351787;12356113;44920995;15967029;3430792;-17760;6123101;0,1597;0,0333;318;2
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;42795;48263902;5028532;44565101;28856587;3698801;-38684;4840903;0,1848;0,0455;6;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;42795;37912511;11773346;36520523;32489715;1391988;51272;1382681;0,1722;0,0706;4;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;42795;37000216;16853119;35769235;34156520;1230982;25465;1377606;0,2392;0,0827;5;0
