cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/12;617.301.421;2.521.812;43.827.100;24.869.088;30.438.178;7.946.137;1.620.756;74.055;111.297.126;439.974;3.655.901;2.896.456;8.493.789;11.751.012;6.969.963;293.498;34.500.592;628.182;3.710.805;4.425.375;58.263;41.569;3.225;0;8.867.419;671.637;14.018.874;4.153.193;1.409.342;9.870;44;2;20.262.963;284.399;6.831.770;9.562.257;418.376;2.731.319;3.433.053;0;23.261.175;459.576;3.073.567;1.227.722;1.382.636;1.049.439;461.777;9.907;7.664.624;854.339;17.491.762;39.600.508;80.823.152;54.119.826;111.072.322;26.565.132;330.527.042;121.952;5.212.882;14.155.715;13.023.241;2.100.997;2.043.654;42.054;36.700.496;26.147;523.884;1.010.432;5.872.573;379.475;103.864;11.539;7.927.915;
1%;1 - Público;set/12;43,98%;34,84%;45,73%;26,76%;33,76%;41,26%;34,93%;88,48%;35,88%;35,82%;20,15%;11,91%;26,43%;68,29%;79,32%;32,71%;33,59%;17,13%;9,50%;33,66%;11,64%;19,33%;4,91%;0,00%;15,53%;42,28%;30,49%;36,88%;62,33%;9,28%;0,07%;0,23%;33,08%;35,61%;26,45%;24,60%;4,82%;41,45%;56,71%;0,00%;26,79%;14,93%;20,11%;7,27%;10,09%;23,84%;41,48%;22,78%;14,06%;70,32%;58,79%;54,86%;62,44%;77,53%;93,64%;97,26%;73,72%;81,39%;56,81%;59,06%;85,36%;80,66%;42,56%;100,00%;65,54%;63,43%;26,08%;12,63%;32,77%;8,78%;2,91%;28,35%;22,08%;
2;2 - Privado Nacional;set/12;563.951.383;3.231.118;37.681.579;50.626.710;44.718.189;8.389.062;2.358.476;2.756;147.007.890;525.551;6.428.400;13.280.935;15.754.731;3.920.493;1.310.836;926;41.221.872;2.157.293;26.577.333;5.828.234;110.987;15.630;297;381.800;35.071.574;697.461;23.165.962;3.981.482;407.398;77.170;50.612;407;28.380.492;325.981;11.688.971;16.212.740;5.076.494;2.340.839;1.480.831;8.292;37.134.148;1.686.753;6.448.383;10.114.658;6.970.865;1.969.697;254.500;24.361;27.469.217;164.642;6.934.113;21.484.042;34.173.364;11.103.084;6.681.513;715.151;81.255.910;19.170;2.769.573;7.108.669;1.803.834;357.569;2.724.181;0;14.782.997;10.786;663.345;3.611.694;8.995.720;3.622.748;2.405.777;29.168;19.339.238;
2%;2 - Privado Nacional;set/12;40,18%;44,64%;39,32%;54,47%;49,59%;43,56%;50,83%;3,29%;47,40%;42,78%;35,43%;54,62%;49,02%;22,78%;14,92%;0,10%;40,13%;58,82%;68,04%;44,33%;22,17%;7,27%;0,45%;87,07%;61,43%;43,91%;50,39%;35,36%;18,02%;72,52%;76,77%;39,21%;46,33%;40,81%;45,26%;41,71%;58,48%;35,53%;24,46%;39,68%;42,76%;54,81%;42,19%;59,90%;50,85%;44,75%;22,86%;56,01%;50,39%;13,55%;23,31%;29,76%;26,40%;15,90%;5,63%;2,62%;18,12%;12,79%;30,18%;29,66%;11,82%;13,73%;56,73%;0,00%;26,40%;26,17%;33,02%;45,15%;50,19%;83,82%;67,36%;71,65%;53,86%;
3;3 - Privado com Controle Estrangeiro;set/12;222.323.283;1.485.118;14.319.968;17.448.182;15.015.132;2.924.842;660.281;6.888;51.860.412;262.931;8.061.368;8.136.512;7.891.824;1.536.058;506.461;602.720;26.997.875;882.090;8.771.937;2.892.968;331.454;157.833;62.207;56.688;13.155.177;219.373;8.789.846;3.125.343;444.341;19.367;15.266;629;12.614.165;188.352;7.305.577;13.096.098;3.185.413;1.516.583;1.139.717;12.602;26.444.343;931.143;5.762.743;5.542.614;5.354.819;1.382.292;396.931;9.228;19.379.770;196.010;5.325.442;11.099.570;14.449.605;4.586.310;858.225;31.941;36.547.104;8.718;1.193.984;2.702.243;429.460;146.099;34.107;0;4.514.611;4.288;821.415;3.377.602;3.054.669;320.004;1.061.858;0;8.639.836;
3%;3 - Privado com Controle Estrangeiro;set/12;15,84%;20,52%;14,94%;18,77%;16,65%;15,19%;14,23%;8,23%;16,72%;21,40%;44,43%;33,46%;24,55%;8,93%;5,76%;67,18%;26,28%;24,05%;22,46%;22,01%;66,20%;73,40%;94,64%;12,93%;23,04%;13,81%;19,12%;27,76%;19,65%;18,20%;23,16%;60,56%;20,59%;23,58%;28,29%;33,69%;36,70%;23,02%;18,83%;60,32%;30,45%;30,26%;37,70%;32,83%;39,06%;31,41%;35,66%;21,22%;35,55%;16,13%;17,90%;15,38%;11,16%;6,57%;0,72%;0,12%;8,15%;5,82%;13,01%;11,28%;2,81%;5,61%;0,71%;0,00%;8,06%;10,40%;40,89%;42,22%;17,04%;7,40%;29,73%;0,00%;24,06%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/12;1.097.839.249;7.064.031;93.243.972;89.804.724;87.481.707;18.561.443;4.518.802;80.944;300.755.621;1.044.031;12.299.692;18.485.643;26.067.973;15.577.606;8.399.317;832.198;82.706.459;3.636.894;38.405.783;12.309.529;496.042;213.082;65.431;42.621;55.169.383;1.483.191;42.277.220;9.276.480;2.153.667;106.377;65.922;1.023;55.363.880;798.732;25.764.942;38.857.012;8.606.094;6.587.202;6.053.601;8.413;86.675.996;2.999.281;13.994.204;15.905.379;13.327.281;4.286.729;1.039.988;28.427;51.581.288;708.023;18.068.923;43.099.343;65.975.697;24.918.459;27.246.471;6.306.228;186.323.143;137.824;8.960.790;23.459.135;14.376.192;1.968.103;3.911.799;41.989;52.855.833;41.188;2.008.614;7.825.857;17.922.783;4.322.197;3.571.498;40.707;35.732.844;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/12;78,22%;97,60%;97,30%;96,62%;97,02%;96,37%;97,40%;96,71%;96,97%;84,99%;67,78%;76,03%;81,11%;90,53%;95,59%;92,76%;80,52%;99,16%;98,32%;93,63%;99,07%;99,09%;99,55%;9,72%;96,63%;93,37%;91,96%;82,38%;95,25%;99,97%;100,00%;98,58%;90,38%;100,00%;99,76%;99,96%;99,15%;99,98%;100,00%;40,26%;99,81%;97,46%;91,56%;94,20%;97,22%;97,39%;93,42%;65,36%;94,62%;58,27%;60,73%;59,71%;50,97%;35,70%;22,97%;23,09%;41,56%;91,98%;97,65%;97,88%;94,23%;75,56%;81,46%;99,85%;94,39%;99,92%;100,00%;97,83%;100,00%;100,00%;100,00%;100,00%;99,52%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/12;44.902.906;33.939;928.081;801.375;676.009;305.563;13.309;0;2.758.277;131.840;5.033.898;4.390.379;3.606.959;731.558;62.462;0;13.957.096;0;0;0;0;0;0;0;0;48.961;1.788.838;1.791.407;94.581;0;0;0;3.723.787;0;61.377;14.083;73.307;0;0;12.481;161.248;17.099;1.003.153;536.796;115.109;41.460;1.246;0;1.714.863;150.158;2.360.069;6.142.488;10.119.059;3.151.580;270.839;27.525;22.221.717;3.484;31.019;64.749;122.507;55.639;13.214;0;290.612;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/12;3,20%;0,47%;0,97%;0,86%;0,75%;1,59%;0,29%;0,00%;0,89%;10,73%;27,74%;18,06%;11,22%;4,25%;0,71%;0,00%;13,59%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,08%;3,89%;15,91%;4,18%;0,00%;0,00%;0,00%;6,08%;0,00%;0,24%;0,04%;0,84%;0,00%;0,00%;59,74%;0,19%;0,56%;6,56%;3,18%;0,84%;0,94%;0,11%;0,00%;3,15%;12,36%;7,93%;8,51%;7,82%;4,51%;0,23%;0,10%;4,96%;2,33%;0,34%;0,27%;0,80%;2,14%;0,28%;0,00%;0,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
