Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/03/2016;19737229;551697;15540195;4674663;124954;1582657;42211396;-20855965;-1814958;-622440;0;-6220765;-29514128;12697268;3899680;2491608;-3641920;-4323384;-1748032;-1608434;18546733;-14832341;-1216090;11481178;160772;11641950;-4286326;-2892411;4463213;-2698857
BB;49906;b1;;C;1;BRASILIA;DF;01/03/2016;21638475;94847;13985236;-302795;841661;1390177;37647601;-25471964;-1465291;-55375;0;-7136044;-34128674;3518927;2891656;1942094;-5075427;-3887833;-1147499;-29258;12969579;-7751508;-88197;3430730;-16191;3414540;-730361;-306159;2378020;-646739
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/03/2016;17369746;573965;10359213;6416515;0;1371642;36091081;-16680455;-520436;-491516;-225470;-5883597;-23801475;12289606;2372659;2024809;-3209178;-4007314;-1300941;-2564891;8603352;-5164592;-3246095;9043511;48432;9091943;-4963563;0;4128379;-1450979
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/03/2016;20595900;0;15076889;-4923907;0;3207435;33956317;-22114786;-4063782;0;-587389;-3808592;-30574548;3381769;4134891;1157813;-5018876;-2608508;-854165;232931;3982368;-4344969;-3318513;63256;-62963;293;693726;-139226;554794;-587338
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/03/2016;10629494;530210;7611238;1654276;3988450;1611934;26025602;-12250851;-659608;-437843;0;-2702745;-16051047;9974556;2162494;752196;-1736403;-2452761;-1126080;84092;5223591;-8155896;-5248766;4725789;32697;4758486;-3215253;-317006;1226228;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/03/2016;10736272;0;6265018;1479338;30437;0;18511065;-1022766;-9736044;0;0;-784622;-11543432;6967633;62470;0;-265315;-118268;-156861;-21572;4147746;-7347973;-3699773;3267860;-1795;3266066;-1667918;0;1598148;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/03/2016;1629306;255274;3963490;284812;0;53893;6186775;-4279915;-186519;-198065;-13771;-376474;-5054743;1132032;150805;73202;-440788;-238273;-101143;-114557;561300;-231501;-340957;791075;-127359;663716;-202211;0;461505;0
HSBC;51152;b1;;C;3;CURITIBA;PR;01/03/2016;2970962;136377;1355650;-728677;1206958;341874;5283143;-2893331;-151430;-103580;0;-1272080;-4420421;862722;300419;360596;-894990;-1031993;-209965;101834;704448;-579566;-1249217;-386495;-1743;-388238;103014;-578;-285803;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/03/2016;3362427;46152;932119;-197932;0;3040;4145804;-2896334;-62455;-50328;-122982;-162056;-3294155;851650;117862;138688;-341785;-269363;-88440;42579;802325;-895316;-493450;358199;-434;357765;-225594;-45960;86211;0
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/03/2016;649651;0;-840980;2862351;658681;50812;3380515;-2358345;-71526;0;0;-78943;-2508814;871701;688381;62595;-520087;-608100;-51412;-141035;1565885;-1285307;-289080;582621;1037340;1619961;-153716;-457736;1008510;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;01/03/2016;1693901;9494;625376;-10059;0;265288;2584001;-1283832;-60538;-7068;-64203;-267550;-1683190;900810;36923;195262;-401681;-265980;-80124;35802;332591;-463773;-610982;289829;-4488;285341;-72069;-25195;188077;-76204
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;01/03/2016;724665;36478;1227656;-1158719;841897;39336;1711312;-701259;-177772;-29349;0;-191318;-1099699;611613;205116;80990;-296551;-387609;-61209;2567;568086;-438050;-326660;284954;-69237;215717;-91144;-18623;105950;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;01/03/2016;516420;0;843677;-130693;41261;17831;1288496;-363301;-429576;0;0;-171433;-964310;324186;519737;12369;-426027;-261007;-69764;0;673676;-543647;-94663;229523;377;229899;-148590;-3501;77808;-26147
PAN;31323;b1;;C;2;SAO PAULO;SP;01/03/2016;1529262;6789;107160;-364170;0;0;1279042;-1289788;-128;-6573;-7765;-296031;-1600285;-321243;31132;82231;-87330;-454151;-39469;-1675;820890;-186128;165501;-155742;-13385;-169127;73024;0;-96103;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;01/03/2016;24796;0;345396;-593271;1042415;0;819336;-68815;-90797;0;0;322;-159290;660046;129209;1032;-138520;-50880;-14339;0;47380;-491470;-517589;142457;-138;142319;-59797;0;82522;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;01/03/2016;734802;0;103329;-28193;0;3764;813702;-338780;-97;0;-3442;-208300;-550619;263083;14088;40449;-87432;-129977;-28085;-4370;75225;-119585;-239688;23395;-2450;20945;-11582;-94;9269;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;01/03/2016;255330;0;543322;-3135;1447;11602;808565;-658389;-33892;0;0;-2537;-694818;113747;10853;21;-26463;-75305;-8814;6816;75444;-68178;-85627;28120;-146;27974;-9742;0;18232;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;01/03/2016;746536;0;58322;0;0;0;804858;0;0;0;0;-211005;-211005;593853;0;0;-4858;-247184;-41527;0;109232;-12;-184349;409504;-54;409450;-168637;-572;240241;-31000
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;01/03/2016;202143;0;658248;-129513;0;0;730878;-908518;-318313;0;-38532;-50009;-1315373;-584495;208378;0;-182101;-84145;-16573;-100085;968859;-74587;719745;135250;1954;137204;-86132;0;51071;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;01/03/2016;231205;0;461202;0;0;4520;696926;-593086;-16749;0;0;-2526;-612361;84565;99643;19;-20709;-41514;-15682;2159;24952;-73528;-24661;59905;385;60290;-25946;-1196;33148;0
BRB;31976;b1;;C;1;BRASILIA;DF;01/03/2016;604711;0;72323;0;459;6593;684087;-281798;-2244;0;0;-121438;-405481;278606;10276;33470;-214699;-104255;-22217;14811;25104;-51473;-308984;-30377;-2609;-32986;22511;-546;-11021;0
BANESTES;30159;b1;;C;1;VITORIA;ES;01/03/2016;200902;8043;435299;0;4058;9443;657743;-446170;-6206;-6815;0;-57183;-516374;141369;43885;23651;-79967;-55094;-15513;7429;13672;-19651;-81588;59781;53;59834;-16705;-4746;38383;-14100
DAYCOVAL;51987;b1;;C;2;SAO PAULO;SP;01/03/2016;710514;64832;149384;-289793;10434;0;645369;-377883;-27643;-46890;0;-163980;-616397;28972;6259;16463;-62182;-111862;-42622;-433;399498;-105093;100029;129001;5879;134880;-37864;-11783;85232;-51267
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;01/03/2016;540149;31251;27297;0;0;0;598697;-354772;0;-31215;0;-53799;-439787;158910;14752;21246;-31414;-89476;-25210;13243;30764;-17389;-83484;75426;391;75818;-24787;-3567;47464;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;01/03/2016;41844;466608;43608;0;0;0;552060;-124850;-1715;-390928;0;-11598;-529090;22970;0;0;0;-9697;-1596;0;10869;-17758;-18182;4788;0;4788;-2730;0;2058;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;01/03/2016;382493;55531;172889;-105376;3083;0;508619;-301807;-33430;-43784;0;-21631;-400651;107968;10183;5966;-40626;-25516;-9825;5558;59148;-66455;-61567;46401;-105;46296;-16626;-1893;27777;0
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;01/03/2016;478065;0;7524;0;0;0;485589;-7302;0;0;0;-221786;-229088;256501;77486;70627;-25266;-124212;-41169;0;8929;-52796;-86401;170099;1;170101;-76307;0;93794;0
BMG;30290;b1;;C;2;SAO PAULO;SP;01/03/2016;672624;88;96831;-301899;0;0;467644;-501722;-17174;-60;-1480;-130564;-651000;-183357;5832;14621;-46182;-193672;-13623;-4982;623847;-189990;195851;12494;205;12699;4075;-10524;6250;-59000
HAITONG;51482;b2;;C;3;SAO PAULO;SP;01/03/2016;21506;0;233524;178689;0;0;433719;-300716;-5244;0;-99;-965;-307025;126694;7226;0;-21824;-12409;-3932;-33049;1434;-20870;-83424;43270;89;43359;-32181;-706;10471;-4600
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;01/03/2016;699313;28130;68791;-376975;0;0;419259;-252382;-128107;-22286;0;-228255;-631030;-211771;0;17512;-1494;-89731;-27629;22368;361465;-96097;186393;-25378;-4006;-29384;24144;0;-5241;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;01/03/2016;0;0;348221;-104227;173132;0;417126;-147483;0;0;0;0;-147483;269643;47450;0;-66180;-27147;-15424;-23687;45737;-99694;-138945;130698;0;130698;-68624;0;62074;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;01/03/2016;136278;0;227632;-2435;0;0;361475;-75641;-86185;0;-4561;-32045;-198431;163044;148176;22039;-130794;-64518;-24977;0;174068;-199798;-75804;87240;847;88088;-95830;0;-7743;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;01/03/2016;346224;0;20227;-20924;0;0;345527;-21964;-3551;0;-34;-323;-25872;319654;49056;11822;-4349;-68295;-21298;0;22138;-233455;-244380;75274;16;75290;-33581;-643;41067;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;01/03/2016;300912;0;39457;0;1029;673;342070;-102827;-1;0;0;-20918;-123746;218324;2581;15530;-67197;-66774;-12697;0;2822;-5246;-130980;87343;-889;86455;-47525;-6298;32632;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;01/03/2016;285402;0;313312;-327959;64179;0;334933;-302171;-34114;0;0;-45714;-381999;-47066;50584;5524;-53140;-25028;-6968;-98706;458148;-68064;262349;215283;-7880;207403;-90720;-25533;91149;-45643
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;01/03/2016;246951;0;82356;0;0;0;329307;0;-119092;0;0;-49928;-169019;160287;11551;0;-43098;-9233;-10285;0;4504;-4983;-51544;108743;453;109196;-49289;0;59908;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;01/03/2016;315363;0;8801;0;0;0;324165;-12395;0;0;-12;-166037;-178444;145721;564;23617;-10434;-44691;-12939;0;14506;-50961;-80337;65384;8;65392;-31004;0;34388;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;01/03/2016;9475;0;293340;0;0;0;302815;-293281;0;0;0;-2;-293282;9532;0;0;-4565;46950;1;25;1529;-53467;-9527;5;-2;2;0;0;2;0
OMNI;50940;n1;;C;2;SAO PAULO;SP;01/03/2016;236045;1865;40000;11915;0;0;289824;-135361;0;-1368;0;-72765;-209494;80331;6810;19671;-2901;-85746;-8103;7866;10076;-33875;-86201;-5870;385;-5485;9862;0;4377;0
PARANÁ BANCO;30881;b1;;C;2;CURITIBA;PR;01/03/2016;243476;0;47059;-1441;684;0;289778;-153664;-2186;0;0;-35593;-191444;98334;1754;1866;-14049;-49676;-6442;11132;2807;-5830;-58438;39896;1;39897;-8951;0;30945;-8242
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;01/03/2016;186164;0;37341;53059;396;0;276960;-131534;-2477;0;0;-25624;-159635;117325;4787;59;-35671;-39298;-5825;143;121343;-101190;-55651;61674;12650;74324;9706;-65912;18118;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;01/03/2016;59705;0;155083;29448;0;0;244235;-113479;-11483;0;-287997;-70309;-483268;-239033;20894;1320;-40602;-23580;-14569;0;1152537;-754644;341355;102322;-20;102303;-49002;-3065;50236;0
