Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2016;686515696;381314452;58766640;19086525;628129;164839;122130962;0;43427873;2074046;223723;0;378;3382947;1822844;53492338
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2016;678460889;145718659;437498268;28129624;0;20;41601120;0;0;543099;3804245;0;28;19764962;1400865;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2016;497074666;234286744;44357551;9560226;1299725;8133695;25810897;65206;618804;489019;143897;0;6025;6109;6624822;165671946
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2016;409647308;173763277;44066190;29209635;0;11777473;33003615;0;428778;3528252;0;0;13336;0;6235337;107621414
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2016;378373565;105613042;5056;231933945;8880318;17658063;0;10069833;0;14353;4198954;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2016;245604677;142829347;46754248;4036390;18272;302833;18212252;719624;0;159382;727442;0;1683;12087;1837572;29993545
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2016;67258551;28311489;7502192;635665;46552;7423470;10041669;0;0;39211;83573;0;0;3202402;1218878;8753450
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2016;58999956;845390;76355;2204933;0;0;4790956;0;0;122263;331057;0;833;137973;6;50490190
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2016;48811593;37973146;11392;846388;75784;2428272;4652305;45914;0;0;90336;0;0;11834;319899;2356323
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2016;45268716;19830518;423129;956812;0;1234381;13445930;206260;0;155326;3971;0;9911;0;31926;8970552
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2016;30571569;17107763;5438803;298234;0;1376726;5729579;0;0;44252;0;0;0;139626;212696;223890
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2016;21219073;13365498;1111986;121757;0;9964;6476568;43506;0;0;0;0;0;0;89794;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2016;17251932;14404529;0;613779;0;0;2225016;0;0;0;0;0;0;0;8608;0
