Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;42430;485728697;2091865;5294458;14194824;28892586;9679129;364430;0;60517292;1216852;1213853;2518939;2602691;200149;0;266;7752750;545870;1592382;3797816;5079551;540839;177;0;11556635;2355466;11768062;31486540;71552311;56517969;147570432;53625630;374876410;2153783;5619727;1530608;121016;125;0;0;9425259;275472;1729104;1173738;672164;475517;205059;0;4531054;2480546;4565291;3769182;3040438;1571256;1551513;91072;17069298;0
BB;49906;b1;C;1;;199;BRASILIA;DF;42430;295703259;179567;4355234;12135422;23690945;13984074;8157695;260035;62762971;509720;3028875;8571497;9525273;4096096;1834870;423962;27990293;60028;965190;2448266;3134834;485670;146;21409;7115544;29643;544236;1118344;3003603;2911598;13871496;16653383;38132302;1120113;18308616;2916975;94800;41;0;330867;22771411;1952227;11864268;41317804;30015270;20151747;22115029;110913;127527259;372958;1170089;3020671;1229582;745510;762111;92353;7393274;2010204
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;42430;204511311;400870;4068769;10582129;19851678;9947929;1890146;36;46741556;833277;1902413;3182222;4409918;964296;73850;0;11365976;438374;2587507;5933187;8173228;1017675;1520;6;18151497;70997;549999;1328862;3441900;3232925;12880573;11327097;32832352;5420477;37190729;12108002;149440;28;0;0;54868675;281;72616;231266;131869;101268;29131;0;566429;2024936;6040170;3238479;5003422;1665548;188468;0;18161024;21823802
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;42430;146262176;204945;3694773;9547813;15000102;5916494;1145285;134;35509546;823151;4231932;4584369;2409374;175574;9275;35;12233711;426774;3334396;7637563;8517510;733252;3353;4;20652853;53675;456027;1000751;2574240;2370270;9173033;7302832;22930827;4061467;15536021;6616782;299376;628;0;0;26514275;208226;1668557;6936316;3540156;1519627;812942;0;14685824;1609752;5466729;2402122;2428509;714502;233147;17200;12871962;863178
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;42430;123464410;276090;1651264;4146995;6031948;2091313;620704;192;14818507;417080;879333;1930113;2555177;561674;62998;90;6406465;628304;4466915;10386699;12380411;1193873;13955;2264;29072421;49288;1057715;2610054;5426277;3943866;9503282;3936841;26527324;1395654;14071848;2820083;473270;119140;32760;20;18912775;24676;288293;1875780;873034;339557;191385;0;3592725;1729881;4348654;3230189;3633323;1437530;488981;844;14869402;9264792
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;42430;33353234;96417;619406;1373950;1741704;566174;70176;0;4467826;12225;26891;81890;13420;13224;3272;0;150923;732410;4219323;9629625;11549199;1046074;421;0;27177053;0;0;0;0;0;0;0;0;270834;806933;227865;93;0;0;0;1305725;144;12562;13216;55798;37371;4922;0;124012;156;7522;67383;39411;13223;0;0;127695;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;42430;22428359;18183;144765;367276;642228;169002;13006;3;1354464;609786;1351241;1982646;1823561;460229;547;938;6228947;28298;204305;504256;762401;130232;225;0;1629717;9965;114800;257312;660016;371298;2749120;1744187;5906698;571993;2942003;532238;8;0;0;22702;4068944;33435;191558;1085995;214196;1261;0;0;1526445;274412;850162;299650;73805;9824;26908;24874;1559636;153508
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;42430;21119324;0;0;0;0;0;0;0;0;1069;78840;570816;66558;59655;0;0;776937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;96;4814;5131;5419;27788;0;43291;865;5667;75212;6016;1607;238;0;89605;20209492
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;42430;16987172;140559;754886;2015313;3340870;1399810;567689;70;8219199;49801;375328;1536591;176734;22490;51866;3;2212812;744;13157;33608;46018;8981;82;0;102591;5040;48781;131634;341706;314966;1235872;949880;3027878;50530;119658;7402;0;0;0;0;177591;29726;590979;251334;392069;274052;341584;21382;1901125;123479;671523;160124;217170;100090;73507;85;1345978;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;42430;13398558;61698;471092;1283566;2295652;1043314;361719;0;5517042;5744;10323;13710;6491;5;0;0;36273;180489;606319;1478901;2410154;417088;384;0;5093335;1315;7041;17808;38808;29206;66173;13015;173366;249072;1180824;144989;17603;830;135;0;1593454;0;0;0;0;0;0;0;0;45065;100700;173702;291964;145167;214628;13861;985088;0
