Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;mar/16;686.515.696;324.473.104;128.406.546;109.567.121;24.100.635;6.259.917;12.312.998;5.158.544;3.763.312;18.981.181;53.492.338
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;mar/16;678.460.889;327.865.717;98.398.116;109.590.778;74.158.094;32.972.555;8.018.137;4.925.904;3.537.406;18.994.184;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;mar/16;497.074.666;137.726.855;121.091.665;20.629.728;15.704.469;9.321.431;5.239.368;4.723.387;3.371.161;13.594.657;165.671.946
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;mar/16;409.647.308;65.692.272;107.115.647;56.635.554;41.344.257;7.503.788;4.655.889;3.066.554;2.353.725;13.658.206;107.621.414
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;mar/16;378.373.565;85.356.519;105.522.909;166.863.253;13.333.748;3.830.607;2.372.119;208.767;411.798;473.845;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;mar/16;245.604.677;73.933.013;88.709.646;17.261.530;13.111.046;7.195.540;3.388.849;2.185.211;1.734.208;8.092.088;29.993.545
HSBC;51152;b1;C;3;;199;CURITIBA;PR;mar/16;67.258.551;28.795.522;14.755.479;6.244.076;1.398.338;1.561.483;1.081.365;500.354;544.837;3.623.647;8.753.450
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;mar/16;58.999.956;1.061.981;2.608.740;1.894.072;424.570;1.164.864;585.173;86.292;432;683.640;50.490.190
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;mar/16;48.811.593;3.154.949;23.623.060;7.351.548;7.988.996;1.447.097;522.246;423.822;330.150;1.613.402;2.356.323
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;mar/16;45.268.716;24.462.836;7.797.312;1.479.733;442.291;215.202;355.701;159.624;79.813;1.305.652;8.970.552
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;mar/16;30.571.569;5.651.165;12.931.609;5.600.314;2.696.352;1.194.865;332.782;295.419;184.561;1.460.613;223.890
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;mar/16;21.219.073;7.533.851;8.962.926;2.311.835;247.988;1.078.917;178.135;126.722;205.893;572.806;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;mar/16;17.251.932;439.668;10.985.565;2.034.611;2.006.346;466.849;496.314;155.885;95.836;570.858;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;mar/16;17.168.098;0;11.883.186;1.899.945;1.314.361;766.284;269.809;209.788;189.406;635.319;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;mar/16;15.555.665;1.660.074;3.380.648;8.610.999;1.235.547;144.110;90.637;26.364;139.695;267.592;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;mar/16;14.595.140;14.100.784;454.867;23.577;1.644;722;5.783;676;604;6.483;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;mar/16;13.326.366;5.008.195;4.271.670;2.138.755;302.004;283.048;128.280;132.620;215.809;845.985;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;mar/16;12.743.673;68.379;5.622.184;4.239.628;1.381.940;304.972;247.140;237.512;60.568;423.410;157.940
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;mar/16;12.683.438;6.314.715;5.154.696;436.860;251.401;187.640;83.769;34.153;68.793;151.411;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;mar/16;12.031.985;2.321.350;7.661.638;1.109.668;277.871;169.473;58.263;76.285;58.479;298.960;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;mar/16;11.221.414;715.027;2.728.247;3.530.862;1.265.176;272.210;111.240;31.154;21.123;93.279;2.453.096
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;mar/16;10.682.020;6.582.690;3.610.462;335.017;120.394;10.452;2.932;6.330;1.357;12.386;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;mar/16;9.879.340;1.143;8.370.212;517.804;641.549;99.365;47.510;49.234;23.925;128.598;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;mar/16;9.522.811;5.978.932;858.431;1.206.627;624.582;199.944;98.804;91.367;82.138;381.985;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;mar/16;9.352.864;105.819;3.786.313;3.483.070;1.155.012;269.455;217.563;79.530;83.197;172.906;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;mar/16;8.193.092;0;6.568.388;682.503;330.837;101.329;121.874;42.954;71.857;273.349;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;mar/16;7.821.019;657.366;4.292.881;700.958;638.927;636.024;231.991;107.791;92.263;462.817;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;mar/16;7.516.900;10.332;2.540.243;457.286;179.648;184.970;52.638;120.715;0;378.078;3.592.989
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;mar/16;7.345.562;1.195.202;4.348.325;1.412.807;217.766;72.977;29.931;11.192;11.022;46.341;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;mar/16;6.693.684;707.524;2.514.811;1.431.715;993.821;759.665;27.552;53.536;68.082;136.977;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;mar/16;6.428.233;123.506;3.325.919;1.832.227;735.680;143.426;74.230;16.495;62.157;114.593;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;mar/16;5.839.964;1.747.708;1.147.099;1.146.605;1.037.420;423.572;56.818;37.479;38.173;205.090;0
CCB;32119;b1;C;3;;199;SAO PAULO;SP;mar/16;5.496.366;405.667;1.763.775;628.736;760.797;384.090;272.042;238.547;22.331;287.222;733.158
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;mar/16;5.000.822;0;3.616.421;157.450;131.326;167.079;117.864;117.743;96.723;596.217;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;mar/16;4.507.493;0;3.291.138;622.357;314.825;44.440;22.999;22.984;39.062;149.687;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;mar/16;4.424.481;22.040;3.786.087;100.307;94.779;55.977;51.925;68.325;36.842;208.198;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;mar/16;4.323.163;1.329.228;1.222.895;1.402.332;230.653;43.126;30.775;14.471;11.630;38.053;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;mar/16;4.208.677;2.867.426;115.398;149.473;48.256;0;59.204;0;0;0;968.921
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;mar/16;4.147.702;695.780;1.987.262;915.034;331.848;68.152;100.513;14.136;8.361;26.615;0
PARANÁ BANCO;30881;b1;C;2;;199;CURITIBA;PR;mar/16;3.962.744;0;3.153.830;435.696;173.162;63.187;24.573;28.627;14.820;68.849;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;mar/16;3.944.936;286.722;809.064;939.744;1.044.999;183.438;49.877;112.107;47.705;22.558;448.722
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;mar/16;3.922.515;1.279.180;1.542.579;775.001;60.024;78.672;41.626;39.924;12.228;93.280;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;mar/16;3.920.296;540.882;1.077.580;1.338.694;567.138;127.546;71.990;25.195;27.799;143.473;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;mar/16;3.914.671;1.868.013;824.017;440.406;276.598;139.136;68.219;47.483;31.028;219.770;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;mar/16;3.892.973;3.830.293;62.679;0;0;0;0;0;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;mar/16;3.809.811;350.702;2.637.227;389.876;298.107;68.684;19.885;10.425;8.313;26.592;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;mar/16;3.603.386;285.900;315.106;1.680.424;305.325;182.431;136.435;21.043;52.207;40.959;583.555
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;mar/16;3.469.190;772.599;1.135.505;981.260;198.127;207.561;29.769;31.588;49.470;63.311;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;mar/16;3.466.285;0;3.213.097;25.355;60.031;10.772;10.317;14.251;7.981;124.481;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;mar/16;3.449.733;2.114.969;942.990;266.921;9.601;4.768;43.573;7.221;4.080;55.611;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;mar/16;3.438.204;9.349;1.509.714;453.124;829.399;381.178;69.467;38.529;30.008;117.436;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;mar/16;3.110.290;1.340.167;508.281;516.383;117.966;487.846;80.947;11.007;4.397;43.297;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;mar/16;3.104.404;476.982;1.175.138;773.662;257.136;114.671;33.714;77.741;32.314;163.044;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;mar/16;2.917.722;1.611.862;39;55.165;0;0;0;0;0;0;1.250.656
