Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2016;390812437;13374273;52710979;95498160;177721291;25600;51482134
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/03/2016;378369847;26512776;967817;36778082;314111173;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2016;292563355;3908415;15936814;53377746;75427850;64386;143848144
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2016;263385132;31334451;29702836;57428621;38081572;79417;106758235
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2016;192732192;45909183;33324036;57795284;55668735;34953;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2016;122140267;5675703;13572055;40823144;41304561;36050;20728753
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2016;44830192;6223117;2163925;11909682;15929311;4215;8599942
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2016;37951822;940523;682308;9725320;17687987;1509;8914175
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/03/2016;37880631;3000040;144624;1345599;3109671;0;30280698
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2016;15458360;8610;2303598;1178856;9610717;255;2356323
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2016;15271414;2067489;1142010;1167380;10894451;83;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2016;13584397;354156;1806874;6106131;5086324;7022;223890
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/03/2016;10961726;178520;823454;4293337;3226463;87;2439864
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2016;10905982;819092;3289915;2694204;4101924;847;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/03/2016;9198116;831741;604104;4069594;3692675;2;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/03/2016;9090630;184498;261041;859784;7784561;746;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/03/2016;8923685;590733;1296102;5804883;1231960;7;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/03/2016;8861388;904320;706511;3823485;3426943;129;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/03/2016;7519947;416084;491672;5760295;842428;9467;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/03/2016;6854929;11070;96502;361870;2792498;0;3592989
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/03/2016;6488885;377520;241284;3019412;2695753;535;154380
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/03/2016;6195183;547044;30870;873297;4743972;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/03/2016;5635063;108167;395784;2898959;2232133;20;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/03/2016;4502736;0;8825;932363;3561548;1;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/03/2016;4438553;169409;504111;1205332;2559689;13;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/03/2016;4235543;655242;142571;2489117;948608;5;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/03/2016;4208677;8452;19098;657444;2554763;0;968921
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/03/2016;4064682;194620;324461;1788080;1024362;0;733158
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/03/2016;3892973;1244701;661197;560524;1426551;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/03/2016;3778786;74042;873717;2484484;346541;2;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/03/2016;3769540;799399;514415;1639570;816130;27;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/03/2016;3542318;227731;64115;569486;2232263;0;448722
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/03/2016;3477960;1554656;328643;1010472;577786;6403;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/03/2016;3359921;404;33746;429537;2896234;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/03/2016;3162117;162123;485653;2301303;212797;240;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/03/2016;3110290;2183;36631;412054;2659411;11;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/03/2016;3082472;159376;543357;1467653;912086;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/03/2016;2988233;340055;51405;1073107;945712;15;577940
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/03/2016;2917683;5589;6831;425246;1229361;0;1250656
