Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2014;369780340;13567419;56330492;99816386;149694876;29254;50341914;
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2014;325878504;8171220;14392330;63105815;73226695;54692;166927753;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2014;309883023;21633473;591461;19628717;268029372;0;0;
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2014;241027610;31600491;30809170;50580134;45236457;81153;82720205;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2014;163486743;35106260;32571809;42647104;53131287;30284;0;
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2014;115101472;7627966;13731152;45538738;30451147;32506;17719964;
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2014;46025353;1193066;1400446;16260188;19152263;1311;8018078;
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2014;45771189;6182084;2742931;13093628;15589987;8966;8153593;
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2014;17742382;167385;2858912;2806473;8915699;290;2993624;
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2014;14939292;3299500;270079;3553788;3937022;0;3878904;
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2014;14079454;515033;1558324;6052468;5784782;7815;161031;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2014;13405332;1434717;4194868;3124058;4650736;954;0;
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2014;11033146;1735538;496538;1851852;6949025;192;0;
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2014;10897170;126573;328153;4127387;3721011;16;2594030;
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2014;10111129;748525;1595250;6361306;1406043;4;0;
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/09/2014;8559585;825167;1017413;4717910;1619842;18;379234;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2014;8440188;1154270;925737;3492094;2867931;156;0;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2014;8152360;320817;267989;1053449;6509085;1020;0;
