Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2014;19762293;106241359
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2014;14297532;90102950
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2014;12471590;52524830
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2014;10690385;43994527
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2014;8508868;30958053
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2014;3651391;6350591
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2014;2065998;11024806
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2014;1750037;5136097
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2014;1208160;4170939
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/09/2014;1170468;4249189
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2014;1168990;3694724
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2014;1059847;5668518
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;903008;2066655
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/09/2014;717036;5379262
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/09/2014;712082;1443621
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2014;575758;4376390
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2014;554379;1059012
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2014;552979;620275
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2014;550169;687511
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2014;518843;750622
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/09/2014;452925;777808
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;387718;840362
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/09/2014;387471;409182
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/09/2014;357300;14747653
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2014;322340;701593
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2014;312750;477343
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/09/2014;277909;902586
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/09/2014;262589;421190
DACASA FINANCEIRA;51891;n1;C;2;;197;VITORIA;ES;01/09/2014;204443;762190
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2014;197334;972307
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/09/2014;181301;546602
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2014;176563;365387
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/09/2014;174243;884538
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/09/2014;136920;544156
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;135883;308397
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/09/2014;128718;378634
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/09/2014;125598;260788
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/09/2014;123346;565618
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/09/2014;115986;505432
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/09/2014;105121;118594
