Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;set/14;626.586.512;369.000.077;40.504.512;25.524.336;1.454.190;346.464;105.173.472;0;25.910.516;1.796.418;169.753;0;1.312;2.564.633;2.117.776;52.023.054
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;set/14;570.362.316;137.425.706;356.072.475;23.461.776;0;317;39.184.356;0;0;674.007;1.407.473;0;79;10.764.510;1.371.617;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;set/14;513.689.151;240.748.187;34.494.794;12.366.128;1.877.981;6.557.043;28.533.931;6.178;134.701;474.871;235.017;0;10.849;14.381;6.995.960;181.239.129
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;set/14;376.780.750;176.155.193;35.664.117;34.101.286;5.249;8.370.643;28.661.654;0;615.734;3.108.459;0;0;20.942;0;6.814.753;83.262.720
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;set/14;309.884.695;76.455.997;16.071;208.332.520;6.380.186;12.134.994;0;4.677.109;0;2.903;1.884.915;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;set/14;234.211.809;144.765.050;40.082.714;3.406.000;52.345;307.315;15.314.622;23.923;0;213.337;212.776;0;24.372;13.580;1.787.545;28.008.230
HSBC;51152;b1;C;3;;199;CURITIBA;PR;set/14;65.527.647;29.450.111;6.784.016;562.939;72.738;7.402.367;8.977.738;0;0;141.009;80.569;0;0;2.598.080;1.304.487;8.153.593
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;set/14;54.433.742;41.868.869;164.865;1.377.453;36.999;2.321.695;5.035.225;12.828;0;0;222.431;0;0;0;399.755;2.993.624
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;set/14;53.687.855;26.996.378;349.009;1.785.993;0;1.417.276;14.756.551;1.469;0;274.706;3.633;0;6.812;0;10.670;8.085.358
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;set/14;28.521.196;16.181.335;4.501.986;390.358;0;1.404.432;5.531.081;0;0;37.356;0;0;0;83.792;229.826;161.031
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;set/14;21.220.174;17.143.499;0;1.460.141;0;0;2.605.629;0;0;0;0;0;0;0;10.904;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;set/14;16.999.549;2.110.637;0;1.390.242;0;0;6.615.280;0;0;552.314;1.394.226;0;0;0;1;4.936.849
PAN;31323;b1;C;2;;199;SAO PAULO;SP;set/14;16.508.042;13.194.217;992.675;0;0;0;1.323.200;0;0;329.974;0;0;0;472.866;195.110;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;set/14;16.230.515;12.026.599;813.705;170.977;0;35.639;3.081.960;0;0;0;0;0;0;0;101.636;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;set/14;12.475.260;10.850.090;0;83.790;0;1.251.408;282.006;0;0;0;0;0;0;0;7.967;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;set/14;12.357.876;10.525.299;0;0;0;22.096;1.311.794;0;197;0;0;0;0;66.058;432.432;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;set/14;12.339.936;6.708.231;43.997;1.368.334;0;1.567.966;572.978;0;17;1.903.829;0;0;128.066;0;46.518;0
