Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2014;626586512;338956367;82164396;102087040;20454800;3498796;8330628;2940909;2593213;13537310;52023054;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2014;570362316;241309211;160624916;61576831;59007815;20477333;6030323;2527814;2360927;16447146;0;
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2014;513689151;148991159;117026558;25486959;13662739;6068652;3624536;2859367;3019026;11711025;181239129;
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2014;376780750;37046637;127563559;63262104;41885707;5350967;3440253;2203274;1854488;10911042;83262720;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2014;309884695;120950004;101848200;75675903;10397066;55322;570877;0;20114;367209;0;
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2014;234211809;70822599;82717891;17848142;11354239;8254694;3486963;2283150;1848128;7587773;28008230;
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2014;65527647;27679613;18835792;5047649;1063880;819107;374894;328733;520010;2704376;8153593;
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2014;54433742;3270960;27767339;8749747;6040114;1283522;656926;438081;1475472;1757957;2993624;
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2014;53687855;31655077;8727422;2641501;1121889;350191;199342;97793;80841;728440;8085358;
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2014;28521196;5248160;12393541;6329761;1755818;958596;334364;325363;113744;900817;161031;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2014;21220174;435418;14963785;2914746;1441712;545202;276659;117562;101588;423502;0;
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2014;16999549;2419834;4335945;2727396;880078;1493162;163844;0;38225;4216;4936849;
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2014;16508042;0;11457212;2358124;1144942;469323;216228;174250;138122;549841;0;
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2014;16230515;5876423;5762007;1875282;728077;859315;148788;256247;96368;628008;0;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2014;12475260;12010199;416667;7539;11526;2861;11363;1347;0;13758;0;
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2014;12357876;0;9963780;1028006;320509;185840;181235;98019;102314;478173;0;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2014;12339936;4617216;4130347;2072849;133133;379335;204582;106449;151623;544403;0;
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2014;11228047;343035;2664052;4335604;1103317;85030;26891;17697;3838;34986;2613597;
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2014;10925011;8658;9571401;502683;609006;60651;35377;25554;20930;90751;0;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2014;10877303;4790582;5049828;434044;193304;140518;27768;11087;126391;103781;0;
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2014;10642586;172735;4047732;5317339;753237;140810;67566;23763;15455;103949;0;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2014;9981417;1265084;2589097;5231853;408258;133839;19738;36328;53486;74480;169254;
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2014;9901431;11382;4691060;4241832;310036;178717;67564;67779;41498;279159;12404;
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/09/2014;9779580;3145639;2422511;621512;1037012;691399;518276;234595;20417;708984;379234;
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2014;8743728;5355684;1074050;1179083;467862;204363;106035;46979;58552;251121;0;
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2014;8691583;5139175;3039333;426734;46394;11190;4888;8610;1215;14044;0;
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;8401127;761483;4902721;1056492;324978;380210;248105;134181;210296;382661;0;
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2014;8330882;1340697;6176488;350275;124950;64596;46827;50014;42434;134601;0;
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2014;7962624;956023;5142349;1604818;184525;9554;7950;11018;4617;41770;0;
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2014;6241311;903597;902137;684438;214108;0;0;0;0;44344;3492688;
