Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE DA REGIÃO DA ALTA MOGIANA   SICOOB CREDIMOGIANA;69346856;b3S;I;2;;9;FRANCA;SP;01/09/2014;27963;1436;1546;5528;11341;503;44;0;20398;5;106;274;380;17;0;0;782;0;0;0;0;0;0;1172;1172;191;4919;266;0;0;0;0;5375;0;0;0;0;0;0;0;0;71;158;6;0;0;0;0;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE TRANSPORTES DO ESTADO DE SANTA CATARINA   TRANSPOCRED;8075352;b3S;I;2;;9;FLORIANOPOLIS;SC;01/09/2014;27514;230;1937;4785;4584;204;0;0;11740;48;947;2632;3610;161;0;0;7398;0;719;1723;0;0;0;0;2442;0;4821;1019;0;0;0;0;5840;0;0;0;0;0;0;0;0;12;82;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO RURAL DE ARIQUEMES LTDA.;3222753;b3S;I;2;;9;ARIQUEMES;RO;01/09/2014;27416;754;5945;3656;120;0;0;0;10475;8;47;122;104;0;0;0;282;0;7467;3322;0;0;0;0;10788;0;5292;218;0;0;0;0;5511;0;0;0;0;0;0;0;0;49;310;0;0;0;0;0;359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL E SUDOESTE DE MINAS GERAIS, BAIXA MOGIANA E REGIÃO LTDA. - SICOOB CREDINTER;24048910;b3S;I;2;;9;GUARANESIA;MG;01/09/2014;27233;337;1648;3395;4356;1141;146;0;11023;132;485;1207;2146;426;0;0;4395;0;0;0;0;0;0;3977;3977;45;4983;166;0;0;0;0;5193;0;0;0;0;0;0;0;0;139;234;163;25;11;0;0;573;0;0;0;0;0;0;0;0;0;1191;626;105;101;51;0;2073;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO RURAL DO NORTE CATARINENSE SICOOB/SC- CREDINORTE;81011686;b3S;I;2;;9;MAFRA;SC;01/09/2014;26765;374;2962;5247;7254;1273;50;0;17160;21;344;952;2386;474;0;0;4178;2;2;7;7;0;0;1439;1458;81;3323;177;0;0;0;0;3581;0;0;0;0;0;0;0;0;36;169;16;23;0;0;0;244;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;144;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE BAGÉ   SICREDI FRONTEIRA SUL RS;88530142;b3S;I;2;;9;BAGE;RS;01/09/2014;26629;119;3179;4571;5096;1275;103;0;14343;9;407;821;1281;271;1;0;2789;82;2217;944;0;0;0;0;3243;9;2207;926;0;0;0;0;3143;0;0;0;0;0;0;0;0;0;602;213;538;308;0;61;1721;0;0;0;0;0;0;0;0;0;607;655;127;0;0;0;1390;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ROTA DAS TERRAS - SICREDI ROTA DAS TERRAS RS;87510475;b3S;I;2;;9;TAPERA;RS;01/09/2014;26508;15;549;1631;2069;365;399;0;5028;10;421;1157;2084;343;9;0;4023;450;3476;5462;139;0;0;0;9528;16;5539;389;0;0;0;0;5944;0;0;0;0;0;0;0;0;8;576;163;777;386;0;75;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE PERNAMBUCO S.A.;13178690;n1;I;1;;30;RECIFE;PE;01/09/2014;26287;2334;8521;9637;1303;0;0;0;21795;225;323;932;1252;144;0;0;2876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;433;797;281;0;0;0;1617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NOROESTE DO ESTADO DE SÃO PAULO   SICREDI NOROESTE SP;3065046;b3S;I;2;;9;SAO JOSE DO RIO PRETO;SP;01/09/2014;26024;256;1688;4025;5177;503;0;0;11649;7;152;437;668;134;0;0;1399;541;2747;1780;0;0;0;0;5068;172;6982;663;0;0;0;0;7817;0;0;0;0;0;0;0;0;0;6;0;0;0;0;86;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE ARAXÁ LTDA. - SICOOB CREDIARA;66398496;b3S;I;2;;9;ARAXA;MG;01/09/2014;25879;0;1065;2044;4186;1004;0;0;8299;14;416;1091;1632;316;0;0;3469;0;0;0;0;0;0;4793;4793;25;2683;109;0;0;0;0;2816;0;0;0;0;0;0;0;0;46;844;1944;2950;9;0;0;5792;0;35;27;0;0;0;0;62;0;156;491;0;0;0;0;648;0;0;0;0;0;0;0;0;0
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;;14;BARUERI;SP;01/09/2014;25619;20;1867;2947;2256;0;0;0;7090;146;1887;4741;7593;1565;4;0;15935;0;0;0;0;0;0;0;0;43;2133;194;1;0;0;0;2372;0;0;0;0;0;0;0;0;40;171;10;0;0;0;0;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR PARTNERS;51822;b2;C;2;;198;SAO PAULO;SP;01/09/2014;25551;0;0;219;1421;544;0;0;2184;0;0;0;45;11745;0;0;11791;0;0;0;0;0;0;0;0;0;416;1023;0;0;0;0;1440;0;0;0;0;0;0;0;0;0;1205;3536;5396;0;0;0;10136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CAMPINA GRANDE LTDA. - UNICRED CENTRO PARAIBANA;1151186;b3S;I;2;;9;CAMPINA GRANDE;PB;01/09/2014;25162;314;3468;6728;4793;163;0;0;15465;130;904;2145;2562;390;407;0;6538;0;356;1255;0;0;0;0;1612;0;1359;136;0;0;0;0;1495;0;0;0;0;0;0;0;0;19;33;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
