Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2018;296605200;0;1032191;3340050;276783356;15449604;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2018;288537343;3767421;24376027;55684697;170100113;0;1172;34607914
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2018;287180175;3073313;14106547;45438954;62727806;314219;10771;161508565
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2018;271083786;9117866;6647690;35298773;38420274;83474863;9567;98114754
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2018;159919871;9719315;16199845;25679708;108318573;0;2431;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2018;128399688;3249863;16609826;37116433;47568310;0;5312;23849943
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;49334132;348505;1615926;10742179;27563009;572165;135;8492212
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2018;18889440;246334;40686;424633;9632596;0;0;8545191
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/12/2018;12743189;125977;1462372;5109686;4086091;22459;1;1936603
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;12624837;912444;208647;513059;9431601;19619;0;1539466
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/12/2018;12271905;123583;386387;1215515;8793951;1752469;1;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;11945838;800479;301196;4433576;5769802;240401;55;400330
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/12/2018;10074577;114754;770180;3967515;4816107;406021;0;0
