Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2018;524644332;2124214;5477487;13885775;23316316;10423988;4501798;8866;59738442;598696;881819;1563801;1172226;106169;237;10198;4333146;162420;570196;1101109;647679;20178;84;1012;2502678;1258541;12964754;34541976;79192476;63713806;173794918;66834438;432300909;1427043;6409935;1956405;125194;14896;13931;0;9947403;174797;303117;2069956;674657;205586;100513;0;3528626;1592250;3410467;2712712;2375498;1150381;1000489;51330;12293128;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2018;341671259;273261;4589653;12574650;26226255;16981287;9971235;423911;71040252;474488;2875023;6532657;9536817;4152228;2049166;940244;26560623;32562;480498;1169419;1609161;316261;68;109258;3717227;57936;619542;1332578;3545650;3499671;17475945;21516237;48047558;919225;23020883;4510496;286420;0;0;398699;29135723;1960562;10055138;53742353;36398665;24938687;20306135;166327;147567868;648257;1060495;3456300;3293839;2044733;1570837;264100;12338561;3263448
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2018;267679094;437748;4899000;12171377;19527473;7878679;1611320;80;46525677;589682;2139111;3439344;5091677;1671190;37676;0;12968680;193319;2210371;5316731;7187552;1001562;1360;0;15910895;79688;710961;1634120;4299365;4054551;16048838;13390378;40217902;4826697;51312388;20524287;804770;2630;0;0;77470772;834;48498;673310;124577;47350;27234;0;921803;1881555;5876760;4086453;4605064;1192969;174233;0;17817034;55846330
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2018;191947672;234068;5153325;12610051;21012438;9040147;2859782;502;50910312;834163;5208682;6162783;4331290;644217;129703;257;17311094;246433;3406764;8047922;10566672;1423328;5184;0;23696303;72151;718848;1568214;4047446;3781047;15114201;12127581;37429489;3784566;23923692;7420551;305335;6328;89;0;35440561;239172;1561103;6321384;4183279;1256117;559926;26;14121006;1364594;4701583;2591946;2732612;812195;291989;22070;12516989;521917
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2018;175759920;538700;3027572;7703969;12675210;5787682;2825622;735;32559492;918214;1424998;2894387;4049450;1354618;280744;17851;10940263;584366;5681468;13805081;19878963;3146442;13732;3419;43113472;40685;1298596;3121288;6596335;4809423;11650545;4921487;32438358;1900518;22201708;6978560;636228;135699;51911;28;31904651;41018;444967;2983012;1430766;694036;507671;0;6101471;1966701;4918706;3811690;4248200;2207950;1210525;30178;18393950;308263
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;37630750;61233;304743;667823;806793;170557;24976;0;2036126;15719;127681;70730;31309;1680;22;0;247142;636640;4623847;10942710;14940838;1729304;622;0;32873960;0;0;0;0;0;0;0;0;345695;1380758;534414;16241;0;0;0;2277108;14;8967;23889;17658;3193;1219;0;54940;889;9721;34228;75140;11191;10147;157;141474;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2018;23838782;80637;994119;2678923;5143831;3111709;1478473;82;13487774;24333;684167;1038350;275198;78304;8515;26;2108892;203;3464;8305;7773;1664;8;0;21416;3033;63612;147801;384047;358967;1401458;1048317;3407235;45466;1008551;267050;1102;0;0;0;1322170;27942;138169;732098;380543;256054;184996;27382;1747185;115998;1014568;242007;206631;94915;69891;100;1744110;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;19926498;21937;694238;1875526;3591307;2026400;421295;0;8630703;4280;170630;383739;237518;48722;0;0;844889;63849;1234590;3084534;4579662;614054;493;0;9577182;17;306;167;982;568;199;0;2239;4994;198756;61015;31;0;0;0;264796;0;31227;81336;43238;24123;11217;0;191142;2540;243673;134707;10031;3444;0;0;394395;21153
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;18558064;98412;712337;1882814;3414262;1780988;692623;0;8581437;6202;23652;43210;25856;205;0;0;99125;184823;955826;2240006;3110906;350908;74;0;6842543;747;4773;12033;26628;19792;42219;7112;113304;282066;1859512;214251;14808;1766;3;0;2372405;0;0;0;0;0;0;0;0;68613;33585;89074;150844;86651;116603;3881;549251;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2018;12384132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68092;161138;2860125;1245574;684934;388985;0;5408849;60711;301018;2785405;2337901;1179726;310522;0;6975284;0
