Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2018;27033693;92037117
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2018;22876173;84407427
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2018;15509701;40109716
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2018;14006506;31764117
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2018;11803030;31579410
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/12/2018;4517659;5833594
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/12/2018;3586596;22844705
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/12/2018;3527258;6681520
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;3347431;7267141
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;2966748;4262480
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2018;2751737;8892903
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/12/2018;2417372;7195715
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;2393381;5553032
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2018;1900448;10266385
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;1327050;2085722
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/12/2018;1282478;2112887
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/12/2018;1140174;1744080
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/12/2018;957400;2610199
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/12/2018;879749;1990834
BANCO CBSS S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/12/2018;788594;1492562
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/12/2018;764074;1873967
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/12/2018;755706;1528117
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/12/2018;738694;910194
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;704114;1564225
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2018;667320;812680
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/12/2018;621353;1410384
AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;S4;14;VITORIA;ES;01/12/2018;565665;994696
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;S4;14;BARUERI;SP;01/12/2018;503074;2202208
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;01/12/2018;442755;842793
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/12/2018;400942;626808
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/12/2018;378914;381993
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/12/2018;355540;427684
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2018;323766;405417
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;S4;14;SOROCABA;SP;01/12/2018;315010;606478
ESTRELA MINEIRA CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;S4;14;ARAXA;MG;01/12/2018;267698;386829
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/12/2018;266492;388487
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/12/2018;263529;508422
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/12/2018;250305;622173
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/12/2018;223553;542674
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/12/2018;211103;716834
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;S4;14;SANTO CRISTO;RS;01/12/2018;205259;541239
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/12/2018;203213;270789
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/12/2018;198197;502032
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;S4;14;CURITIBA;PR;01/12/2018;175974;231677
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;01/12/2018;160325;508150
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;157126;698848
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;S5;14;VITORIA;ES;01/12/2018;148094;242943
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;S4;14;ELDORADO;RS;01/12/2018;145611;243692
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/12/2018;140874;154685
