Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2018;684564202;349051121;80708462;104837832;81937342;29405319;9684227;8592979;2803923;17542997;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2018;630208603;295890355;60498305;133484514;53386036;13040168;8965283;4389634;3893311;18789635;37871362
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2018;554859269;129057088;141899482;19830096;15137420;7402710;4279359;3786011;3513745;12598463;217354895
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2018;463031459;117420196;140197454;32658755;37723155;6826829;5329033;4596801;3370164;16272399;98636671
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2018;304159608;99649851;102132197;24197500;23464428;11577586;4397689;2873991;1869038;9839121;24158206
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2018;296606737;41132147;100601952;102256477;25299527;3421450;7868240;225182;0;15801762;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;69260629;34169164;18542953;4471206;1443010;953054;81483;69612;53317;963467;8513365
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;50255587;4276665;21599429;8992367;8880217;1129671;526456;585769;1217851;1507695;1539466
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2018;33342998;3204736;20053096;3397469;2164192;1420243;626168;342389;333390;1673262;128053
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2018;21145832;2782796;4215644;11550023;1013147;741531;454952;6563;14216;366959;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;20277331;0;17099687;703209;515163;375725;277899;279011;211542;815095;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2018;19586427;1524058;3906605;1749616;1496275;1098883;379365;261305;99826;158938;8911556
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;18216597;1063037;7516125;6723487;1251985;374560;84672;138128;43685;612698;408219
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2018;17109347;4478801;10385292;1398601;188606;75666;54307;173793;43157;311123;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2018;14323553;968811;8555971;2172413;1505655;402011;184582;195078;34392;304641;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/12/2018;13578611;6387817;5273202;898081;416765;193514;74600;18098;53087;263448;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/12/2018;12978938;1136888;3786140;4088509;1360067;297785;232450;40678;46884;52935;1936603
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/12/2018;12351494;5056733;5691470;1129450;252336;125174;2183;16248;7629;70273;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/12/2018;10579107;104067;7718377;874868;1524369;166938;48233;26156;19356;96742;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2018;10543329;3722941;4696442;743922;559978;183113;61157;37285;46178;492313;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/12/2018;10498467;10209875;277870;8579;1598;293;99;24;35;94;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/12/2018;9628891;318005;5243687;2518635;718789;153173;373905;76229;203411;23057;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/12/2018;9033615;422623;2635470;1197805;192966;53378;57522;79399;102542;238058;4053852
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/12/2018;8953216;1286718;2941268;2031651;1350978;967297;31154;223825;10207;110118;0
