Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;dez/19;685.397.931;108.248.454;508.922.285;25.012.429;0;0;38;24.507.673;0;0;334.490;7.511.328;0;0;10.846.545;0;0;0;0;14.689;0
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;dez/19;663.487.114;283.634.083;49.976.034;3.530.976;2.598.929;455.832;12.831.253;24.657.442;1.634.495;69.043;90.899;169.885;0;0;4.312;0;0;0;0;115.431;283.718.500
BB;49906;b1;C;1;S1;199;BRASILIA;DF;dez/19;613.721.337;389.979.387;61.589.958;11.769.495;6.600.781;42.580;5.138;68.278.144;0;37.494.760;1.724.686;170.393;0;0;3.127.451;0;0;0;0;23.183;32.915.378
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;dez/19;517.688.975;286.719.923;57.146.329;6.090.608;4.958.349;15.484;18.804.914;40.518.049;951.934;0;1.633.429;52.884;0;428.679;0;0;0;0;0;72.765;100.295.631
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;dez/19;351.523.077;243.819.174;47.409.388;3.424.653;1.405.682;22.593;69.010;17.825.476;682.569;0;692.212;55.188;0;780;656.643;0;0;0;0;41.732;35.417.977
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;dez/19;261.078.772;36.963.151;41.342;169.193.872;33.471.666;1.579.170;4.852.062;0;7.138.204;0;0;7.839.304;0;0;0;0;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;dez/19;76.442.089;47.801.460;239.497;606.908;743.290;0;1.677;18.570.981;167.103;0;14.215;60;0;875;0;0;0;0;0;1.467;8.294.558
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;dez/19;54.997.791;47.609.368;1.370.600;254.221;222.419;55.381;581.586;3.499.331;26.557;0;0;56.125;0;0;55.959;0;0;0;0;2.250;1.263.994
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;dez/19;35.755.075;26.815.579;5.646.298;150.293;21.994;0;7.546;2.885.828;17.675;0;43.341;0;0;0;47.135;0;0;0;0;1.473;117.912
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;dez/19;28.942.855;5.114.869;66.978;2.575.210;0;240.866;0;8.824.531;0;0;25.110;128.730;0;0;53.473;0;0;0;0;0;11.913.089
