Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;dez/19;365.110.395;4.847.865;19.021.213;51.214.518;61.595.591;1.201.398;1.760;227.228.050
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;dez/19;287.170.705;6.893.373;9.566.886;18.699.940;37.900.836;114.839.111;1.136;99.269.425
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;dez/19;261.077.245;0;1.011.761;3.010.327;251.276.885;5.778.272;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;dez/19;246.652.278;2.702.587;23.052.766;47.027.680;140.960.030;2.326.212;319;30.582.683
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;dez/19;145.684.729;6.848.562;17.808.664;43.523.483;42.118.724;1.452.564;1.919;33.930.813
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;dez/19;138.195.218;9.689.282;13.900.250;23.312.272;91.293.246;0;168;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;dez/19;51.882.454;465.141;2.083.457;13.334.589;27.456.356;256.885;403;8.285.623
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;dez/19;26.967.224;1.126.265;667.392;395.463;13.058.061;0;0;11.720.042
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;dez/19;16.861.607;195.839;1.950.358;5.971.962;6.456.828;64.730;2;2.221.887
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;dez/19;16.645.463;152.586;576.057;5.483.076;7.819.428;1.595.185;73;1.019.057
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;dez/19;13.579.823;99.983;48.155;916.106;11.806.265;709.314;0;0
