Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;01/12/2019;547202714;1590286;6061754;13676207;23420423;11209183;6413709;37832;62409394;610058;805839;1519701;1317495;160027;4371;9467;4426958;65640;220875;350812;165128;20513;106;379;823453;1239343;13361949;35553309;81984223;66453307;183912330;72088651;454593111;1662185;6995960;2168245;142219;19614;18420;0;11006643;172020;221335;1886031;524543;155773;54747;0;3014448;1500104;3316093;2434667;1976427;884119;779620;37675;10928706;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;01/12/2019;367069059;250391;4808521;13501807;29028973;19236515;14233091;219104;81278401;626481;3289532;7312368;11078411;5052275;2590387;425408;30374861;34546;424377;1082211;1644040;357983;46;94512;3637714;65320;621680;1338713;3581466;3530394;17979902;21784279;48901755;1163083;25358005;5266892;305695;103;0;184458;32278236;2782260;10396594;58676163;40065812;25598230;21391760;178882;159089700;624610;1019533;2952614;1864510;1267133;1301119;146178;9175697;2332695
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2019;298376719;472646;4275819;12736220;20367902;8829168;1947526;23;48629305;495654;3047828;5213343;5034106;977713;18996;0;14787640;228373;2488516;6164936;8773897;1313060;2110;0;18970892;49966;1521034;4201408;9600517;7435549;17522937;4398120;44729530;6574033;57860493;24837777;1635703;26208;8;0;90934223;5224;82529;780379;147104;46888;25554;0;1087677;2600086;7694248;6478197;4817517;992403;164553;0;22747002;56490450
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;01/12/2019;230518270;267842;5735748;14738904;25180743;12184990;4887918;377;62996522;1186926;6566424;8431983;7443097;1155628;196504;321;24980883;280241;3824937;9358502;13392558;2124821;6286;1;28987346;77868;1550514;4230773;9460945;7140572;16925931;4436695;43823298;4002629;26597020;9046900;538309;24134;3772;0;40212764;158511;1144294;6883944;4543441;1154033;478439;0;14362661;1601928;5416029;2772954;3014866;893547;414770;14496;14128591;1026206
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2019;205838349;658011;3509574;9137532;15667656;7800542;4519984;837;41294136;869109;1380628;2902281;3987321;1558115;330816;16988;11045258;664340;6407674;16027959;23728785;4304403;22792;3845;51159797;40964;1326549;3459073;7793243;5915638;14181521;4501536;37218524;2339954;24269283;8265712;809537;195026;78697;34;35958242;68687;451784;3344182;1664116;839929;569119;0;6937816;2261184;4892664;4208305;4866406;2849671;1617669;41514;20737413;1487164
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2019;42889650;68493;225233;491489;461425;62406;3623;0;1312669;33251;168117;181334;113779;24918;352;0;521751;692957;5107590;12474392;17595132;2281854;1511;0;38153436;0;0;0;0;0;0;0;0;451379;1620956;674288;19647;0;0;0;2766270;0;6000;9411;3824;2977;0;0;22212;829;9549;44991;35293;11472;10958;220;113312;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2019;26929973;152272;1070558;2994048;5966385;3735169;1873548;117;15792097;27092;725897;1120358;343174;58531;13143;0;2288193;374;1994;4670;7267;1703;10;0;16018;3104;66017;153453;402717;372898;1468094;1099113;3565395;63387;1163063;315866;3503;0;0;0;1545819;29178;155420;1047991;399584;222309;146943;20558;2021983;109002;995805;227737;191839;90532;85400;152;1700467;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2019;24559635;29027;697557;1923810;3695957;2031472;478479;0;8856303;1452;173902;367918;322745;53265;1012;0;920294;110912;1707332;4355099;6724744;959272;1071;0;13858430;24;374;136;858;390;327;0;2109;7126;232487;70758;65;0;0;0;310436;0;35506;137056;51905;37721;13920;0;276109;6387;134796;177802;3199;4834;0;0;327020;8935
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2019;21881437;122879;783879;2087060;3851767;2015796;764450;0;9625829;2976;8981;13247;3511;29;0;0;28744;254291;1198258;2881013;4031845;483300;127;0;8848833;790;4187;10642;23231;17150;35784;5700;97483;370720;2279588;247889;9778;634;1;0;2908610;0;0;0;0;0;0;0;0;14228;25561;61439;112037;70497;85812;2364;371938;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2019;13932900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140968;232643;2147976;1201816;665578;425552;0;4814532;183353;480895;4263195;2722367;1164110;304447;0;9118368;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;01/12/2019;10570007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7533079;1753856;408;0;0;0;9287342;0;0;0;0;0;0;0;0;566234;471294;241853;3284;0;0;0;1282665;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2019;10444463;64666;559859;1645981;2823785;1226537;268060;0;6588889;20332;60746;132257;70966;0;0;0;284301;43;482;1213;2259;563;1;0;4561;0;0;0;0;0;0;0;0;112982;2151924;847785;213658;21272;0;0;3347620;0;0;7198;1048;0;0;0;8245;13512;37859;69523;74127;14410;1417;0;210847;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;01/12/2019;10098284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1309703;5680158;2595117;513289;17;0;0;10098284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/12/2019;9990461;0;32394;81858;123230;41631;6162;0;285275;0;63;355;842;633;935;0;2828;0;2680;7388;16636;6409;39;0;33153;0;3998;12100;31426;30852;139079;128443;345898;0;0;0;0;0;0;0;0;0;265837;1530148;3095016;2269951;2116425;743;9278121;129;2696;12284;23288;6438;352;0;45187;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;01/12/2019;9508045;16457;374695;922616;1947123;1296708;1537424;0;6095024;14375;281273;433968;733454;436197;173488;0;2072756;668;7669;18288;24179;5757;0;0;56561;543;16312;36583;94407;89280;369790;259563;866478;0;0;0;0;0;0;0;0;2881;10937;121494;40728;15653;12239;0;203932;5986;19666;100150;18537;9417;10021;49518;213294;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;01/12/2019;9143534;8552;35794;94328;158056;81717;29903;25;408374;210279;289218;266851;15173;199;15;0;781735;79;18;32;30;5;0;0;163;0;0;0;0;0;0;0;0;332687;6817595;101181;30770;4615;1;0;7286848;0;0;0;0;0;0;0;0;321;3967;32074;24910;3939;5898;0;71108;595306
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2019;7950861;55066;424806;1192345;2274971;1332575;647899;0;5927663;3491;8701;99619;14600;4420;5401;0;136233;31764;152548;349455;474754;56282;1315;0;1066118;0;0;0;0;0;0;0;0;30654;480438;9537;1909;626;48;0;523212;0;0;819;954;0;0;0;1774;1575;84482;76564;74737;15348;39599;331;292635;3227
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;01/12/2019;7710033;2953;14086;31007;38109;7957;50;0;94162;3685;16258;8293;1617;0;0;0;29853;14088;137788;340410;490406;81192;135;0;1064019;0;0;0;0;0;0;0;0;408332;4174351;1809945;91080;5340;3;0;6489052;0;0;0;0;0;0;0;0;657;6157;12894;12189;1048;1;0;32947;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2019;7312344;937;9672;20220;22740;2211;4;0;55785;415;1179;996;947;393;5;0;3935;81234;954892;2467300;3265295;482566;1336;0;7252624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;01/12/2019;7098301;3194;78722;195891;385808;176940;43392;0;883947;958;18794;51727;97175;41016;12036;0;221706;0;0;2;4;2;0;0;8;12;1106;2465;6591;6481;28574;27390;72618;27363;599947;2948485;9467;0;0;0;3585262;0;105135;320055;723627;557767;598031;485;2305099;407;7056;1666;4897;4592;11043;0;29661;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;01/12/2019;6952151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55001;978149;2330648;3068317;519042;993;0;6952151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;01/12/2019;5943002;0;0;0;0;0;0;0;0;3;122;313;481;0;0;0;919;17434;726137;1976287;3049903;146755;576;0;5917092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;4167;9689;10474;542;0;0;24991;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2019;5375274;613;14715;36619;46793;12229;182;0;111152;2822;7290;13553;9732;80;1;0;33479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4770;39688;11490;3;0;0;0;55950;19873;17353;70375;563221;47334;3498;0;721655;1795;2653217;1701333;93797;1611;1137;150;4453038;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;01/12/2019;5372549;10505;312915;727295;1465062;796948;855236;0;4167961;19071;204609;359611;340678;94051;22867;0;1040887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3766;36497;15015;1223;0;0;0;56502;533;21;1196;4017;282;204;0;6253;2791;12320;25160;34901;15752;9906;116;100946;0
