Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2019;365110395;383572;8933551;14202988;15305260;2925175;712027;101507;42564080;16468;1043487;2714079;4285326;1205272;206343;0;9470976;753945;9700062;219710;52667;0;0;0;10726384;76282;13801527;4653288;1187849;761846;3471;0;20484264;14817;4172935;6796182;3978157;4047668;2920714;0;21930473;774897;3085238;4685375;2617282;994146;480143;891;12637971;31404;1354537;3032468;4683626;1438972;1463592;289867;12294465;35;1621575;3198037;440284;186532;189973;0;5636437;136921;271504;698381;898352;102508;29619;10;2137295;227228050
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2019;287170705;517582;6951880;15832633;18386370;3960966;603419;25;46252874;108903;2663740;5344745;7213441;1668490;184475;0;17183795;454560;5858562;1062320;240;0;0;0;7375682;171659;22713368;5321340;124573;4801;0;0;28335741;430856;8354448;16263641;5309642;4476082;5758169;0;40592837;1514562;4536588;4793083;2697658;1574512;1789196;839935;17745535;41624;1688310;3494621;6708234;3496296;6564292;296286;22289663;4623;558805;2646692;550338;101265;87644;0;3949367;121919;376992;785926;2161486;681744;45480;2241;4175787;99269425
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2019;261077245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605985;8294972;21695686;49156455;35678553;114385268;30484736;260301654;0;33175;55724;167189;101889;411364;6250;775590;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2019;246652278;749335;7102573;15803003;18304865;3621144;1260568;385365;47226854;390916;1121800;5537040;11360568;8945679;25738739;345307;53440050;135901;1917982;689351;20146;0;0;19919;2783299;106752;4732025;2072835;354742;0;0;0;7266354;396188;6829092;11488481;4676645;7259316;1951535;0;32601257;1314907;3467516;3906984;3132920;2097003;3636505;777929;18333763;330487;2105564;6665137;10122867;6046024;13877960;4873883;44021921;70456;396302;2806228;2879175;1191229;1366809;0;8710199;319764;287056;362169;624097;30360;0;62453;1685898;30582683
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2019;145684729;440646;4413401;6842175;7440112;1962371;1094073;325932;22518711;63704;1141044;2657563;3833271;939389;2643255;650106;11928331;283427;3626824;1282400;252342;70386;76114;10849;5602342;127640;21797718;10352463;334781;22110;19915;6200;32660827;154017;4479487;7403839;1942614;2458490;1262615;0;17701062;716885;1657017;2127168;2576673;820923;323427;247543;8469636;67559;535183;1293753;2250054;925421;557757;14;5629741;1716;674601;4682585;398754;101319;45464;0;5904439;102754;231292;484092;465537;25822;29330;0;1338827;33930813
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2019;138195218;1259708;3136722;8368716;12651307;3966510;598970;2184;29984118;20235;41307;89041;237891;65372;2465;28;456340;237288;244141;901643;7018;0;0;0;1390089;11090;187099;14887;0;0;0;0;213077;65947;411231;1119396;229530;4323;0;0;1830427;1248711;770734;1090930;1052159;445132;213070;390;4821125;476090;5913461;9437961;18342624;13179841;34659177;7551124;89560278;1479;72289;1999330;25788;4626;1425;0;2104936;475924;1227226;2706804;3147590;155473;121812;0;7834829;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2019;51882454;41566;3480147;6447987;5721544;1160962;557073;0;17409278;5506;493278;1029841;1113238;242806;35422;0;2920091;58789;932804;86370;0;2181;0;0;1080144;14469;5626652;1704337;10720;0;0;0;7356177;2423;2398667;2949691;1641748;709059;1654819;0;9356407;19543;192656;1086372;471706;95249;12521;0;1878046;1220;149386;395542;837146;354665;242380;0;1980340;0;143704;550493;333182;173697;177883;0;1378959;816;11536;47145;176803;1088;0;0;237388;8285623
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2019;26967224;4244;289654;793396;2266940;494678;822696;0;4671608;0;0;0;0;0;0;0;0;0;4337;0;0;0;0;0;4337;170;1479857;736498;16660;15520;244;0;2248949;22533;568228;1829156;1505445;330995;11582;0;4267940;290794;217926;168941;479560;12175;5562;0;1174958;0;27358;56615;158816;154226;1058408;1418613;2874035;0;2677;2677;0;0;0;0;5354;0;0;0;0;0;0;0;0;11720042
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/12/2019;16861607;13581;905382;1502673;1552527;320837;36825;0;4331825;350;296010;779471;620891;122349;3821;0;1822891;1255;80660;44298;0;0;0;0;126214;0;913621;551104;7160;0;0;0;1471885;9966;609751;1549515;1201918;260715;56079;0;3687945;159764;601635;304476;367203;141589;70400;0;1645068;6204;40328;97551;201353;76286;31462;0;453184;0;138117;402894;307747;130388;121562;0;1100708;0;0;0;0;0;0;0;0;2221887
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2019;16645463;23456;685576;1551182;1681600;197453;3926;0;4143193;2876;145394;349660;541962;130058;13180;38228;1221357;6501;675842;1033115;7367;0;0;0;1722825;19373;5067708;1212976;34884;4662;0;0;6339602;53975;677439;707132;209230;19558;0;0;1667334;2715;36495;48511;6135;352;0;0;94208;1973;33581;83899;88725;16855;358;0;225392;5638;10408;135761;60688;0;0;0;212495;0;0;0;0;0;0;0;0;1019057
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/12/2019;13579823;3740;1846684;469246;474717;436005;6631;0;3237024;0;5970;17328;28381;6460;0;0;58138;0;253525;322525;307;0;0;0;576357;0;4145694;796342;13081;392;0;0;4955509;0;645365;1800900;600822;487633;0;0;3534721;82071;335894;24996;0;0;0;2;442963;0;328;983;341;0;0;0;1652;0;144466;620323;8669;0;0;0;773458;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/12/2019;12124055;2834;35539;80665;122994;31962;59;0;274054;7506;430550;1290460;3058256;1482139;57601;0;6326512;0;0;0;0;0;0;0;0;0;1255606;1484168;0;0;0;0;2739774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13251;350842;927975;1224811;241176;25659;0;2783715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2019;12108141;2462;312355;586246;659457;196053;9776;0;1766349;14826;181641;424281;546623;74796;511;0;1242678;0;848;0;0;0;0;0;848;0;1609956;302851;102205;67590;0;0;2082602;68250;439614;865570;998707;213307;31243;0;2616691;56595;8669;183395;145911;127099;497512;675597;1694777;6552;94277;260332;407527;189459;10012;0;968159;9433;72022;217417;94023;39516;39631;0;472042;0;0;0;0;0;0;0;0;1263994
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/12/2019;10289167;0;0;0;0;0;0;0;0;0;34;6;270;0;0;0;311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15991;288090;804145;1738967;962959;1524664;68255;5403071;1092;270791;794131;1571394;1043982;1203925;470;4885785;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2019;10239098;7803;34015;83980;100160;17704;1549;0;245210;22179;491114;1327388;2117833;751099;5402;0;4715014;0;0;0;0;0;0;0;0;13239;756884;2293469;15154;0;0;0;3078746;0;0;0;0;0;0;0;0;0;61908;0;0;0;0;0;61908;31802;282896;697381;956772;168270;1099;0;2138220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2019;8825103;58063;495770;1318736;1520520;451715;168080;26471;4039355;535;13295;36089;70070;36431;29733;0;186152;26068;358894;188206;0;0;0;0;573168;3603;113260;20029;0;0;0;0;136892;2020;290269;510873;3756;725;0;0;807643;170755;200280;322197;309485;181600;264308;103869;1552493;10404;49768;132792;261783;111363;77855;0;643966;1254;69215;220405;27198;18708;17407;273;354461;19452;17745;66433;212530;94505;2394;0;413060;117912
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2019;8130029;5491;61861;433752;590351;503684;25745;0;1620886;0;0;0;0;0;0;0;0;0;4134;21950;0;0;0;0;26084;0;401;0;0;0;0;0;401;96553;970448;2093540;1925437;542894;60564;0;5689436;22451;14204;59536;35830;20014;20663;0;172698;0;1480;4625;4803;0;0;0;10909;20944;64321;209173;161179;92214;61784;0;609616;0;0;0;0;0;0;0;0;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/12/2019;7935662;1840;202556;136834;189127;45512;3333;0;579203;151;8725;27024;54543;8195;1587;0;100225;0;2472;10010;0;0;0;0;12481;80;1073;2086;4182;1627;212;0;9260;25569;978458;1094360;700785;113528;3000;0;2915700;77769;197004;234227;134484;15401;1276;34874;695036;0;0;0;0;0;0;0;0;0;73524;85993;15244;0;0;0;174761;0;0;0;0;0;0;0;0;3448996
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2019;7210100;0;172259;375939;372194;11333;55000;0;986725;0;0;0;0;0;0;0;0;0;98502;70366;0;0;0;0;168868;0;963220;152914;5463;1732;0;0;1123330;0;1008594;1758113;304314;78196;0;0;3149216;0;49081;1581699;18397;0;0;0;1649177;0;266;620;118;0;0;0;1004;0;48811;71769;11200;0;0;0;131780;0;0;0;0;0;0;0;0;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/12/2019;5739574;0;90594;185141;12365;0;0;0;288100;161;21329;94179;28070;2349;0;0;146089;0;0;0;0;0;0;0;0;16393;2351540;2788341;76898;36932;35280;0;5305385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2019;5563407;21259;53086;134071;215275;73795;118892;193;616572;14306;80435;197623;295223;11678;16216;20;615500;1419;1211;3859;62;0;0;0;6551;342;5075;550;0;0;0;0;5966;1171;97602;744590;0;0;0;0;843363;5065;11934;28922;36819;13101;50487;77127;223455;7202;63089;160260;402232;374804;1359551;486540;2853677;6567;14474;44337;312460;20005;480;0;398323;0;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/12/2019;4903447;8893;1409870;1334911;5;0;0;0;2753679;4729;95737;248856;439032;179271;386;0;968012;0;0;0;0;0;0;0;0;724;71361;17491;16;0;0;0;89592;0;0;0;0;0;0;0;0;10288;7511;3866;7465;2852;0;0;31982;5337;69602;186303;365951;131652;187;0;759032;243;3053;68950;115489;90424;22991;0;301150;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/12/2019;4827221;629;6239;13682;27498;14009;19965;0;82023;3735;222408;630200;1208662;453864;2811;0;2521679;0;0;0;0;0;0;0;0;1;225371;133698;0;0;0;0;359070;0;0;0;0;0;0;0;0;31;1863;6508;14515;6713;3000;0;32631;10562;199648;512829;835823;248497;24459;0;1831819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/12/2019;4312915;2907;87815;379983;303447;17902;0;0;792054;882;135652;282004;303023;50202;27697;0;799460;0;157933;123130;0;0;0;0;281063;3;903333;303138;3830;0;0;0;1210304;0;157202;160889;131197;0;0;0;449289;10516;602;1400;0;0;0;0;12518;334;47199;134555;407962;168049;8894;0;766993;0;70;241;662;262;0;0;1236;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/12/2019;4259349;3513;48055;112783;221458;144689;9253;100148;639898;2788;59256;143181;306900;139158;59504;766;711554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1822;16816;59021;63547;15602;367;0;157175;8673;139052;363955;815053;478751;342727;32633;2180844;383;86441;181225;124662;100183;76983;0;569878;0;0;0;0;0;0;0;0;0
