Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43709;113235285;11621096;124856381;11898175;136754555;759357599;12296299;4089892;20359292;9841169;46586652;81567796;887512047;1519668556;0,1276;0,1407;0,1541;0,0822;0,2774
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43709;99030693;9787447;108818140;25515725;134333865;659400626;6387679;2092550;6827473;902447;16210150;64572141;740182917;1220473085;0,1338;0,147;0,1815;0,0892;0,3374
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43709;72644690;25853147;98497837;35785626;134283463;613363972;13757524;282553;4752831;0;18792908;77379504;709536384;1137616323;0,1024;0,1388;0,1893;0,0866;0,139
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43709;135044152;0;135044152;52678983;187723136;457221249;17032215;0;1762399;0;18794615;43896228;519912092;823861445;0,2597;0,2597;0,3611;0,1639;0,0453
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43709;69853872;0;69853872;32661595;102515467;419832750;5145840;1962681;2711598;230666;10050785;79510550;509394085;1416419612;0,1371;0,1371;0,2012;0,0493;0,0996
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43709;66181481;5354363;71535844;5331263;76867108;398491349;7285734;4214;14463477;5312075;27065500;47965481;473522330;775171027;0,1398;0,1511;0,1623;0,0923;0,0989
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43709;16125645;382086;16507731;4247697;20755428;65736974;2454495;6114900;45797763;10343300;64710458;5938507;136385938;163678921;0,1182;0,121;0,1522;0,1009;0,4744
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43709;12643250;1272506;13915755;3593012;17508768;102344798;1749450;0;1516288;1194800;4460538;7408475;114213810;210147410;0,1107;0,1218;0,1533;0,0662;0,3277
