Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43709;27650302;270860000;290248323;492180517;-31026384;461154133;7197417;1089958;778661;-261295;8804741;279665005;134393754;57611290;1530387546;778661;1529608885
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43709;14240475;463709622;184290969;570454728;-34830375;535624353;47245;232556;77011;-4716;352097;189712824;77751519;33639682;1499321540;77011;1499244529
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43709;8041843;209210078;208801683;673924039;-34175156;639748883;0;0;0;0;0;81834476;138709718;13373656;1299720335;0;1299720335
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43709;16265724;70652833;312102970;372573077;-33365917;339207160;21676;3984594;1405894;-145874;5266290;211524723;96779404;76728434;1128527538;1405894;1127121643
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43709;10306745;36193155;207929172;268549673;-17386718;251162956;17046;4931257;2127875;-63113;7013064;215354062;95119253;13584494;836662901;2127875;834535026
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43709;264739;57839716;182828005;292022176;-12875308;279146868;0;0;0;0;0;35663804;184867704;9688553;750299388;0;750299388
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43709;1517290;52727186;38573707;63253684;-2386589;60867095;11318;1416167;485091;-14276;1898300;13698173;15491817;5893288;190666856;485091;190181765
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43709;983422;32606691;36936244;25073166;-1091174;23981991;0;0;0;0;0;58027881;1534735;11092807;165163771;0;165163771
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43709;129481;7329926;31123531;48570679;-3159176;45411502;-12;105887;973;-3320;103527;12509873;2142408;2194309;100944558;973;100943586
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43709;380880;228645;2285496;66798;-793;66005;0;0;0;0;0;4284030;67609817;11682926;86537798;0;86537798
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43709;1304584;17455199;33050107;6303711;-163599;6140112;-297;81436;18938;-1034;99044;24112415;3774927;286289;86222677;18938;86203739
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43709;915143;4415143;22690930;31640533;-2529665;29110868;229;72566;43695;-2291;114200;6766482;15291523;1441841;80746129;43695;80702434
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43709;138500;6220699;39142029;9579622;-663341;8916280;0;0;0;0;0;4650173;704092;231483;60003255;0;60003255
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43709;34604;25846664;23734720;1264348;-4041;1260306;0;0;0;0;0;8622699;8006;97604;59604604;0;59604604
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43709;20820;16371156;14781912;4898776;-77881;4820895;0;0;0;0;0;4139918;14985565;189757;55310021;0;55310021
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43709;87863;10150005;10083812;10236376;-1665;10234711;0;0;0;0;0;2521917;19233550;132387;52444245;0;52444245
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43709;2213;6989978;1617127;1265878;-1379;1264500;0;0;0;0;0;39618790;1507;8719;49502833;0;49502833
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43709;83937;4290499;7318539;11785233;-499984;11285249;0;0;0;0;0;24668902;193959;177602;48018688;0;48018688
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43709;935753;14982832;12485888;3832682;-167997;3664685;0;0;0;0;0;10910547;4089;88354;43072148;0;43072148
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43709;4442;5248363;2093172;1032988;0;1032988;0;0;0;0;0;34288637;2374;32431;42702407;0;42702407
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43709;57667;6407064;9500839;12785774;-236704;12549070;0;0;0;0;0;8092078;406770;66506;37079995;0;37079995
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43709;263528;4752322;1733130;16133618;-1078864;15054754;30723;1094017;159977;-18927;1265791;8691416;178558;941258;32880757;159977;32720780
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43709;47737;2645491;3900229;19591755;-764153;18827602;0;0;0;0;0;7055107;48731;24249;32549147;0;32549147
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43709;16031;4890236;3374812;1150119;-1788;1148331;0;0;0;0;0;22818409;15799;49264;32312883;0;32312883
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;I;2;RIO DE JANEIRO;RJ;43709;3351;16414154;13511671;0;0;0;0;0;0;0;0;1293709;66799;502584;31792268;0;31792268
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43709;4204;59998;2162517;22417330;-1320133;21097197;0;0;0;0;0;7000117;713896;624489;31662418;0;31662418
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43709;457708;10348230;12831701;2485658;0;2485658;0;0;0;0;0;4324794;164;17845;30466100;0;30466100
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43709;231554;8844481;9436091;3779481;-273943;3505538;3;10603;5316;-33;15889;850259;897310;321141;24102263;5316;24096947
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43709;58719;2649224;12650515;3309908;-331268;2978640;0;0;0;0;0;1664078;260583;339995;20601754;0;20601754
NU PAGAMENTOS - PRUDENCIAL;1000084693;n4;;I;2;SAO PAULO;SP;43709;268259;6053994;4217916;140176;-1645;138531;0;0;0;0;0;9810755;45944;29107;20564506;0;20564506
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43709;4546;598040;204777;16434474;-570149;15864326;1560;171380;24718;-2971;194687;2683560;19505;25265;19594705;24718;19569987
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43709;351838;359947;7470761;7902113;-342088;7560025;0;85384;17147;-8180;94351;3374400;271473;48725;19531519;17147;19514372
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43709;118564;11027199;5030270;522335;-150;522185;0;0;0;0;0;2386570;245431;63011;19393230;0;19393230
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n4;;C;2;SAO PAULO;SP;43709;11797;0;2408957;0;0;0;0;0;0;0;0;317488;12566925;2786340;18091506;0;18091506
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43709;77685;879922;2316612;10440134;-535008;9905125;0;0;0;0;0;4025468;267576;616033;18088422;0;18088422
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43709;639;638903;2344125;13311935;-310564;13001371;0;0;0;0;0;551203;44527;53917;16634686;0;16634686
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43709;138675;630662;3351346;9589908;-383224;9206684;0;0;0;0;0;1979013;809622;292174;16408176;0;16408176
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43709;6605;980217;4982323;6841038;-82520;6758518;3716;402563;131665;-7254;530690;1467491;311433;360671;15397947;131665;15266282
PAGSEGURO;1000084813;n4;;I;2;SAO PAULO;SP;43709;24405;13000;1986022;0;0;0;0;0;0;0;0;573883;9663228;2481612;14742149;0;14742149
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43709;135028;4228857;778376;247478;-1092;246386;1023;460436;28711;-16107;474062;7907748;2843;5650;13778950;28711;13750239
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43709;3607;2510003;8982209;179250;0;179250;0;0;0;0;0;1887481;1920;17573;13582042;0;13582042
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43709;3977;647295;196602;9427164;-229541;9197624;314;39422;328;-335;39729;2588131;7050;153740;12834147;328;12833819
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43709;63090;400198;2950038;4439344;-246115;4193228;0;0;0;0;0;3678705;250206;701039;12236504;0;12236504
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43709;40815;49639;629;10357489;-355172;10002317;857;198734;11545;-11191;199944;1444259;19654;6555;11763811;11545;11752266
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;43709;0;282096;10653596;0;0;0;0;0;0;0;0;249212;49;117184;11302138;0;11302138
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;43709;809;1318765;8750843;0;0;0;0;0;0;0;0;199748;6;341164;10611334;0;10611334
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;43709;203062;2069157;1208825;734996;-3950;731046;0;0;0;0;0;6108988;1344;10718;10333140;0;10333140
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;43709;37059;2920727;2520749;877433;-1023;876410;0;0;0;0;0;3485965;211396;8341;10060646;0;10060646
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;43709;158871;239349;4350527;2767182;-307747;2459435;0;0;0;0;0;2196508;489294;152233;10046216;0;10046216
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43709;3793;0;289510;3310710;-991399;2319310;0;0;0;0;0;6493335;53000;846734;10005682;0;10005682
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43709;581943;1918342;1294368;4914279;-544770;4369509;0;0;0;0;0;1052313;412250;282284;9911009;0;9911009
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43709;32778;219430;0;8988309;-301562;8686748;132;7739;4051;-415;11506;497199;21340;26850;9495852;4051;9491800
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;43709;41051;3575663;544242;3725178;-119874;3605304;0;0;0;0;0;898388;497819;90798;9253265;0;9253265
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;43709;278;3537129;1200365;2192245;-101248;2090997;0;0;0;0;0;78128;2135358;22698;9064953;0;9064953
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;43709;0;607160;8139512;0;0;0;0;0;0;0;0;181782;33;62522;8991009;0;8991009
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43709;17919;1199996;385399;6708829;-96861;6611968;277;68449;19368;-410;87684;393265;29078;9616;8734925;19368;8715557
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;C;3;INDAIATUBA;SP;43709;1365;73293;0;8453321;-323215;8130106;0;0;0;0;0;194800;49360;9794;8458718;0;8458718
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;43709;176572;1667992;878681;4531756;-149630;4382125;0;0;0;0;0;548921;412792;202032;8269114;0;8269114
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;43709;195967;189999;1179789;352734;-20814;331920;0;0;0;0;0;548024;5414261;137621;7997582;0;7997582
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;43709;226888;933098;1806651;3795236;-32378;3762858;0;0;0;0;0;628357;64567;27867;7450286;0;7450286
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43709;34586;0;417282;2429813;-371439;2058374;0;0;0;0;0;4884416;15793;1991;7412440;0;7412440
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;43709;21;5006178;1529549;80069;-794;79275;0;0;0;0;0;28556;92855;396356;7132790;0;7132790
