cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/13;764.060.732;3.891.080;22.911.535;42.037.827;56.525.009;13.132.705;2.792.477;116.174;141.406.807;656.680;2.525.396;3.646.013;9.491.101;9.324.267;20.151.065;3.031.371;48.825.893;862.751;4.586.248;5.489.649;686.105;40.399;0;0;11.665.152;670.135;14.185.993;4.123.078;1.194.229;11.429;0;3;20.184.867;88.818;5.478.169;9.654.976;1.127.036;2.888.396;6.556.654;0;25.794.048;686.572;2.926.911;1.822.400;2.133.004;1.431.133;2.581.703;136.318;11.718.042;724.310;18.842.627;45.859.582;99.577.852;71.922.187;138.446.663;26.919.828;402.293.047;126.201;4.739.631;18.095.801;14.162.984;2.687.963;6.105.655;46.922;45.965.157;22.001;1.281.603;2.168.091;5.874.618;781.993;173.447;12.601;10.314.355
1%;1 - Público;set/13;47,26%;44,65%;31,90%;38,23%;48,85%;53,68%;47,69%;57,65%;41,99%;46,00%;17,30%;15,92%;29,87%;68,24%;90,80%;85,45%;44,35%;24,40%;12,28%;39,57%;57,42%;15,95%;0,00%;0,00%;20,50%;44,84%;25,39%;24,56%;55,59%;6,29%;0,00%;0,11%;26,35%;15,69%;22,23%;24,79%;5,35%;36,77%;74,58%;0,00%;25,31%;21,75%;21,43%;13,07%;16,47%;31,05%;69,94%;77,25%;22,46%;63,27%;62,64%;60,08%;63,98%;78,45%;93,33%;95,24%;75,69%;79,94%;41,52%;52,96%;81,60%;65,86%;73,89%;100,00%;60,89%;19,52%;44,83%;21,65%;27,67%;14,12%;3,34%;14,60%;22,90%
2;2 - Privado Nacional;set/13;610.484.225;2.841.351;35.463.999;50.161.565;44.574.064;8.182.854;2.083.127;9.137;143.316.096;561.636;6.526.278;12.047.503;14.929.336;3.186.653;1.137.858;8.103;38.397.367;1.856.090;25.150.697;5.914.405;28.337;1.139;145;486.266;33.437.079;531.927;24.775.604;4.828.656;534.435;144.370;98.010;243;30.913.245;137.048;10.402.911;14.754.382;12.244.102;2.715.410;1.208.662;0;41.462.516;1.629.023;5.731.688;7.693.803;6.334.455;1.885.545;664.582;22.021;23.961.117;187.004;7.202.977;20.668.854;39.017.306;13.900.101;8.746.763;1.310.859;91.033.864;19.818;4.861.205;12.607.350;2.518.060;1.177.257;2.048.018;0;23.231.708;68.404;576.393;4.451.098;11.462.657;4.609.121;3.227.238;73.704;24.468.616
2%;2 - Privado Nacional;set/13;37,76%;32,60%;49,37%;45,62%;38,52%;33,45%;35,57%;4,53%;42,56%;39,34%;44,70%;52,62%;46,99%;23,32%;5,13%;0,23%;34,88%;52,50%;67,34%;42,63%;2,37%;0,45%;0,19%;77,68%;58,76%;35,59%;44,35%;28,77%;24,88%;79,41%;86,16%;9,53%;40,36%;24,21%;42,21%;37,88%;58,11%;34,57%;13,75%;0,00%;40,68%;51,60%;41,98%;55,19%;48,91%;40,91%;18,00%;12,48%;45,92%;16,33%;23,95%;27,08%;25,07%;15,16%;5,90%;4,64%;17,13%;12,55%;42,58%;36,90%;14,51%;28,85%;24,78%;0,00%;30,78%;60,68%;20,16%;44,46%;53,99%;83,21%;62,10%;85,40%;54,33%
3;3 - Privado com Controle Estrangeiro;set/13;242.313.070;1.982.359;13.451.834;17.763.720;14.609.625;3.148.848;980.103;76.208;52.012.696;209.165;5.550.010;7.201.865;7.349.329;1.153.640;904.071;507.859;22.875.938;816.750;7.611.746;2.470.706;480.526;211.787;75.421;139.729;11.806.664;292.578;16.900.936;7.834.739;419.745;25.995;15.746;2.305;25.492.043;340.313;8.762.848;14.545.369;7.701.214;2.251.253;1.025.705;42.012;34.668.715;841.616;4.996.301;4.425.475;4.483.803;1.292.348;445.002;18.129;16.502.674;233.541;4.034.403;9.808.136;17.035.440;5.851.976;1.141.587;34.164;38.139.246;11.860;1.814.757;3.462.712;675.786;215.992;109.858;0;6.290.966;22.321;1.001.078;3.393.201;3.891.955;148.199;1.796.106;0;10.252.860
3%;3 - Privado com Controle Estrangeiro;set/13;14,99%;22,75%;18,73%;16,15%;12,63%;12,87%;16,74%;37,82%;15,45%;14,65%;38,01%;31,46%;23,13%;8,44%;4,07%;14,32%;20,78%;23,10%;20,38%;17,81%;40,21%;83,60%;99,81%;22,32%;20,75%;19,58%;30,25%;46,67%;19,54%;14,30%;13,84%;90,36%;33,28%;60,11%;35,56%;37,34%;36,55%;28,66%;11,67%;100,00%;34,01%;26,66%;36,59%;31,74%;34,62%;28,04%;12,06%;10,27%;31,63%;20,40%;13,41%;12,85%;10,95%;6,38%;0,77%;0,12%;7,18%;7,51%;15,90%;10,14%;3,89%;5,29%;1,33%;0,00%;8,33%;19,80%;35,01%;33,89%;18,33%;2,68%;34,56%;0,00%;22,77%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/13;1.260.597.707;8.476.774;68.715.726;105.562.255;111.586.568;23.506.579;5.552.378;200.960;323.601.240;1.294.360;10.539.434;17.345.087;25.707.334;12.273.817;21.715.400;3.538.579;92.414.010;3.496.942;36.595.822;12.797.077;1.184.389;252.186;75.421;139.769;54.541.606;1.363.563;48.053.328;12.035.092;1.919.480;180.991;113.473;2.549;63.668.476;566.179;24.602.099;38.862.492;20.933.179;7.854.202;8.782.731;36.486;101.637.368;3.104.282;12.345.385;13.141.023;12.609.183;4.490.055;3.460.166;163.598;49.313.692;850.020;16.873.977;43.002.283;81.768.405;33.213.366;40.638.525;12.160.242;228.506.817;149.330;11.193.746;33.538.880;16.325.555;3.339.425;7.202.727;46.922;71.796.585;112.711;2.859.028;9.923.375;21.181.022;5.539.212;5.196.771;86.305;44.898.424
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/13;77,97%;97,27%;95,67%;96,00%;96,44%;96,08%;94,82%;99,72%;96,10%;90,67%;72,18%;75,76%;80,92%;89,82%;97,85%;99,75%;83,94%;98,91%;97,98%;92,23%;99,11%;99,55%;99,81%;22,33%;95,84%;91,23%;86,02%;71,70%;89,34%;99,56%;99,75%;99,95%;83,13%;100,00%;99,83%;99,76%;99,34%;99,99%;99,91%;86,85%;99,72%;98,32%;90,41%;94,26%;97,36%;97,42%;93,74%;92,71%;94,50%;74,25%;56,10%;56,33%;52,54%;36,23%;27,40%;43,02%;43,00%;94,58%;98,06%;98,16%;94,06%;81,82%;87,16%;100,00%;95,11%;99,99%;100,00%;99,11%;99,77%;100,00%;100,00%;100,00%;99,69%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/13;53.242.485;63.438;902.169;975.503;851.843;264.140;9.596;0;3.066.690;93.985;3.069.750;3.886.673;3.263.926;460.575;36.302;0;10.811.212;0;0;0;0;0;0;0;0;74.299;5.487.799;4.498.097;216.400;662;282;0;10.277.539;0;41.830;92.142;137.303;0;8.289;5.526;285.091;8.711;1.070.261;495.712;119.267;27.959;2.102;0;1.724.013;197.187;2.714.384;7.043.362;11.822.671;4.269.788;427.668;33.345;26.508.405;2.873;33.039;69.402;142.585;81.421;32.455;0;361.776;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/13;3,29%;0,73%;1,26%;0,89%;0,74%;1,08%;0,16%;0,00%;0,91%;6,58%;21,02%;16,98%;10,27%;3,37%;0,16%;0,00%;9,82%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,97%;9,82%;26,80%;10,07%;0,36%;0,25%;0,00%;13,42%;0,00%;0,17%;0,24%;0,65%;0,00%;0,09%;13,15%;0,28%;0,28%;7,84%;3,56%;0,92%;0,61%;0,06%;0,00%;3,30%;17,22%;9,02%;9,23%;7,60%;4,66%;0,29%;0,12%;4,99%;1,82%;0,29%;0,20%;0,82%;2,00%;0,39%;0,00%;0,48%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
