cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;set/13;577.368.200;5.555.279;10.042.037;21.131.915;42.827.795;21.363.488;6.597.177;420;107.518.111;2.109.545;5.169.920;10.678.538;12.974.452;4.239.401;1.411.874;11;36.583.739;531.789;2.238.197;5.369.747;8.613.510;1.808.540;3.206;0;18.564.989;1.387.694;9.507.969;24.018.019;61.865.886;57.246.140;98.494.752;10.958.238;263.478.699;1.805.139;20.355.277;3.658.589;155.231;259;5;0;25.974.499;1.388.338;11.353.715;28.690.275;23.219.724;14.701.519;17.202.817;915.744;97.472.132;2.152.948;7.439.655;7.985.232;5.047.998;1.905.390;600.924;130.944;25.263.090;2.512.941
1%;1 - Público;set/13;47,16%;78,72%;47,63%;42,29%;47,26%;55,98%;79,77%;6,08%;49,97%;35,87%;26,67%;32,82%;39,04%;54,92%;63,18%;0,09%;36,22%;10,87%;8,36%;8,22%;9,27%;14,79%;6,54%;0,00%;9,18%;91,85%;86,20%;86,19%;88,40%;89,74%;82,11%;44,83%;82,71%;14,06%;21,99%;14,14%;11,48%;0,17%;0,01%;0,00%;19,56%;78,80%;61,16%;61,31%;64,42%;71,81%;83,40%;99,98%;67,14%;31,26%;25,96%;39,43%;30,38%;35,43%;37,85%;19,05%;31,55%;8,59%
2;2 - Privado Nacional;set/13;447.481.475;824.367;9.029.765;23.623.263;39.387.509;14.048.476;1.259.990;358;88.173.728;1.988.626;10.832.320;15.388.954;13.134.273;2.167.389;727.786;4.037;44.243.385;3.333.825;16.305.463;39.846.387;56.607.262;6.761.352;36.237;5.975;122.896.502;92.319;799.117;2.169.107;4.502.553;4.014.063;14.193.934;10.434.577;36.205.670;7.913.823;49.377.230;16.891.961;308.905;6.426;176;405;74.498.925;220.005;5.005.172;13.515.519;7.375.342;3.154.119;2.416.287;148;31.686.592;2.606.736;14.857.805;7.989.201;7.483.246;1.919.445;432.211;529.555;35.818.199;13.958.475
2%;2 - Privado Nacional;set/13;36,55%;11,68%;42,83%;47,27%;43,46%;36,81%;15,24%;5,18%;40,98%;33,82%;55,89%;47,29%;39,52%;28,08%;32,57%;34,60%;43,80%;68,13%;60,90%;60,98%;60,89%;55,28%;73,95%;56,09%;60,76%;6,11%;7,24%;7,78%;6,43%;6,29%;11,83%;42,69%;11,36%;61,62%;53,35%;65,29%;22,84%;4,13%;0,50%;12,91%;56,09%;12,49%;26,96%;28,88%;20,46%;15,41%;11,71%;0,02%;21,83%;37,85%;51,84%;39,45%;45,04%;35,69%;27,22%;77,06%;44,73%;47,69%
3;3 - Privado com Controle Estrangeiro;set/13;199.499.210;676.923;2.013.033;5.219.606;8.407.768;2.751.687;413.167;6.129;19.488.313;1.782.640;3.379.464;6.473.996;7.126.875;1.311.968;94.934;7.622;20.177.498;1.028.036;8.229.735;20.124.635;27.741.110;3.661.928;9.562;4.678;60.799.684;30.735;723.347;1.678.726;3.612.896;2.531.078;7.264.740;3.048.770;18.890.291;3.124.253;22.817.597;5.321.955;888.177;149.045;34.731;2.735;32.338.493;153.619;2.206.240;4.589.939;5.447.164;2.616.241;1.008.528;0;16.021.730;2.128.028;6.362.547;4.279.361;4.083.415;1.552.982;554.514;26.696;18.987.542;12.795.659
3%;3 - Privado com Controle Estrangeiro;set/13;16,29%;9,59%;9,55%;10,44%;9,28%;7,21%;5,00%;88,74%;9,06%;30,31%;17,44%;19,89%;21,44%;17,00%;4,25%;65,31%;19,98%;21,01%;30,74%;30,80%;29,84%;29,94%;19,51%;43,91%;30,06%;2,03%;6,56%;6,02%;5,16%;3,97%;6,06%;12,47%;5,93%;24,33%;24,65%;20,57%;65,68%;95,71%;99,48%;87,09%;24,35%;8,72%;11,88%;9,81%;15,11%;12,78%;4,89%;0,00%;11,04%;30,90%;22,20%;21,13%;24,58%;28,88%;34,93%;3,88%;23,71%;43,72%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/13;1.137.696.676;7.030.947;20.580.801;48.743.252;88.738.924;37.491.143;8.148.115;6.634;210.739.816;5.022.905;15.861.924;27.871.214;29.378.826;6.729.247;1.826.522;7.709;86.698.347;4.617.758;23.078.031;56.226.178;80.233.994;10.367.375;41.443;10.653;174.575.433;1.504.078;10.946.809;27.747.952;69.761.686;63.640.598;119.581.793;24.371.082;317.554.000;11.755.235;87.494.215;24.015.555;1.262.836;153.973;34.897;2.735;124.719.445;1.568.048;15.397.425;37.113.906;30.386.801;17.588.088;18.003.072;915.840;120.973.181;6.541.665;25.971.704;18.172.854;15.737.229;5.106.501;1.463.793;175.702;73.169.448;29.267.007
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/13;92,92%;99,64%;97,61%;97,54%;97,92%;98,24%;98,52%;96,04%;97,94%;85,41%;81,84%;85,65%;88,40%;87,18%;81,74%;66,06%;85,84%;94,36%;86,20%;86,05%;86,31%;84,76%;84,57%;100,00%;86,31%;99,56%;99,24%;99,58%;99,69%;99,76%;99,69%;99,71%;99,68%;91,53%;94,54%;92,82%;93,38%;98,87%;99,96%;87,09%;93,91%;88,99%;82,94%;79,31%;84,31%;85,91%;87,28%;99,99%;83,33%;94,98%;90,62%;89,73%;94,72%;94,95%;92,20%;25,57%;91,38%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/13;32.257.637;254;7.849;20.601;21.405;1.921;0;0;52.030;2.183;23.284;45.673;49.023;5.738;3.177;0;129.078;203.336;3.065.300;7.523.743;10.443.134;1.495.129;2.263;0;22.732.905;0;0;0;0;0;0;0;0;494.176;1.691.401;743.097;75.099;0;0;0;3.003.773;61.893;438.205;1.159.385;2.381.235;1.405.441;452.330;0;5.898.490;26.877;76.081;115.041;173.331;44.605;5.426;0;441.361;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/13;2,63%;0,00%;0,04%;0,04%;0,02%;0,01%;0,00%;0,00%;0,02%;0,04%;0,12%;0,14%;0,15%;0,07%;0,14%;0,00%;0,13%;4,16%;11,45%;11,51%;11,23%;12,22%;4,62%;0,00%;11,24%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,85%;1,83%;2,87%;5,55%;0,00%;0,00%;0,00%;2,26%;3,51%;2,36%;2,48%;6,61%;6,87%;2,19%;0,00%;4,06%;0,39%;0,27%;0,57%;1,04%;0,83%;0,34%;0,00%;0,55%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;set/13;38.198.104;15.501;445.022;1.090.785;1.720.209;618.171;114.587;274;4.004.548;204.464;2.074.301;3.610.422;3.707.295;981.762;404.693;3.961;10.986.898;14.513;369.823;1.005.898;1.587.415;298.935;2.864;0;3.279.448;0;0;0;0;0;0;0;0;32.042;328.091;1.613;1.632;1.756;14;405;365.555;114.421;2.542.312;8.108.144;2.188.783;500.282;393.478;52;13.847.470;151.768;2.396.985;1.758.623;629.587;194.992;80.758;501.473;5.714.186;0
b3S%;b3S - Cooperativa de Crédito Singulares;set/13;3,12%;0,22%;2,11%;2,18%;1,90%;1,62%;1,39%;3,96%;1,86%;3,48%;10,70%;11,09%;11,15%;12,72%;18,11%;33,94%;10,88%;0,30%;1,38%;1,54%;1,71%;2,44%;5,84%;0,00%;1,62%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,25%;0,35%;0,01%;0,12%;1,13%;0,04%;12,91%;0,28%;6,49%;13,69%;17,33%;6,07%;2,44%;1,91%;0,01%;9,54%;2,20%;8,36%;8,68%;3,79%;3,63%;5,09%;72,97%;7,14%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/13;910;0;0;227;201;0;0;0;428;0;23;206;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;152;0;0;0;253;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/13;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
