Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2015;413394701;12134309;55167964;100604089;181399917;25468;64062953
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2015;391670350;30399841;1045277;37489389;322735843;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2015;330269333;4100431;17118467;57613488;81375876;63150;169997921
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2015;289184978;31379534;30241419;57922072;43375840;82170;126183943
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2015;192446477;45978263;34294994;58528468;53616922;27831;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2015;136234680;7870947;13368128;47937923;40797426;36079;26224178
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2015;49241124;5214975;2253854;12175761;19739266;4353;9852915
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2015;43150081;268150;197158;684750;6604180;0;35395844
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2015;42447443;1148293;755855;11457108;18380977;1628;10703582
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2015;17515803;17252;2523110;1409918;10796399;251;2768873
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2015;15043730;2133628;1138888;1194201;10576915;98;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2015;14490301;395539;1750371;7046867;5020535;6873;270116
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2015;12203318;160532;815441;4068314;3425538;44;3733449
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2015;11552853;1199578;3425789;2609026;4317587;874;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2015;9265387;634783;1386178;5910618;1333798;11;0
