Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2015;705255067;335124222;130418434;106741929;22582827;5769026;11763098;4757177;3726015;17314259;67058082
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2015;673708539;332266722;104513522;95494587;73181173;32991238;7927799;4403076;5026922;17903500;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2015;538694716;152384976;123720962;21248733;14462264;9597854;4092114;3537170;3156835;13558030;192935777
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2015;434977483;41918876;130289928;62613373;43260458;7366427;3651661;3250955;2069294;13271246;127285265
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2015;391671844;92074524;119079850;164399287;11815612;1960527;1954144;21953;907;365041;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2015;260218400;81092355;91453985;16311953;12081844;7594758;3138689;2661271;1665036;7940735;36277774
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2015;71483400;31680334;15260803;6023033;2026933;1111071;887003;917572;550094;2998890;10027668
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2015;66123684;1168792;2581282;2136752;407168;1068720;642603;155730;0;569938;57392699
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2015;51546602;3146151;24225049;7645010;8299469;1314285;606156;432129;919990;2189490;2768873
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2015;49648872;26639432;8054394;1552771;608163;271637;246776;154279;106039;1209866;10805514
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2015;31138785;5988758;13248015;6307443;2261389;930073;290813;247064;196660;1398453;270116
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2015;21088345;7341994;8904283;2474041;325524;957501;201346;149013;185912;548729;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2015;18007756;449696;11824794;2279860;1760469;543135;429168;140031;90910;489692;0
