Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2015;705255067;384889926;57622283;19766043;967609;223697;121240632;0;45978063;2008018;210257;0;552;3438105;1851801;67058082
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2015;673708539;148450003;432173513;27984026;0;62;41245805;0;0;555092;3654160;0;31;18214693;1431154;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2015;538694716;247380209;43293775;10122117;1730756;8690261;26586718;29118;547995;493211;189645;0;5892;9585;6679657;192935777
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2015;434977483;178953429;42999311;30922689;4505;10692072;33788444;0;532393;3419996;0;0;11804;0;6367574;127285265
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2015;391671844;114947322;6971;233157122;10541969;19786087;0;9734825;0;13843;3483704;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2015;260218400;149207558;46255546;3902202;23406;300881;20364757;643925;0;141658;732927;0;13440;580908;1773419;36277774
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2015;71483400;34366492;7418959;534569;61695;7457075;9869553;0;0;43092;83110;0;0;414154;1207032;10027668
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2015;66123684;1181939;77003;2155015;0;0;4690244;0;0;126730;358675;0;1161;140211;7;57392699
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2015;51546602;39526238;11254;929898;78508;2832195;4907956;45639;0;0;85156;0;0;16624;344260;2768873
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2015;49648872;21199919;421169;1089024;0;1286212;14405645;224994;0;172358;4279;0;9783;0;29976;10805514
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2015;31138785;17166908;5417237;321758;0;1546623;6028102;0;0;42606;0;0;0;137728;207706;270116
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2015;21088345;14582072;1102647;56850;0;16715;5201125;42076;0;0;0;0;0;0;86858;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2015;18007756;15019981;0;614781;0;0;2363357;0;0;0;0;0;0;0;9636;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2015;17317364;13121401;678984;0;0;0;2475767;0;0;563153;0;0;0;265649;212410;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2015;16189739;14622062;312;119924;0;0;1430146;0;0;0;14103;0;0;3192;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2015;14573332;12848809;0;82408;0;1404904;231842;0;0;0;0;0;0;0;5369;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2015;13838841;7631899;34276;1242662;0;1826800;770118;0;19;2139101;0;0;146149;0;47818;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/12/2015;13678525;8862669;3206;6145;0;14078;2520534;1142199;135960;282;0;0;6560;762397;80682;143811
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2015;12523337;3651030;466;232314;0;20187;4571595;20108;0;5847;28112;0;0;242848;47;3750783
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2015;12356388;8878020;1706;2475113;0;0;0;0;0;479917;137;0;405;520785;304;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2015;11648565;8181818;0;15080;0;2277214;738800;0;0;0;0;0;0;6674;428979;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2015;11055925;11049860;0;0;0;0;0;0;0;0;0;0;0;0;6066;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2015;10514249;9871228;66068;294577;0;0;175998;0;0;0;0;0;0;0;106377;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2015;9745835;9096396;0;638291;0;0;0;11129;0;0;0;0;0;0;19;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2015;9494274;8006532;992676;94974;0;378851;0;0;0;10274;0;0;0;0;10967;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2015;8632005;6599550;0;0;0;41588;1758638;0;0;0;0;0;0;60871;171358;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2015;8060554;6100176;94774;0;0;261324;1422237;0;0;0;0;0;0;0;182044;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2015;7943556;1027145;8974;0;0;0;1711269;0;0;0;1201640;0;0;0;0;3994528
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2015;7655784;5696994;0;148188;0;9895;1608959;51958;0;0;0;0;0;104055;35734;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/12/2015;6669239;6659057;0;10179;0;0;0;0;0;0;0;0;0;0;3;0
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/12/2015;6221691;1642607;14950;0;0;0;2790093;0;826245;104206;0;0;0;0;24165;819425
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/12/2015;6133680;5484020;613;29401;616720;0;0;2926;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/12/2015;5893047;2510324;13224;1314532;0;60;210046;355758;30893;198188;611855;0;13842;634308;17;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/12/2015;5122433;3180661;0;0;0;0;159444;0;336297;0;0;0;0;0;1;1446030
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/12/2015;5034438;4375339;0;0;0;0;0;0;0;0;0;0;0;0;659099;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/12/2015;4560707;4397686;0;0;0;0;0;0;0;0;0;0;0;0;163021;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/12/2015;4552135;4471795;0;0;0;53063;27268;0;0;0;0;0;0;0;9;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2015;4507563;4455252;0;46882;0;0;5429;0;0;0;0;0;0;0;0;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/12/2015;4255482;1837077;0;0;0;0;1387819;0;0;4689;0;0;0;1019288;6608;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/12/2015;4216692;143415;0;0;0;0;411654;0;3661623;0;0;0;0;0;0;0
