Instituição financeira;w;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ANDBANK;51949;b1;C;3;;199;SAO PAULO;SP;01/12/2015;20182;2194;915;1616;1543;0;0;0;6268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13914;0;0;0;0;0;13914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DE SÃO PAULO - UNICRED CENTRAL SP;73085573;b3C;I;2;;9;SAO PAULO;SP;01/12/2015;20005;0;105;420;1261;1069;48;0;2903;0;0;0;0;0;0;0;0;0;0;7997;9105;0;0;0;17102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO SUDOESTE DE GOIÁS - SICREDI SUDOESTE GO;6332931;b3S;I;2;;9;RIO VERDE;GO;01/12/2015;19967;238;1077;2746;2180;150;46;0;6438;16;66;152;203;18;4;0;458;688;2540;1408;0;0;0;0;4636;590;3715;629;0;0;0;0;4934;0;0;0;0;0;0;0;0;237;628;886;1335;303;0;112;3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO LESTE MARANHENSE   SICOOB CENTRO LESTE MARANHANSE;9403026;b3S;I;2;;9;GRAJAU;MA;01/12/2015;19911;1022;2199;3252;2463;240;119;0;9296;0;0;0;0;0;0;0;0;0;428;349;0;0;0;0;777;114;8175;648;0;0;0;0;8936;0;0;0;0;0;0;0;0;50;16;656;0;0;0;0;722;0;0;0;0;0;0;0;0;0;0;0;66;113;0;0;180;0;0;0;0;0;0;0;0;0
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE;70116611;b3C;I;2;;9;CABEDELO;PB;01/12/2015;19826;0;2064;3819;3067;376;0;0;9326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8170;2330;0;0;0;0;10500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO INBURSA DE INVESTIMENTOS S.A.;4866275;b2;I;3;;13;SAO PAULO;SP;01/12/2015;19696;0;228;3142;16325;1;0;0;19696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CREDITO MÚTUO DOS MÉDICOS DO PLANALTO MÉDIO DO RIO GRANDE DO SUL LTDA - CREDIPLAN;97259253;b3S;I;2;;9;PASSO FUNDO;RS;01/12/2015;19644;0;107;290;596;410;146;0;1550;23;1225;3333;6917;4298;1925;0;17722;0;0;289;0;0;0;0;289;0;80;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO TRIÂNGULO MINEIRO E SUDESTE DE GOIÁS LTDA. - SICOOB ARACREDI;68987;b3S;I;2;;9;ARAGUARI;MG;01/12/2015;19627;67;1085;1924;2169;190;0;0;5435;21;118;356;607;67;0;0;1169;0;2490;377;0;0;0;0;2867;73;4868;546;0;0;0;0;5487;0;0;0;0;0;0;0;0;264;616;2190;378;0;0;0;3447;0;0;0;0;0;0;0;0;0;305;305;611;0;0;0;1222;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE POTIGUAR - UNICRED MOSSORÓ;70027388;b3S;I;2;;9;MOSSORO;RN;01/12/2015;19410;977;1761;3901;3341;1406;300;0;11687;156;155;364;343;44;0;0;1061;0;2181;2164;0;0;0;0;4345;196;1708;91;0;0;0;0;1994;0;0;0;0;0;0;0;0;248;75;0;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DO DISTRITO FEDERAL LTDA - SICOOB EMPRESARIAL;5856736;b3S;I;2;;9;BRASILIA;DF;01/12/2015;19345;379;2118;4267;5465;1355;0;0;13583;19;37;108;261;55;0;0;480;0;354;697;0;0;0;0;1051;711;2644;105;0;0;0;0;3460;0;0;0;0;0;0;0;0;319;125;242;84;0;0;0;771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E CATEGORIAS AFINS-UNICRED NITEROI LTDA;1090027;b3S;I;2;;9;NITEROI;RJ;01/12/2015;19150;2043;3128;5001;7100;721;0;0;17993;0;87;216;179;0;0;0;483;0;319;163;0;0;0;0;482;8;126;4;0;0;0;0;138;0;0;0;0;0;0;0;0;42;13;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SÃO ROQUE DE MINAS LTDA.   SICOOB SAROMCREDI;66402207;b3S;I;2;;9;SAO ROQUE DE MINAS;MG;01/12/2015;19143;7;1067;2008;2329;1408;1499;0;8318;7;228;614;957;197;0;0;2003;0;812;270;0;0;0;0;1082;17;2191;167;0;0;0;0;2375;0;0;0;0;0;0;0;0;57;326;843;2120;399;0;0;3744;2;64;155;162;1;0;0;384;0;0;1237;0;0;0;0;1237;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO MÚTUO DOS ADVOGADOS DE SANTA CATARINA;5861932;b3S;I;2;;9;FLORIANOPOLIS;SC;01/12/2015;19063;32;2543;2745;5540;1623;872;0;13355;1;128;313;508;103;0;0;1053;0;1224;9;0;0;0;0;1233;10;1660;220;0;0;0;0;1891;0;0;0;0;0;0;0;0;31;70;167;501;501;262;0;1531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DAS REGIÕES SUDOESTE, SUL E OESTE DE GOIÁS;3047549;b3S;I;2;;9;RIO VERDE;GO;01/12/2015;19000;914;1392;2022;2042;169;0;0;6540;97;692;1748;3876;1170;248;0;7832;0;666;380;17;0;0;0;1062;550;1596;32;0;0;0;0;2178;0;0;0;0;0;0;0;0;99;47;1222;20;0;0;0;1387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA ÁREA DE SAÚDE E EMPRESÁRIOS DE GUARULHOS E REGIÃO   UNICRED DE GUARULHOS;2250794;b3S;I;2;;9;GUARULHOS;SP;01/12/2015;18979;727;2088;5066;5448;1080;387;0;14797;0;90;222;287;18;0;0;618;0;467;784;0;0;0;0;1251;732;1378;2;0;0;0;0;2112;0;0;0;0;0;0;0;0;190;12;0;0;0;0;0;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED REGIÃO DA CAMPANHA LTDA - UNICRED REGIÃO DA CAMPANHA;1705236;b3S;I;2;;9;SANTANA DO LIVRAMENTO;RS;01/12/2015;18545;43;1623;3980;6070;1975;290;0;13981;0;231;567;776;229;85;0;1889;0;603;738;0;0;0;0;1342;25;310;59;0;0;0;0;393;0;0;0;0;0;0;0;0;4;135;288;309;116;89;0;940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORDESTE E CENTRO SUL DA BAHIA LTDA.   SICOOB COOPERE;73398646;b3S;I;2;;9;VALENTE;BA;01/12/2015;18480;380;1144;2324;1710;48;2;0;5608;39;214;502;937;121;0;0;1813;0;1507;13;0;0;0;0;1520;708;7824;677;0;0;0;0;9209;0;0;0;0;0;0;0;0;154;127;20;27;0;0;0;329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO VALE DO ITAJAÍ - SICOOB ALTO VALE;80959612;b3S;I;2;;9;RIO DO SUL;SC;01/12/2015;18465;74;1488;3705;5140;176;0;0;10583;12;383;1004;1851;402;0;0;3652;0;80;237;21;0;0;0;338;43;3367;138;0;0;0;0;3548;0;0;0;0;0;0;0;0;17;6;322;0;0;0;0;344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE CARMO DO PARANAÍBA LTDA - SICOOB CREDICARPA;23949522;b3S;I;2;;9;CARMO DO PARANAIBA;MG;01/12/2015;18431;10;1978;2543;834;0;0;0;5365;0;14;39;20;0;0;0;72;0;385;101;0;0;0;0;487;0;4490;835;0;0;0;0;5325;0;0;0;0;0;0;0;0;4;108;5859;0;0;0;0;5971;0;0;0;0;0;0;0;0;0;0;1212;0;0;0;0;1212;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO E MÉDIO SÃO FRANCISCO LTDA - SICOOB SÃO FRANCISCO.;912488;b3S;I;2;;9;MORADA NOVA DE MINAS;MG;01/12/2015;18243;353;1494;2205;1814;749;300;0;6915;139;248;549;338;0;0;0;1275;0;955;47;0;0;0;0;1003;440;2463;103;0;0;0;0;3005;0;0;0;0;0;0;0;0;108;865;755;346;0;0;0;2075;0;7;12;0;0;0;0;19;0;980;2054;781;136;0;0;3951;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DA GRANDE DOURADOS - SICOOB DOURADOS;10319386;b3S;I;2;;9;DOURADOS;MS;01/12/2015;17961;204;937;1166;507;70;5;0;2888;38;0;0;0;0;0;0;38;0;1782;547;5;0;0;0;2334;122;7889;653;0;0;0;0;8664;0;0;0;0;0;0;0;0;445;2000;1591;0;0;0;0;4037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA SAUDE DO VALE DAS ANTAS LTDA;94243839;b3S;I;2;;9;CASCA;RS;01/12/2015;17957;6;103;273;245;15;0;0;642;27;692;2035;3754;1615;1361;0;9484;0;85;64;0;0;0;0;149;17;508;48;0;0;0;0;573;0;0;0;0;0;0;0;0;5;143;677;2575;3391;319;0;7109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM;2173447;b3S;I;2;;9;GUANHAES;MG;01/12/2015;17900;27;1376;3084;4206;596;11;0;9300;0;12;28;2;0;0;0;42;0;2148;24;0;0;0;0;2172;5;4915;468;0;0;0;0;5388;0;0;0;0;0;0;0;0;28;45;917;0;0;0;0;990;0;3;2;3;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE LIVRE ADMISSÃO DA REGIÃO SUL DA BAHIA - UNICRED REGIÃO SUL DA BAHIA;97489280;b3S;I;2;;9;ITABUNA;BA;01/12/2015;17894;12;2900;6365;6760;246;0;0;16282;15;124;205;210;31;73;0;658;0;577;244;0;0;0;0;821;0;120;8;0;0;0;0;128;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO DA ALTA NOROESTE DE SÃO PAULO - SICREDI ALTA NOROESTE SP;4484490;b3S;I;2;;9;BIRIGUI;SP;01/12/2015;17830;30;1322;3280;4011;385;0;0;9028;1;58;147;208;26;0;0;439;216;2001;1361;0;0;0;0;3578;15;2958;397;7;0;0;0;3376;0;0;0;0;0;0;0;0;30;272;387;560;84;0;76;1408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SICOOB CREDIMONTES - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO REGIONAL DE MONTES CLAROS LTDA;2031139;b3S;I;2;;9;MONTES CLAROS;MG;01/12/2015;17829;198;1965;3612;1337;0;0;0;7111;7;73;205;270;0;0;0;556;0;273;43;0;0;0;0;316;83;8571;650;0;0;0;0;9305;0;0;0;0;0;0;0;0;66;74;400;0;0;0;0;540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO PROFISSIONAIS ÁREA DA SAÚDE PEQ EMPRESÁRIOS MICROEMPRESÁRIOS MICROEMPREENDEDORES REGIÃO GRANDE FLORIANÓPOLIS VALE DO ITAJAÍ VALE DO ITAPOCÚ SICOOB MULTICREDI SC;2883398;b3S;I;2;;9;BLUMENAU;SC;01/12/2015;17797;576;1158;2784;3482;332;0;0;8331;80;409;1200;2333;318;0;0;4339;0;547;318;0;0;0;0;865;297;3694;236;1;0;0;0;4228;0;0;0;0;0;0;0;0;14;19;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA REGIÃO DOS VALES DO SINOS, PARANHANA E CAÍ LTDA - UNICRED REGIÃO DOS VALES;1796302;b3S;I;2;;9;NOVO HAMBURGO;RS;01/12/2015;17336;42;1863;3537;4459;1426;206;0;11532;8;347;905;1673;368;65;0;3366;0;485;377;0;0;0;0;861;0;188;16;0;0;0;0;204;0;0;0;0;0;0;0;0;7;379;506;278;109;94;0;1373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY;51938876;b1;I;3;;28;SAO PAULO;SP;01/12/2015;17129;0;1986;1989;4100;976;0;0;9051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4668;3411;0;0;0;0;8079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARCLAYS;51705;b1;C;3;;199;SAO PAULO;SP;01/12/2015;17075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7589;5692;3794;0;0;0;0;17075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DE SAÚDE E EMPRESÁRIOS DA REGIÃO DOS CAMPOS GERAIS LTDA.;3234384;b3S;I;2;;9;PONTA GROSSA;PR;01/12/2015;16998;3;618;1802;3091;927;0;0;6440;30;396;1024;2028;1135;931;0;5544;113;994;2199;26;0;0;0;3332;0;445;40;0;0;0;0;485;0;0;0;0;0;0;0;0;45;97;231;427;218;90;0;1107;0;10;30;49;1;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO CENTRO LESTE DE RONDÔNIA LTDA - CREDISIS LESTE;3612764;b3S;I;2;;9;CACOAL;RO;01/12/2015;16938;0;0;0;0;0;0;0;0;0;29;81;10;0;0;0;120;0;621;332;0;0;0;0;953;0;2675;136;0;0;0;0;2811;0;0;0;0;0;0;0;0;187;8756;3415;684;12;0;0;13054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BRASÍLIA LTDA. - SICOOB BRASILIA;1187961;b3S;I;2;;9;BRASILIA;DF;01/12/2015;16885;511;2620;4290;3658;175;0;0;11253;38;131;328;342;24;0;0;864;0;359;251;2;0;0;0;612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203;93;771;0;0;0;0;1067;34;1146;343;0;0;0;0;1522;288;0;908;371;0;0;0;1567;0;0;0;0;0;0;0;0;0
GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11760553;n1;I;2;;14;DOURADINA;PR;01/12/2015;16648;61;570;1131;147;0;0;0;1909;4;32;79;71;0;0;0;186;0;0;0;0;0;0;0;0;0;12707;1847;0;0;0;0;14554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RIO CLARO E REGIÃO LTDA. - UNICRED RIO CLARO E REGIÃO;1259518;b3S;I;2;;9;RIO CLARO;SP;01/12/2015;16601;20;686;1699;2742;1513;2471;0;9131;3;344;928;1540;470;275;0;3561;0;375;358;0;0;0;0;732;3;632;21;0;0;0;0;655;0;0;0;0;0;0;0;0;42;277;725;950;488;39;0;2522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO ALTO PARANAÍBA LTDA - SICOOB CREDISG;3645752;b3S;I;2;;9;SAO GOTARDO;MG;01/12/2015;16453;63;2172;4127;4228;115;0;0;10705;0;82;203;220;11;0;0;517;0;295;49;0;0;0;0;344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;697;151;0;0;0;0;857;0;2239;56;0;0;0;0;2295;0;0;1735;0;0;0;0;1735;0;0;0;0;0;0;0;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE MATO GROSSO S.A.;6284531;n1;I;1;;30;CUIABA;MT;01/12/2015;16270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;607;1285;3125;6087;2592;2574;0;16270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RIO VERDE E REGIÃO LTDA.;9033698;b3S;I;2;;9;RIO VERDE;GO;01/12/2015;16133;42;1979;3683;3729;1053;559;0;11044;46;143;336;418;17;0;0;960;0;181;115;0;0;0;0;296;0;2574;170;0;0;0;0;2744;0;0;0;0;0;0;0;0;69;458;562;0;0;0;0;1089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE ORLÂNDIA;53935029;b3S;I;2;;9;ORLANDIA;SP;01/12/2015;15890;447;698;2019;1074;133;90;0;4461;0;0;0;0;0;0;0;0;0;1618;17;0;0;0;0;1635;21;3757;1212;0;0;0;0;4990;0;0;0;0;0;0;0;0;38;3650;777;0;0;0;0;4466;0;0;0;0;0;0;0;0;0;0;337;0;0;0;0;337;0;0;0;0;0;0;0;0;0
AGÊNCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;5474540;n1;I;1;;30;PALMAS;TO;01/12/2015;15840;381;1224;2678;5137;1030;0;0;10450;57;419;1093;2965;479;0;0;5013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;34;117;91;0;0;252;2;27;53;31;13;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT;4181542;b3S;I;2;;9;PITANGUI;MG;01/12/2015;15692;34;1217;4473;1501;55;0;0;7281;3;617;1231;933;0;0;0;2784;0;746;0;0;0;0;0;746;9;3210;354;0;0;0;0;3572;0;0;0;0;0;0;0;0;23;39;1198;14;11;23;0;1309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE SUL DA BAHIA LTDA.   SICOOB NORTE SUL;2876918;b3S;I;2;;9;GANDU;BA;01/12/2015;15686;349;1122;2605;4346;1241;660;0;10323;17;301;785;1326;306;0;0;2735;0;239;45;0;0;0;0;284;95;2046;136;0;0;0;0;2277;0;0;0;0;0;0;0;0;33;35;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO OESTE MINEIRO LTDA.   SICOOB UNIÃO CENTRO OESTE;26072728;b3S;I;2;;9;ARCOS;MG;01/12/2015;15661;500;3062;3522;2003;535;649;0;10271;12;131;419;402;48;0;0;1013;0;416;174;0;0;0;0;590;182;3187;376;0;0;0;0;3744;0;0;0;0;0;0;0;0;21;22;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO OESTE DE MINAS GERAIS LTDA. - SICOOB CREDIOESTE;25420696;b3S;I;2;;9;ABAETE;MG;01/12/2015;15650;54;2198;4135;5542;308;0;0;12238;8;127;341;323;13;0;0;812;0;596;121;0;0;0;0;717;13;1289;95;0;0;0;0;1397;0;0;0;0;0;0;0;0;22;339;75;43;7;0;0;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO RURAL CAZOLA - SICOOB CREDICAZOLA;315406;b3S;I;2;;9;LUCELIA;SP;01/12/2015;15628;577;3327;2102;2865;1376;0;0;10247;0;0;0;0;0;0;0;0;0;402;1323;0;0;0;0;1724;24;3421;137;0;0;0;0;3583;0;0;0;0;0;0;0;0;15;59;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO RURAL DE GUARANI LTDA - SICOOB GUARANICREDI;26014175;b3S;I;2;;9;GUARANI;MG;01/12/2015;15460;62;1634;2507;3782;470;0;0;8454;0;30;96;131;13;0;0;271;0;1171;11;0;0;0;0;1183;9;4289;397;0;0;0;0;4695;0;0;0;0;0;0;0;0;77;132;29;93;71;46;0;447;0;0;0;0;0;0;0;0;0;0;411;0;0;0;0;411;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORDESTE DO PARÁ - SICREDI NORDESTE PA;10772401;b3S;I;2;;9;PARAGOMINAS;PA;01/12/2015;15452;35;859;1518;1430;33;0;0;3874;10;92;220;283;63;0;0;668;138;1425;1382;0;0;0;0;2945;62;1943;392;0;0;0;0;2398;0;0;0;0;0;0;0;0;104;358;2293;2293;488;0;30;5567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PARAÍSO DO TOCANTINS E REGIÃO LTDA;26960328;b3S;I;2;;9;PARAISO DO NORTE DO TOCANTINS;TO;01/12/2015;15444;435;1248;3712;4606;28;0;0;10029;61;502;1231;1606;134;4;0;3538;0;450;68;0;0;0;0;518;0;1023;169;0;0;0;0;1192;0;0;0;0;0;0;0;0;59;16;91;0;0;0;0;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
