Instituição financeira;w;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2015;15043730;61564;1378322;1160264;691205;330245;0;0;3621600;3869;96703;126907;131327;11718;0;0;370524;2254;115134;809591;0;0;0;0;926980;1840;1745171;775891;7512;0;0;0;2530414;36720;1228155;2404963;1444517;289183;130140;0;5533677;46489;296225;4329;0;0;0;0;347042;921;53442;85585;217829;19006;40912;0;417695;0;197920;1056849;41029;0;0;0;1295798;0;0;0;0;0;0;0;0;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2015;14490301;143015;1018088;2217815;2640148;565449;26420;0;6610936;2356;23518;48650;54636;5502;246;0;134909;111145;786501;531082;3;3;0;0;1428734;21949;345232;71188;105;0;0;0;438474;19196;598839;803596;18808;7646;1667;0;1449752;114315;262055;409211;213251;121362;81103;1248;1202546;27039;146539;373122;672205;297052;302457;0;1818414;17214;53988;162138;67686;35494;49820;238;386578;551;15087;87848;455880;170596;19878;0;749840;270116
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2015;12203318;0;0;0;0;0;0;0;0;0;15536;43836;47369;2669;0;0;109409;3170;111900;71846;0;0;0;0;186916;580;230365;84680;0;0;0;0;315625;8167;246834;889277;558394;38185;930;0;1741786;108433;970798;1345975;1370511;125155;9407;17;3930297;648;120132;330282;404817;197245;125718;0;1178842;0;119901;415051;279518;81939;110586;0;1006994;0;0;0;0;0;0;0;0;3733449
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2015;11552853;2747;42357;117955;207823;51627;10316;0;432826;22356;320478;567956;479236;53802;453;0;1444281;0;0;0;0;0;0;0;0;32284;529463;1323603;37423;7779;0;0;1930551;0;0;0;0;0;0;0;0;0;65945;0;0;0;0;0;65945;149777;885240;2275198;3528851;784832;55351;0;7679250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2015;9265387;3681;50430;101585;163342;37057;66;0;356160;11062;98760;237079;270196;63452;315;0;680865;0;0;0;0;0;0;0;0;10711;1032486;179054;0;0;0;0;1222250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85401;736215;1944831;3085411;941869;212384;0;7006111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2015;9220710;0;18204;55604;0;0;0;0;73807;787;2033;5447;7529;136;29;0;15960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28840;38586;0;0;0;0;67426;0;206375;914420;243751;8142;109759;413;1482860;115;33242;91041;228283;157441;173067;0;683188;0;860216;5697518;323619;10120;5994;0;6897467;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2015;9189087;86241;301079;716008;806392;66943;91698;75576;2143936;29988;163552;411334;328862;131814;202794;2750;1271093;32119;32777;93384;1294;0;0;0;159575;10621;42783;4024;2;0;0;0;57430;1392;155079;487857;150240;0;0;0;794568;285698;14004;29680;65807;47159;94297;86426;623071;7473;124527;336130;799938;627404;1707718;293701;3896891;75471;2951;11336;15183;31165;106416;0;242523;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2015;8981887;0;0;0;0;0;0;0;0;501;19740;55266;22871;1193;777;0;100348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31297;286343;661893;1572982;1053562;983424;233667;4823168;6553;192906;475701;1131971;997375;1253665;199;4058370;0;0;0;0;0;0;0;0;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2015;7505641;141;7798;16551;27318;4270;348;0;56427;66;6990;18039;35051;10351;51;0;70549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8305;66602;194696;19822;6711;3456;0;299591;202;12350;40129;119504;106626;59484;0;338295;0;638447;3985285;1863674;183381;69991;0;6740779;0;0;0;0;0;0;0;0;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/12/2015;7479819;34327;568250;1084933;713277;41623;1769;0;2444179;766;6592;9354;7306;856;0;0;24874;43832;755116;447599;31612;0;0;0;1278159;39821;1670101;99320;18914;0;0;0;1828156;10815;585995;369122;57758;0;0;0;1023691;14723;5657;45963;8209;1531;0;0;76084;5034;123002;229307;225344;21517;4680;0;608884;0;2307;53383;198;0;0;0;55887;0;0;0;0;0;0;0;0;139906
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2015;7180287;0;50786;236357;243158;28860;195;0;559356;0;371;190017;97815;97815;461037;468110;1315164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26163;383741;285403;195162;19833;0;910303;78891;313586;8459;0;0;0;0;400935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3994528
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2015;6262735;0;58420;104716;129397;92670;37177;52;422432;0;0;0;0;0;0;0;0;0;78;83655;0;0;0;0;83733;0;851;82390;0;0;0;0;83241;50808;876947;1933007;1412365;338262;37804;0;4649193;58573;119222;89757;269111;23780;0;0;560442;0;5608;21308;14383;31;0;0;41332;2;37680;84997;123033;98888;77762;0;422362;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/12/2015;5701261;43693;115725;447497;305530;26111;108000;0;1046555;7559;44420;150071;330357;196319;26836;0;755561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221;525;1082;554;0;0;2382;16100;141726;413557;1091023;865731;925065;0;3453201;6552;38819;115286;124022;66830;92052;0;443562;0;0;0;0;0;0;0;0;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/12/2015;5122433;0;179608;156608;21462;479;0;0;358157;0;0;0;0;0;0;0;0;0;329769;1490;0;0;0;0;331259;19584;584266;69692;33999;0;0;0;707541;0;545529;707510;7691;0;976200;0;2236930;37194;5305;17;0;0;0;0;42517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1446030
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/12/2015;4944322;125734;523724;858668;679945;128243;7731;0;2324045;7639;41923;61555;46267;5680;0;0;163064;2353;8245;4203;0;0;0;0;14801;145;0;0;0;0;0;0;145;4926;444376;516308;75142;0;0;0;1040752;96489;63448;130988;157814;45415;4234;34874;533262;0;0;0;0;0;0;0;0;0;22580;23516;2732;0;0;0;48828;0;0;0;0;0;0;0;0;819425
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2015;4685550;7255;382917;824799;204658;488;0;0;1420117;2691;131068;246106;195676;6956;0;0;582497;0;59420;83025;3050;0;0;0;145495;4316;576530;349878;3383;0;0;0;934106;0;118053;33129;0;0;0;0;151182;0;1048;2833;5412;2317;0;0;11609;1296;111069;418110;570101;227021;112250;0;1439847;0;59;395;243;0;0;0;696;0;0;0;0;0;0;0;0;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2015;4629308;70;232771;88309;145371;8333;0;0;474854;9;921;10801;0;0;0;0;11731;0;41256;133331;2050;0;0;0;176636;0;1380658;892;0;0;0;0;1381551;0;650288;1686176;50000;0;0;0;2386464;0;2386;33562;0;0;0;0;35949;0;6160;8410;35192;4826;0;0;54588;0;20965;72886;13685;0;0;0;107536;0;0;0;0;0;0;0;0;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/12/2015;4512811;1207;104412;258094;31082;0;0;0;394795;858;15399;37889;17550;14;0;0;71711;0;0;0;0;0;0;0;0;2821;937293;1913285;506800;0;0;0;3360199;0;0;0;0;0;0;0;0;0;262702;0;0;0;0;0;262702;13951;60368;152023;195051;2011;0;0;423404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/12/2015;4216686;0;22875;96283;185053;0;0;0;304211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763632;2699763;0;0;0;0;3463396;0;0;250852;198227;0;0;0;449079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2015;4128016;43317;365529;732108;768948;39068;0;0;1948971;223291;188597;368206;240477;33571;11946;4588;1070677;0;0;0;0;0;112788;0;112788;0;22;11756;11064;98;74;0;23014;15960;153788;389330;178853;0;0;0;737930;33029;83424;58007;59062;1114;0;0;234636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/12/2015;3899513;1894;5544;9388;8387;1484;18;0;26715;8758;47214;94404;103243;15709;10;0;269339;0;0;0;0;0;0;0;0;0;98963;89843;0;0;0;0;188806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65115;306154;892870;1602330;527313;20873;0;3414653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/12/2015;3687915;49807;170641;672056;458923;336081;14733;0;1702242;0;0;0;0;0;0;0;0;0;0;0;8848;0;0;0;8848;0;0;0;0;0;0;0;0;3964;169895;186871;74973;0;0;0;435703;60285;21777;43534;56608;41468;14079;0;237752;0;42322;208905;216200;121268;67064;0;655759;0;27968;75052;34201;878;0;0;138099;0;0;0;0;0;0;0;0;509511
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/12/2015;3544646;1933;341065;335040;228242;5666;1430;0;913376;0;545;524;0;0;0;0;1069;0;83409;60858;0;0;0;0;144267;14392;1355310;11806;0;0;0;0;1381508;6692;299752;217012;141393;35631;0;0;700480;512;19686;87900;85440;29167;0;0;222703;20684;16168;51267;26417;0;0;0;114535;0;11176;50363;5170;0;0;0;66708;0;0;0;0;0;0;0;0;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/12/2015;3447894;0;0;0;0;0;0;0;0;10135;573498;1305283;1144796;237072;2890;0;3273673;0;0;0;0;0;0;0;0;211;21383;0;0;0;0;0;21594;0;0;0;0;0;0;0;0;0;3460;2926;146241;0;0;0;152626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/12/2015;3317885;52512;327836;489118;277262;876;592;0;1148196;1923;3265;4309;8333;0;0;0;17831;0;12801;0;0;0;0;0;12801;3588;286474;73786;0;0;0;0;363848;23175;299524;257159;46728;0;0;0;626586;66210;113692;97946;9198;0;0;0;287046;220;2672;5317;1659;0;0;0;9868;0;85418;126745;44803;0;0;0;256967;0;0;0;0;0;0;0;0;594743
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/12/2015;3286111;6678;43173;68128;182553;23012;7926;0;331471;9387;50960;124538;153744;15762;19;0;354409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3899;5212;7168;7296;269;0;0;23845;57082;239454;661876;1155524;359671;102780;0;2576386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2015;3273310;66368;224166;371072;430282;74565;219;0;1166673;622;3704;7301;5157;48;0;0;16832;242092;712672;19322;0;0;0;0;974087;2490;52480;1823;0;0;0;0;56793;0;18767;43529;0;0;0;0;62297;52953;54780;124575;321211;91998;6898;0;652416;0;0;0;0;0;0;0;0;0;13819;9807;6575;186857;41393;0;258452;12;14953;41247;29549;0;0;0;85760;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/12/2015;3247304;0;297326;143019;17551;4980;2520;0;465396;0;0;0;0;0;0;0;0;0;32223;30149;0;0;0;0;62372;0;1135;18022;0;0;0;0;19156;0;214376;574974;177934;0;0;0;967285;0;2368;8814;97929;0;0;0;109111;0;263;71091;63146;2329;3688;0;140517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1483467
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/12/2015;3202776;10921;1109338;444460;0;0;0;0;1564718;5430;39043;90589;94828;23883;59;0;253832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3334;11113;13152;1325;0;0;28924;58854;170798;320065;565284;161988;121;0;1277110;264;885;17808;30461;21019;7754;0;78192;0;0;0;0;0;0;0;0;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/12/2015;2890028;0;2700;5293;7284;528;0;0;15806;2515;112821;252384;382217;121392;6801;0;878131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275529;1093512;484434;0;0;0;1853476;4779;59207;43420;17601;0;0;0;125008;367;1345;3905;8856;3135;0;0;17608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/12/2015;2762004;11936;106717;351496;620164;31300;4;50880;1172496;4;54106;63741;327757;0;0;0;445608;6613;3009;12255;55;0;0;0;21931;0;2249;1610;0;0;0;0;3859;0;10372;31641;0;0;0;0;42012;1402;247;8632;1200;24;0;0;11506;2403;28298;71061;190856;147799;476664;80924;998005;94;6920;20872;10811;16334;11554;0;66586;0;0;0;0;0;0;0;0;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2015;2516078;12009;783807;948345;590864;14848;0;0;2349874;84;317;702;50;0;0;0;1153;234;89;189;0;0;0;0;512;0;0;0;0;0;0;0;0;0;28350;26387;0;0;0;0;54737;12477;64244;20599;0;0;0;0;97319;163;1128;3219;7972;0;0;0;12482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/12/2015;2257281;0;0;0;0;0;0;0;0;3908;18589;55777;91301;12747;334;0;182656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3001;11;32;84;0;0;0;3127;33985;91889;250569;616410;479163;467615;4130;1943760;147;3974;18105;42226;27409;35877;0;127737;0;0;0;0;0;0;0;0;0
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/12/2015;2040803;0;16774;19500;35189;0;0;0;71463;2524;0;106231;0;0;0;0;108756;0;27512;60173;0;0;0;0;87685;NI;NI;NI;NI;NI;NI;NI;NI;0;496659;1189864;0;0;0;0;1686523;0;86376;0;0;0;0;0;86376;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/12/2015;1880557;15062;347730;272922;166159;16777;14341;0;832991;3;386;780;711;231;279;0;2390;5333;582027;30136;0;0;0;0;617496;166;59684;2844;0;0;0;0;62694;1494;139621;108426;20045;0;0;0;269586;325;65716;1320;2644;80;272;0;70358;0;0;0;0;0;0;0;0;0;13027;12017;0;0;0;0;25043;0;0;0;0;0;0;0;0;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2015;1779786;0;0;0;0;0;0;0;0;4164;367425;141258;132386;11905;7;0;657145;0;0;0;0;0;0;0;0;0;117334;1005306;0;0;0;0;1122640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/12/2015;1729804;0;89637;371379;92950;0;0;0;553966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104941;104941;0;69416;389;0;0;0;0;69804;0;77676;902432;0;0;0;0;980108;0;30;0;0;0;0;0;30;0;10955;0;10000;0;0;0;20955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
