cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;721.140.672;2.583.794;10.355.341;26.431.390;34.346.277;9.663.643;2.990.725;732.982;87.104.152;551.419;1.464.998;5.803.971;11.862.387;9.506.668;26.853.014;106.294;56.148.751;496.720;2.967.069;2.067.656;41.900;0;0;24.657;5.598.002;142.967;4.944.124;1.210.231;172.532;6;0;0;6.469.860;922.509;10.281.811;17.597.687;4.383.990;5.861.331;3.894.808;0;42.942.136;3.527.531;5.089.542;4.511.822;5.277.245;2.959.429;3.887.996;1.041.690;26.295.255;1.217.189;19.956.458;44.394.987;88.656.442;64.791.877;163.561.246;46.232.285;428.810.485;95.707;4.173.459;6.469.508;5.954.409;3.051.407;2.903.894;227;22.648.611;952.468;1.747.612;3.827.333;4.538.974;399.862;153.370;159;11.619.778;
1%;1 - Público;40,63%;53,83%;21,61%;28,71%;33,71%;40,48%;42,78%;67,49%;31,26%;55,92%;13,55%;23,12%;31,13%;58,57%;94,93%;21,57%;46,79%;23,43%;10,47%;21,83%;10,17%;0,00%;0,00%;16,99%;13,28%;15,32%;6,21%;3,95%;12,44%;0,00%;0,00%;0,00%;5,71%;47,82%;24,22%;23,38%;17,47%;34,50%;24,83%;0,00%;24,18%;46,75%;28,40%;22,72%;26,97%;37,27%;53,95%;38,66%;31,78%;78,03%;74,69%;75,05%;78,33%;84,61%;91,93%;94,04%;85,04%;76,78%;44,04%;39,38%;65,08%;69,93%;76,79%;44,43%;52,28%;78,00%;59,89%;61,50%;48,54%;26,59%;32,50%;2,39%;53,56%;
2;2 - Privado Nacional;797.003.540;1.545.837;28.075.044;51.990.971;54.762.890;11.248.519;2.995.272;43.292;150.661.826;305.001;4.893.931;10.704.585;13.750.739;3.252.528;577.094;40.026;33.523.904;1.335.682;20.678.853;5.406.614;166.265;6.613;1.498.908;10.003;29.102.937;400.587;45.756.826;12.525.807;445.405;164.886;5.438;349.956;59.648.905;724.822;18.340.349;33.528.515;13.196.596;9.288.453;8.667.613;14.731;83.761.078;3.124.235;9.789.035;11.639.652;8.651.823;3.654.819;2.900.663;1.572.253;41.332.480;137.904;4.647.330;9.805.043;16.662.718;8.452.286;10.896.478;2.187.626;52.789.385;19.209;3.141.363;6.523.427;2.024.072;683.714;539.196;284;12.931.265;116.888;758.362;1.777.414;4.335.731;1.088.690;288.214;6.376;8.371.675;
2%;2 - Privado Nacional;44,91%;32,21%;58,59%;56,48%;53,75%;47,12%;42,84%;3,99%;54,08%;30,93%;45,27%;42,65%;36,09%;20,04%;2,04%;8,12%;27,93%;63,00%;72,95%;57,08%;40,35%;7,79%;95,54%;6,89%;69,05%;42,92%;57,50%;40,85%;32,12%;69,99%;7,46%;98,26%;52,68%;37,57%;43,20%;44,54%;52,60%;54,68%;55,25%;9,97%;47,17%;41,40%;54,62%;58,62%;44,21%;46,03%;40,25%;58,34%;49,96%;8,84%;17,39%;16,58%;14,72%;11,04%;6,12%;4,45%;10,47%;15,41%;33,15%;39,71%;22,12%;15,67%;14,26%;55,57%;29,85%;9,57%;25,99%;28,56%;46,36%;72,41%;61,07%;95,78%;38,59%;
3;3 - Privado com Controle Estrangeiro;256.712.587;669.953;9.485.661;13.627.187;12.778.438;2.960.220;1.005.111;309.710;40.836.280;129.700;4.450.433;8.591.895;12.489.119;3.471.687;857.736;346.472;30.337.042;287.691;4.702.299;1.997.052;203.886;78.233;69.989;110.496;7.449.647;389.824;28.874.519;16.930.188;768.592;70.694;67.411;6.214;47.107.441;281.770;13.835.837;24.143.397;7.510.093;1.837.872;3.126.628;132.975;50.868.572;893.817;3.043.765;3.703.379;5.639.312;1.326.491;418.603;80.892;15.106.259;204.905;2.114.222;4.953.067;7.861.220;3.331.320;3.456.956;743.778;22.665.469;9.731;2.161.186;3.433.621;1.170.629;628.145;338.738;0;7.742.048;151.778;411.824;618.856;476.762;15.023;30.335;122;1.704.699;
3%;3 - Privado com Controle Estrangeiro;14,46%;13,96%;19,80%;14,80%;12,54%;12,40%;14,38%;28,52%;14,66%;13,15%;41,17%;34,23%;32,78%;21,39%;3,03%;70,31%;25,28%;13,57%;16,59%;21,09%;49,48%;92,21%;4,46%;76,12%;17,67%;41,76%;36,29%;55,21%;55,43%;30,01%;92,54%;1,74%;41,60%;14,61%;32,59%;32,08%;29,93%;10,82%;19,93%;90,03%;28,65%;11,85%;16,98%;18,65%;28,82%;16,70%;5,81%;3,00%;18,26%;13,13%;7,91%;8,37%;6,95%;4,35%;1,94%;1,51%;4,49%;7,81%;22,81%;20,90%;12,80%;14,40%;8,96%;0,00%;17,87%;12,43%;14,11%;9,94%;5,10%;1,00%;6,43%;1,83%;7,86%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;1.375.463.452;4.447.230;41.817.479;81.167.043;89.915.968;20.674.532;5.908.451;974.387;244.905.090;876.028;6.819.832;17.363.702;26.236.706;12.227.151;27.580.027;490.380;91.593.826;1.946.669;26.212.785;7.159.077;323.313;80.597;1.555.461;135.153;37.413.054;560.268;68.997.290;22.379.518;1.218.380;197.206;18.042;356.170;93.726.874;1.929.101;42.416.264;75.269.598;25.090.678;16.982.925;15.670.127;147.706;177.506.401;7.363.697;16.682.710;18.339.260;17.399.163;7.177.009;6.642.871;2.680.419;76.285.129;1.226.646;14.089.813;29.458.094;49.530.888;30.443.792;62.225.696;18.461.691;205.436.620;107.639;8.725.821;14.678.315;7.075.672;2.756.090;2.302.571;284;35.646.392;1.221.132;2.917.786;6.223.573;9.326.914;1.503.494;471.652;6.657;21.671.209;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;77,50%;92,66%;87,27%;88,18%;88,25%;86,60%;84,51%;89,72%;87,90%;88,84%;63,09%;69,18%;68,86%;75,33%;97,50%;99,51%;76,32%;91,82%;92,47%;75,59%;78,46%;94,99%;99,14%;93,11%;88,76%;60,03%;86,71%;72,98%;87,87%;83,71%;24,77%;100,00%;82,78%;100,00%;99,90%;100,00%;100,00%;99,97%;99,88%;100,00%;99,96%;97,59%;93,08%;92,37%;88,91%;90,38%;92,17%;99,47%;92,21%;78,63%;52,74%;49,80%;43,76%;39,76%;34,98%;37,55%;40,74%;86,36%;92,08%;89,36%;77,34%;63,17%;60,89%;55,57%;82,28%;100,00%;100,00%;100,00%;99,74%;99,99%;99,94%;100,00%;99,89%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;48.238.905;34.244;1.746.228;1.371.277;750.810;134.446;23.369;0;4.060.373;50.640;2.589.946;4.396.535;6.723.403;2.207.398;106.562;321;16.074.806;0;0;0;0;0;0;0;0;247.707;6.451.119;7.538.733;163.242;37.349;54.521;0;14.492.671;0;41.733;0;0;4.731;18.922;0;65.386;4.450;345.473;132.880;480.693;24.494;4.640;8.894;1.001.523;51.946;1.455.875;3.402.795;5.220.510;1.674.194;144.270;109.006;12.058.596;1.188;24.982;102.842;184.352;124.302;47.884;0;485.551;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;2,72%;0,71%;3,64%;1,49%;0,74%;0,56%;0,33%;0,00%;1,46%;5,14%;23,96%;17,52%;17,65%;13,60%;0,38%;0,07%;13,39%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;26,54%;8,11%;24,58%;11,77%;15,85%;74,84%;0,00%;12,80%;0,00%;0,10%;0,00%;0,00%;0,03%;0,12%;0,00%;0,04%;0,06%;1,93%;0,67%;2,46%;0,31%;0,06%;0,33%;1,21%;3,33%;5,45%;5,75%;4,61%;2,19%;0,08%;0,22%;2,39%;0,95%;0,26%;0,63%;2,01%;2,85%;1,27%;0,00%;1,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
