cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;936.913.373;1.719.076;11.753.887;31.447.876;60.374.268;34.024.254;20.714.380;302.163;160.335.904;1.260.361;5.476.053;11.996.535;13.089.723;5.380.312;2.608.668;627.120;40.438.771;150.680;841.665;1.813.088;1.985.865;358.095;246;90.624;5.240.262;1.354.596;13.797.668;36.456.325;84.383.020;68.845.326;197.647.928;92.162.992;494.647.855;2.689.992;29.287.241;6.749.610;437.762;17.872;17.666;246.469;39.446.612;2.460.636;23.413.879;46.615.983;44.440.953;28.379.598;21.679.609;191.405;167.182.064;2.424.875;7.906.024;7.719.618;4.264.891;2.265.124;2.009.718;277.377;26.867.627;2.754.277;
1%;1 - Público;48,20%;49,82%;39,03%;39,55%;42,92%;47,87%;60,68%;99,46%;44,63%;18,48%;22,92%;28,88%;34,71%;47,74%;64,47%;96,02%;32,11%;5,65%;3,37%;2,97%;2,35%;3,04%;0,73%;96,14%;2,83%;85,71%;82,30%;83,74%;83,59%;83,10%;80,74%;73,70%;80,36%;13,83%;18,13%;12,36%;11,36%;8,04%;22,42%;99,99%;16,44%;77,38%;64,91%;62,12%;67,83%;73,08%;79,36%;99,73%;67,92%;23,13%;23,89%;27,42%;18,26%;24,72%;36,01%;70,59%;24,38%;4,48%;
2;2 - Privado Nacional;740.552.458;1.064.081;14.267.208;37.246.569;62.159.645;28.550.410;9.571.448;873;152.860.236;4.597.018;16.823.951;25.922.621;19.642.693;4.273.287;1.077.310;8.278;72.345.158;1.674.882;14.769.367;35.703.685;49.693.905;6.704.033;13.346;1;108.559.219;181.800;1.636.601;3.822.235;9.573.575;8.836.765;34.721.609;28.122.755;86.895.339;12.887.754;101.359.283;37.020.046;2.023.874;35.748;2.544;0;153.329.249;397.560;9.990.991;21.712.587;13.024.476;5.590.437;3.814.172;514;54.530.737;5.637.281;18.430.573;13.211.657;11.409.001;3.178.525;1.884.714;81.009;53.832.760;58.199.760;
2%;2 - Privado Nacional;38,10%;30,84%;47,37%;46,84%;44,19%;40,17%;28,04%;0,29%;42,55%;67,40%;70,41%;62,40%;52,08%;37,92%;26,63%;1,27%;57,45%;62,85%;59,15%;58,45%;58,75%;56,96%;39,84%;0,00%;58,62%;11,50%;9,76%;8,78%;9,48%;10,67%;14,18%;22,49%;14,12%;66,25%;62,75%;67,80%;52,53%;16,07%;3,23%;0,00%;63,89%;12,50%;27,70%;28,94%;19,88%;14,40%;13,96%;0,27%;22,15%;53,77%;55,69%;46,93%;48,85%;34,69%;33,77%;20,62%;48,84%;94,66%;
3;3 - Privado com Controle Estrangeiro;266.299.934;667.241;4.096.298;10.829.688;18.127.781;8.501.061;3.853.841;775;46.076.684;962.651;1.592.613;3.622.941;4.980.687;1.616.461;360.064;17.691;13.153.109;839.218;9.356.645;23.569.299;32.909.640;4.707.330;19.907;3.638;71.405.676;43.953;1.330.870;3.254.107;6.987.499;5.162.159;12.426.628;4.765.777;33.970.994;3.876.884;30.877.167;10.834.000;1.391.328;168.810;58.582;29;47.206.800;321.706;2.664.709;6.707.594;8.048.470;4.862.484;1.825.485;0;24.430.450;2.422.404;6.758.189;7.223.451;7.680.460;3.718.998;1.686.756;34.546;29.524.804;531.417;
3%;3 - Privado com Controle Estrangeiro;13,70%;19,34%;13,60%;13,62%;12,89%;11,96%;11,29%;0,26%;12,82%;14,12%;6,67%;8,72%;13,21%;14,34%;8,90%;2,71%;10,44%;31,49%;37,48%;38,58%;38,91%;40,00%;59,43%;3,86%;38,55%;2,78%;7,94%;7,48%;6,92%;6,23%;5,08%;3,81%;5,52%;19,93%;19,12%;19,84%;36,11%;75,89%;74,35%;0,01%;19,67%;10,12%;7,39%;8,94%;12,29%;12,52%;6,68%;0,00%;9,93%;23,10%;20,42%;25,66%;32,89%;40,59%;30,22%;8,79%;26,79%;0,86%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;1.780.930.674;3.386.662;29.188.647;77.049.914;136.564.555;68.983.950;32.596.506;303.454;348.073.687;5.285.229;18.328.453;31.950.990;29.240.098;8.926.925;3.162.780;645.062;97.539.537;2.386.471;20.832.382;50.681.787;70.412.303;10.028.771;27.147;94.262;154.463.124;1.552.765;16.678.248;43.274.935;100.503.953;82.563.364;244.132.390;124.819.815;613.525.470;16.372.440;140.191.641;46.646.542;3.085.645;215.553;78.719;246.498;206.837.038;2.797.119;28.791.113;57.665.746;55.041.047;33.814.501;25.053.406;191.699;203.354.632;8.721.850;28.620.488;24.148.165;20.832.017;8.194.238;4.784.455;350.523;95.651.734;61.485.453;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;91,62%;98,15%;96,92%;96,89%;97,09%;97,06%;95,48%;99,88%;96,88%;77,50%;76,71%;76,91%;77,53%;79,21%;78,17%;98,77%;77,45%;89,56%;83,44%;82,97%;83,24%;85,21%;81,04%;100,00%;83,40%;98,25%;99,48%;99,41%;99,56%;99,66%;99,73%;99,81%;99,68%;84,16%;86,79%;85,43%;80,08%;96,91%;99,91%;100,00%;86,19%;87,96%;79,82%;76,85%;84,01%;87,08%;91,71%;99,89%;82,62%;83,19%;86,48%;85,77%;89,20%;89,43%;85,72%;89,21%;86,78%;100,00%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;43.444.353;3.801;53.322;136.032;222.187;94.725;30.457;0;540.524;70.298;115.385;172.395;89.057;9.128;6.193;0;462.457;217.392;3.325.263;8.299.445;10.876.321;1.155.729;1.995;0;23.876.145;1.218;8.833;21.842;41.797;25.721;31.164;682;131.257;1.288.693;5.244.661;2.334.635;436.760;90;0;0;9.304.838;92.674;581.556;1.858.921;3.341.704;2.102.173;565.064;0;8.542.093;8.141;307.710;55.621;99.437;57.886;58.135;108;587.039;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;2,24%;0,11%;0,18%;0,17%;0,16%;0,13%;0,09%;0,00%;0,15%;1,03%;0,48%;0,41%;0,24%;0,08%;0,15%;0,00%;0,37%;8,16%;13,32%;13,59%;12,86%;9,82%;5,95%;0,00%;12,89%;0,08%;0,05%;0,05%;0,04%;0,03%;0,01%;0,00%;0,02%;6,62%;3,25%;4,28%;11,34%;0,04%;0,00%;0,00%;3,88%;2,91%;1,61%;2,48%;5,10%;5,41%;2,07%;0,00%;3,47%;0,08%;0,93%;0,20%;0,43%;0,63%;1,04%;0,03%;0,53%;0,00%;
