Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2021;28720940;86807235
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2021;24948201;70894009
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2021;19240546;45353373
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2021;14881198;31721063
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2021;14363678;37198711
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/03/2021;10731877;46350858
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2021;5437737;9067116
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;4519230;11010071
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/03/2021;4210658;21494222
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;3953362;7786449
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/03/2021;3508553;9921539
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2021;3076707;4254641
NUBANK;52058;n1;C;2;S4;197;SAO PAULO;SP;01/03/2021;2201908;4116900
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2021;2059671;8928339
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2021;2011384;2682645
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/03/2021;1994993;5307669
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2021;1965046;2630847
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;1944109;6704108
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2021;1725893;2616502
C6 BANK;52072;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;1624015;2484082
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2021;1511765;1945672
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/03/2021;1390425;1928591
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2021;1129920;1899042
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;1008176;2684837
