Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/03/2021;21011517;199469;7699957;6088986;2008103;421027;37429058;-13989134;-9454062;-18562;0;-3100151;-26561909;10867149;5997826;2925423;-4959335;-5851954;-1242777;2854230;11674991;-11770896;-372492;10494656;151815;10646471;-1082974;-3737679;5825819;0
BB;49906;b1;S1;C;1;BRASILIA;DF;01/03/2021;22624883;22567;6417704;1863470;0;293112;31221737;-8719294;-10446428;-16428;-171964;-3396281;-22750395;8471342;3246577;2307235;-6098615;-2888110;-956287;2614909;2294757;-4674268;-4153802;4317540;84138;4401677;346444;-518838;4229284;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/03/2021;18085528;310741;6437760;-413302;1680065;371066;26471859;-5761133;-6366812;-261030;0;-4712772;-17101746;9370113;3206129;2711388;-4298218;-5100687;-1120962;4780890;1272746;-4055803;-2604516;6765596;-64035;6701562;-500434;0;6201127;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/03/2021;13028867;362892;3904457;6117273;0;265093;23678582;-8543241;-5806382;-314439;-103936;-3302603;-18070602;5607980;2713552;1309492;-1582001;-3766462;-580466;458933;7737079;-8090892;-1800766;3807214;36513;3843727;-374318;-441372;3028038;0
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/03/2021;17332443;0;-827740;2973116;170122;893201;20541142;-4167123;-5094471;0;0;-2544417;-11806011;8735131;4111490;1439014;-5385661;-2256626;-865252;2026006;1504418;-4749719;-4176330;4558801;5378;4564179;12730;-298776;4278133;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/03/2021;12973249;0;1568083;3808330;4014;0;18353675;-540423;-13817026;0;0;-68337;-14425785;3927890;104426;0;-300247;-56646;-351316;8081232;199333;-217382;7459400;11387290;331;11387621;-1580021;0;9807601;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/03/2021;2252440;120063;1385445;1010938;249584;49308;5067779;-3113853;-406578;-102162;0;-235659;-3858252;1209527;388373;137987;-613997;-603536;-116417;347825;449638;-618307;-628435;581092;13950;595042;-42163;0;552879;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;01/03/2021;21092;0;308268;4364022;152658;0;4846041;-95543;-4905857;0;0;2194;-4999205;-153165;295617;345;-235966;-69812;-56402;0;100814;-27440;7157;-146007;-8;-146015;60002;-5978;-91992;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/03/2021;2134762;15465;570175;1455528;194689;3999;4374617;-2089701;-451467;-13635;0;-643427;-3198229;1176388;131073;212610;-288730;-359546;-105302;72263;238707;-483919;-582844;593544;5256;598800;-176649;-67013;355138;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/03/2021;698633;0;3603182;-1148167;0;25105;3178754;-1082781;-4592442;0;-350228;631095;-5394356;-2215602;1127655;50484;-275893;-481602;-86360;364889;4226506;-916462;4009217;1793615;4878;1798493;-152454;-972453;673587;0
