Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2021;824151924;225029118;156090142;29443149;25558917;9282896;4724743;4075606;4862033;11008073;354077248
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2021;791841593;413324390;125335236;100402086;88764445;28658124;6573139;9360763;5927739;13495672;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2021;686937830;290654053;66791386;153749137;89336462;13251500;8070541;2141907;3597067;28472045;30873733
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2021;575848461;147566843;110547311;110117370;64248188;16228050;7386509;4602412;4045587;18361685;92744505
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2021;423718494;142525182;127542141;38690726;26470921;11593529;4048999;3576851;3131393;10117980;56020773
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2021;274622038;40561768;97772722;84403640;15102765;15899893;6336296;3579817;111151;10853987;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2021;92291489;49292299;4664247;23554517;3020636;554794;234981;1030190;101087;961699;8877039
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2021;61042049;3387737;25943015;11508855;11397029;1391520;2183589;346894;2149354;1652171;1081884
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2021;53501654;8078541;13620871;10504327;807308;829856;611089;220740;250564;301151;18277207
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2021;36742735;4713554;18540877;7996165;1694982;864564;334564;214887;370116;1923493;89533
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;33301103;3095411;10384048;15718620;1984670;522770;185264;138346;129909;445158;696908
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;30159237;0;26220062;944718;708306;340190;241883;188460;180463;1335155;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2021;28497639;4480490;5692738;13337583;1490767;1722663;535782;683280;166364;387971;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2021;25336404;10089241;10287782;3583996;876319;341736;25;88960;0;68345;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;21229182;3090516;7512719;6476742;1478291;179340;249555;120248;97631;138558;1885581
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2021;19626230;3342020;12153290;1971998;1193065;387526;85915;170172;62852;259393;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2021;16425932;9471641;3207024;2032158;1071360;212501;95487;59664;51019;225078;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;15224272;5552086;8257765;357017;150984;444751;20601;50887;26454;363727;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2021;15110728;14340937;659525;107999;288;274;111;121;72;1401;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/03/2021;13899909;0;13467353;18791;14656;35020;30236;28284;34470;271100;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2021;13547871;6193616;5552618;979097;323685;215583;23558;29733;39511;190470;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2021;13537627;3730036;7052874;1116539;748899;246793;61799;168259;48618;363810;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2021;13101628;808124;8413065;2250669;1132455;360614;93868;12551;9077;21205;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2021;13013026;497191;7313595;3728341;824427;149338;172109;87940;210463;29622;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;12240097;6680435;5193230;0;0;0;0;0;54878;32308;279246
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;12096809;197700;9525331;271732;216165;79306;72197;83856;47996;479440;1123086
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;11832645;2193643;8184014;953044;450596;10076;5237;6169;6542;23324;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2021;11637190;1272426;4393959;3135671;1685472;817168;169592;25884;42980;94037;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2021;11065139;25903;9111323;214993;207834;215403;243970;133952;99973;811789;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;10756388;1588660;5534401;453723;327230;119925;154988;40795;35265;125483;2375919
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;10656983;1900331;3053119;1897906;953808;9587;23231;9009;51760;277512;2480720
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2021;10319194;221325;8703156;190848;440525;190722;118690;86857;57126;309946;0
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2021;10117383;3867973;5344592;354470;206522;81087;71924;34316;46196;110303;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/03/2021;9008830;885891;2497157;2538906;2661791;131793;35438;52699;30201;174953;0
BOCOM;52003;b1;C;3;S3;199;SALVADOR;BA;01/03/2021;8733296;2596929;2545173;527217;129972;0;17818;4424;0;0;2911763
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2021;8063611;45969;5455850;613196;1470948;281530;57461;27548;22252;88858;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2021;7383501;0;5138976;1647754;467894;36719;19705;9383;16442;46628;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2021;6872168;307973;5563699;221194;128592;131753;68870;47737;161992;240358;0
C6 BANK;52072;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;6864267;82221;6265354;379484;48886;31280;15433;6200;5502;29908;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/03/2021;6727543;1045705;5294547;62053;60192;70478;18212;17287;52978;106090;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2021;6166432;1241721;2119274;1748460;691919;205370;99438;2166;20907;37176;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S3;8;SAO PAULO;SP;01/03/2021;6158644;273323;3738641;845607;1106389;140286;22189;9002;7715;15492;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2021;6028873;2179281;1635189;545718;602464;266138;99482;228173;31402;441026;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2021;5794276;1116115;2582948;763410;783854;114185;265585;31045;35641;101493;0
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/03/2021;5518179;0;5120737;109142;106590;29853;25060;31443;18239;77115;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;5444246;1775;4266695;672958;205559;72181;29889;3796;5551;16525;169317
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2021;5413775;2348976;1497762;821850;372204;74750;34967;71973;71012;120281;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S4;9;BLUMENAU;SC;01/03/2021;5304362;118510;3334343;933458;388670;203832;84418;54470;42517;144144;0
XP;52120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;01/03/2021;5047396;4664425;334096;48828;27;20;0;0;0;0;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/03/2021;5028399;178171;1284730;3356430;165383;25164;5296;3108;2898;7218;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;4308746;382867;1196158;1338727;977305;69264;36065;98074;92160;64927;53198
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;4216248;3860868;180551;0;124849;0;0;0;0;49979;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2021;4176585;0;3771930;347835;43750;8787;4212;0;0;72;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/03/2021;4169175;719437;1663950;816620;530299;159874;47322;28044;19066;184564;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;4094552;2833701;827435;223470;35150;51028;6558;10961;20104;8066;78078
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/03/2021;4086694;2690172;567676;687329;16585;27493;1535;14936;20079;51901;8989
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;4004557;3283404;0;428534;69257;0;0;223362;0;0;0
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/03/2021;3854700;0;1694274;143688;1632105;152196;64917;41144;27293;99081;0
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/03/2021;3849181;2133;712502;1434661;796470;406354;88947;61221;48792;298101;0
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2021;3718623;2197014;891412;420356;123614;23983;13790;26618;11980;9856;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/03/2021;3707598;0;2772348;124227;124662;79444;55445;48964;48439;454068;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;3577157;1762311;0;868562;0;713649;0;149232;0;83404;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/03/2021;3540771;420996;1332430;764659;529366;198509;80117;44272;15129;155292;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/03/2021;3354948;97081;1257639;1390487;358568;104941;39155;14775;32046;60257;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/03/2021;3287446;79984;1493358;1198053;301022;100944;37326;19933;16001;40825;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/03/2021;3149147;180019;1825565;766514;181080;78067;35443;14758;17245;50458;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/03/2021;3046403;0;2150856;166085;162684;126326;61400;44827;40687;293540;0
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/03/2021;3014970;2983325;0;30638;1007;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/03/2021;3004819;87402;1131528;1246745;320909;119706;30066;11094;17155;40216;0
