cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/13;502.106.367;4.760.004;15.452.244;17.809.613;35.676.883;17.593.439;5.157.483;599;96.450.265;2.097.816;6.405.010;9.984.751;11.724.063;4.117.411;1.364.966;9;35.694.026;780.299;3.303.788;3.420.777;5.494.222;1.358.388;954;0;14.358.427;1.460.310;8.668.591;21.003.358;54.112.214;49.399.367;81.479.613;8.870.886;224.994.339;1.581.365;17.366.688;3.096.518;116.414;200;1;0;22.161.186;1.271.444;8.291.196;29.557.518;18.850.611;13.281.572;14.250.638;1.026.780;86.529.759;1.908.253;7.031.365;6.789.151;4.173.356;1.478.821;421.657;115.759;21.918.363;0
1%;1 - Público;mar/13;44,71%;77,46%;59,58%;39,57%;44,14%;53,91%;80,48%;9,04%;48,97%;31,07%;32,10%;32,71%;36,37%;54,02%;64,32%;0,13%;35,98%;13,62%;11,79%;5,38%;5,86%;9,70%;3,91%;0,00%;7,00%;91,66%;84,47%;86,46%;88,16%;89,48%;81,44%;44,52%;82,50%;12,26%;20,47%;13,15%;10,11%;0,19%;0,00%;0,00%;18,08%;76,69%;53,67%;64,21%;64,60%;72,56%;80,80%;99,97%;66,93%;25,98%;26,02%;36,95%;27,66%;30,25%;31,91%;17,83%;29,35%;0,00%
2;2 - Privado Nacional;mar/13;430.208.509;799.826;8.414.578;21.943.488;36.660.414;12.279.493;831.625;329;80.929.753;2.258.686;10.112.639;14.287.003;13.359.442;2.328.525;666.030;3.329;43.015.655;3.845.064;16.823.374;40.808.603;61.382.108;8.578.302;15.858;5.904;131.459.211;101.007;944.682;1.780.043;4.040.489;3.547.601;12.242.633;8.562.445;31.218.901;7.890.025;46.423.437;15.427.985;240.916;3.741;315;88;69.986.507;210.924;5.122.566;11.798.601;5.709.455;2.686.046;2.371.093;195;27.898.881;2.777.670;14.142.265;7.446.764;7.257.431;1.916.172;398.731;513.523;34.452.557;11.247.044
2%;2 - Privado Nacional;mar/13;38,31%;13,02%;32,44%;48,75%;45,36%;37,63%;12,98%;4,97%;41,09%;33,45%;50,69%;46,80%;41,45%;30,55%;31,38%;45,67%;43,36%;67,13%;60,02%;64,16%;65,41%;61,24%;65,00%;56,74%;64,05%;6,34%;9,21%;7,33%;6,58%;6,43%;12,24%;42,97%;11,45%;61,18%;54,71%;65,54%;20,93%;3,59%;0,95%;0,73%;57,09%;12,72%;33,16%;25,63%;19,57%;14,67%;13,44%;0,02%;21,58%;37,82%;52,34%;40,53%;48,10%;39,20%;30,17%;79,10%;46,13%;50,20%
3;3 - Privado com Controle Estrangeiro;mar/13;190.772.381;585.040;2.069.961;5.256.837;8.480.568;2.760.818;419.326;5.695;19.578.244;2.395.597;3.432.617;6.254.456;7.149.823;1.176.446;91.279;3.951;20.504.168;1.102.615;7.900.296;19.373.028;26.960.769;4.071.335;7.585;4.501;59.420.127;31.843;649.174;1.508.514;3.225.449;2.262.620;6.324.497;2.492.863;16.494.961;3.424.100;21.060.674;5.016.538;793.670;100.127;33.014;12.037;30.440.160;175.626;2.035.664;4.677.013;4.620.835;2.337.683;1.014.393;70;14.861.284;2.659.265;5.846.446;4.136.289;3.658.119;1.493.679;501.036;19.952;18.314.788;11.158.649
3%;3 - Privado com Controle Estrangeiro;mar/13;16,99%;9,52%;7,98%;11,68%;10,49%;8,46%;6,54%;85,99%;9,94%;35,48%;17,21%;20,49%;22,18%;15,43%;4,30%;54,20%;20,67%;19,25%;28,19%;30,46%;28,73%;29,06%;31,09%;43,26%;28,95%;2,00%;6,33%;6,21%;5,26%;4,10%;6,32%;12,51%;6,05%;26,55%;24,82%;21,31%;68,95%;96,21%;99,05%;99,27%;24,83%;10,59%;13,18%;10,16%;15,84%;12,77%;5,75%;0,01%;11,49%;36,20%;21,64%;22,51%;24,24%;30,55%;37,92%;3,07%;24,52%;49,80%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/13;1.044.187.323;6.120.976;25.461.078;43.871.298;79.102.976;32.039.446;6.316.563;6.330;192.918.666;5.906.325;16.523.522;26.351.231;28.691.123;6.774.380;1.797.915;3.558;86.048.053;5.442.021;24.587.370;55.327.285;82.454.707;12.156.167;19.865;10.405;179.997.819;1.587.292;10.185.301;24.160.241;61.139.169;55.061.926;99.649.268;19.852.336;271.635.534;11.816.996;79.966.933;22.247.426;1.078.329;101.241;33.049;12.037;115.256.011;1.443.096;11.413.007;38.428.458;24.072.022;15.769.855;15.340.120;1.027.033;107.493.591;6.986.317;24.255.927;16.812.276;14.319.390;4.655.216;1.246.837;156.076;68.432.040;22.405.609
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/13;92,97%;99,61%;98,17%;97,47%;97,88%;98,18%;98,57%;95,58%;97,95%;87,47%;82,82%;86,32%;89,01%;88,87%;84,72%;48,81%;86,73%;95,01%;87,73%;86,99%;87,87%;86,78%;81,42%;100,00%;87,70%;99,63%;99,25%;99,46%;99,61%;99,73%;99,60%;99,63%;99,61%;91,64%;94,24%;94,50%;93,69%;97,28%;99,16%;99,27%;94,02%;87,04%;73,87%;83,48%;82,49%;86,15%;86,98%;100,00%;83,14%;95,11%;89,77%;91,51%;94,90%;95,22%;94,36%;24,04%;91,63%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/13;29.727.067;268;8.359;19.001;19.410;1.787;0;0;48.825;1.408;20.207;37.729;44.778;5.129;32;0;109.283;214.606;2.864.412;6.846.109;9.342.757;1.521.018;1.746;0;20.790.647;139;349;394;1.692;556;1.081;141;4.352;485.554;1.556.321;671.718;58.882;0;0;0;2.772.474;87.764;581.047;907.545;2.257.746;1.282.462;449.811;0;5.566.376;29.527;78.921;80.397;179.823;64.942;1.499;0;435.110;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/13;2,65%;0,00%;0,03%;0,04%;0,02%;0,01%;0,00%;0,00%;0,02%;0,02%;0,10%;0,12%;0,14%;0,07%;0,00%;0,00%;0,11%;3,75%;10,22%;10,76%;9,96%;10,86%;7,16%;0,00%;10,13%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,77%;1,83%;2,85%;5,12%;0,00%;0,00%;0,00%;2,26%;5,29%;3,76%;1,97%;7,74%;7,01%;2,55%;0,00%;4,31%;0,40%;0,29%;0,44%;1,19%;1,33%;0,11%;0,00%;0,58%;0,00%
