cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/13;687.154.990;3.333.003;52.241.168;30.477.486;33.693.359;7.620.969;2.564.675;74.150;130.004.809;687.867;4.369.618;3.213.414;11.436.163;14.929.749;9.966.279;1.653.010;46.256.100;799.012;4.362.911;4.768.231;696.198;38.634;0;0;10.664.986;682.094;15.160.204;3.743.848;1.350.964;9.971;0;481;20.947.562;321.152;5.725.572;7.779.060;806.802;3.081.768;3.421.201;0;21.135.555;629.453;3.646.248;1.444.091;1.607.143;1.178.112;489.338;9.206;9.003.591;665.875;17.571.042;41.259.576;90.794.203;62.005.373;130.507.635;22.593.518;365.397.223;140.585;6.854.909;11.446.822;15.327.965;2.191.760;2.323.735;37.547;38.323.324;14.708;845.237;1.448.952;5.854.370;446.970;134.476;14.020;8.758.733;
1%;1 - Público;mar/13;45,70%;40,06%;50,42%;30,74%;36,17%;40,09%;46,35%;54,04%;39,53%;44,76%;25,29%;13,63%;32,72%;74,84%;86,42%;77,67%;41,69%;21,19%;11,28%;36,73%;61,75%;19,58%;0,00%;0,00%;18,61%;43,70%;29,19%;29,77%;50,13%;8,20%;0,00%;33,20%;30,36%;39,00%;21,87%;22,16%;4,61%;38,92%;54,94%;0,00%;22,54%;17,96%;22,37%;9,67%;12,83%;29,75%;35,84%;28,81%;17,11%;58,54%;54,20%;59,56%;63,60%;78,56%;93,92%;95,14%;74,99%;72,42%;57,41%;49,65%;86,14%;80,51%;44,77%;100,00%;62,89%;16,44%;31,37%;17,28%;30,67%;9,79%;3,17%;24,43%;22,39%;
2;2 - Privado Nacional;mar/13;589.854.822;3.106.955;37.198.466;51.567.158;44.465.415;8.173.936;2.196.414;12.520;146.720.864;552.472;6.573.785;12.795.414;15.603.518;3.500.890;892.798;5.011;39.923.888;1.929.263;26.104.781;5.593.192;30.172;952;878;416.998;34.076.236;631.149;25.026.114;4.380.954;958.163;94.609;89.644;299;31.180.933;278.590;10.745.579;14.423.943;9.958.615;2.604.842;1.357.968;0;39.369.536;1.722.152;7.544.241;8.872.144;6.540.382;1.740.525;542.874;19.418;26.981.736;255.365;10.683.809;18.944.630;36.851.843;12.058.609;7.655.163;1.121.689;87.571.107;43.676;3.701.633;8.278.500;1.869.389;380.379;2.801.475;0;17.075.052;45.768;799.144;3.769.467;9.953.905;3.894.652;2.895.275;43.362;21.401.574;
2%;2 - Privado Nacional;mar/13;39,23%;37,34%;35,90%;52,01%;47,73%;43,00%;39,69%;9,12%;44,61%;35,95%;38,05%;54,26%;44,64%;17,55%;7,74%;0,24%;35,98%;51,17%;67,48%;43,08%;2,68%;0,48%;1,61%;83,31%;59,45%;40,44%;48,19%;34,84%;35,56%;77,80%;88,62%;20,68%;45,20%;33,83%;41,05%;41,09%;56,89%;32,90%;21,81%;0,00%;41,98%;49,13%;46,29%;59,44%;52,20%;43,95%;39,76%;60,77%;51,28%;22,45%;32,95%;27,35%;25,81%;15,28%;5,51%;4,72%;17,97%;22,50%;31,00%;35,91%;10,51%;13,97%;53,98%;0,00%;28,02%;51,16%;29,66%;44,96%;52,14%;85,30%;68,29%;75,57%;54,70%;
3;3 - Privado com Controle Estrangeiro;mar/13;226.736.788;1.880.824;14.176.645;17.094.641;14.998.256;3.213.096;772.562;50.549;52.186.573;296.496;6.331.950;7.572.091;7.913.534;1.518.876;673.278;470.251;24.776.477;1.041.909;8.216.422;2.621.379;401.007;157.779;53.534;83.545;12.575.573;247.621;11.746.870;4.449.428;385.566;17.018;11.516;668;16.858.686;223.666;9.706.372;12.901.463;6.738.266;2.230.758;1.447.602;21.031;33.269.159;1.153.747;5.106.190;4.611.144;4.382.154;1.041.388;333.172;3.331;16.631.125;216.242;4.166.315;9.070.023;15.122.681;4.865.869;793.591;33.520;34.268.241;9.870;1.384.208;3.329.223;596.647;150.306;64.876;0;5.535.130;28.982;1.050.281;3.166.349;3.282.722;224.096;1.210.216;0;8.962.647;
3%;3 - Privado com Controle Estrangeiro;mar/13;15,08%;22,60%;13,68%;17,24%;16,10%;16,90%;13,96%;36,84%;15,87%;19,29%;36,65%;32,11%;22,64%;7,61%;5,84%;22,10%;22,33%;27,64%;21,24%;20,19%;35,57%;79,94%;98,39%;16,69%;21,94%;15,86%;22,62%;35,39%;14,31%;14,00%;11,38%;46,12%;24,44%;27,16%;37,08%;36,75%;38,50%;28,18%;23,25%;100,00%;35,48%;32,91%;31,33%;30,89%;34,97%;26,30%;24,40%;10,43%;31,61%;19,01%;12,85%;13,09%;10,59%;6,16%;0,57%;0,14%;7,03%;5,08%;11,59%;14,44%;3,35%;5,52%;1,25%;0,00%;9,08%;32,40%;38,98%;37,76%;17,20%;4,91%;28,54%;0,00%;22,91%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/13;1.172.591.968;8.106.934;100.793.558;95.174.507;89.916.434;18.057.482;5.238.808;134.088;317.421.810;1.323.853;13.525.869;18.186.653;28.522.263;18.274.504;11.110.333;2.114.678;93.058.154;3.736.785;37.951.088;12.055.076;1.115.203;196.413;53.534;82.375;55.190.474;1.450.219;45.664.492;9.143.713;2.673.062;121.472;101.159;1.446;59.155.565;823.407;26.151.739;35.032.407;17.399.399;7.905.116;6.226.771;8.652;93.547.492;3.434.756;14.729.059;13.971.372;12.194.383;3.855.243;1.167.558;21.760;49.374.131;889.201;20.994.763;39.215.738;72.879.831;27.365.919;33.229.846;9.964.946;204.540.244;182.252;11.730.422;22.527.297;16.830.420;2.051.991;4.236.497;37.547;57.596.426;89.451;2.694.340;8.229.113;19.090.787;4.565.627;4.239.956;57.383;38.966.658;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/13;77,98%;97,43%;97,28%;96,00%;96,52%;95,00%;94,67%;97,72%;96,51%;86,14%;78,30%;77,12%;81,60%;91,60%;96,34%;99,36%;83,87%;99,11%;98,11%;92,85%;98,92%;99,52%;98,39%;16,46%;96,29%;92,91%;87,93%;72,72%;99,20%;99,90%;100,00%;99,92%;85,75%;100,00%;99,90%;99,79%;99,40%;99,85%;100,00%;41,14%;99,76%;97,99%;90,38%;93,60%;97,32%;97,35%;85,51%;68,10%;93,84%;78,17%;64,76%;56,61%;51,05%;34,67%;23,91%;41,96%;41,98%;93,88%;98,24%;97,71%;94,58%;75,37%;81,63%;100,00%;94,52%;99,99%;99,99%;98,14%;100,00%;100,00%;100,00%;100,00%;99,60%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/13;47.942.465;39.576;893.918;788.763;604.734;380.458;15.467;0;2.722.914;143.301;2.837.930;3.834.790;3.722.244;739.058;32.942;0;11.310.265;0;0;0;0;0;0;0;0;49.131;4.181.191;3.217.900;5.445;55;0;0;7.453.722;0;25.784;72.059;102.897;11.024;0;12.379;224.144;10.425;1.308.301;624.520;109.938;35.679;3.309;0;2.092.173;166.668;2.466.953;6.417.820;10.679.199;3.618.170;309.869;33.045;23.691.724;3.704;25.543;66.900;123.385;59.287;19.537;0;298.356;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/13;3,19%;0,48%;0,86%;0,80%;0,65%;2,00%;0,28%;0,00%;0,83%;9,32%;16,43%;16,26%;10,65%;3,70%;0,29%;0,00%;10,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,15%;8,05%;25,59%;0,20%;0,05%;0,00%;0,00%;10,80%;0,00%;0,10%;0,21%;0,59%;0,14%;0,00%;58,86%;0,24%;0,30%;8,03%;4,18%;0,88%;0,90%;0,24%;0,00%;3,98%;14,65%;7,61%;9,26%;7,48%;4,58%;0,22%;0,14%;4,86%;1,91%;0,21%;0,29%;0,69%;2,18%;0,38%;0,00%;0,49%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3S;b3S - Cooperativa de Crédito Singulares;mar/13;14.098.255;114.020;1.339.144;2.351.880;2.162.093;483.312;169.919;3.132;6.623.499;10.357;209.193;520.246;812.536;238.344;98.068;544;1.889.288;33.393;722.902;883.344;12.173;952;878;418.105;2.071.747;51.967;2.018.003;183.988;2.007;71;0;1;2.256.037;0;0;0;0;0;0;0;0;53.069;215.559;266.977;151.822;41.774;148.934;9.719;887.854;2.445;38.061;23.671;26.549;3.450;175;0;94.350;1.081;81.364;135.488;53.250;2.624;1.672;0;275.478;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;mar/13;0,94%;1,37%;1,29%;2,37%;2,32%;2,54%;3,07%;2,28%;2,01%;0,67%;1,21%;2,21%;2,32%;1,19%;0,85%;0,03%;1,70%;0,89%;1,87%;6,80%;1,08%;0,48%;1,61%;83,53%;3,61%;3,33%;3,89%;1,46%;0,07%;0,06%;0,00%;0,08%;3,27%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,51%;1,32%;1,79%;1,21%;1,05%;10,91%;30,41%;1,69%;0,21%;0,12%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,56%;0,68%;0,59%;0,30%;0,10%;0,03%;0,00%;0,45%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/13;943.415;29;291.160;396.546;81.105;27.495;358;0;796.692;0;1.483;3.869;9.700;567;0;0;15.619;0;5.409;44.372;0;0;0;62;49.844;0;668;17;0;0;0;0;685;0;0;0;0;0;0;0;0;122;26.432;31.069;4.224;0;0;164;62.010;16;5.984;2.688;9.267;158;0;0;18.113;0;0;0;0;23;429;0;452;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/13;0,06%;0,00%;0,28%;0,40%;0,09%;0,14%;0,01%;0,00%;0,24%;0,00%;0,01%;0,02%;0,03%;0,00%;0,00%;0,00%;0,01%;0,00%;0,01%;0,34%;0,00%;0,00%;0,00%;0,01%;0,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,16%;0,21%;0,03%;0,00%;0,00%;0,51%;0,12%;0,00%;0,02%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;mar/13;260.662.306;1.724;52.858;131.966;202.987;37.690;108.007;0;535.233;24.562;28.216;84.091;191.235;141.925;114.091;0;584.119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.386;1.227;0;0;2.614;4.830;3.752;13.586;52.874;25.899;44.746;0;145.686;67.605;8.829.544;23.320.334;58.384.043;47.545.719;104.936.031;13.741.829;256.825.104;6.646;98.142;316.884;757.042;576.640;814.197;0;2.569.550;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;mar/13;17,33%;0,02%;0,05%;0,13%;0,22%;0,20%;1,95%;0,00%;0,16%;1,60%;0,16%;0,36%;0,55%;0,71%;0,99%;0,00%;0,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,00%;0,00%;0,00%;0,14%;0,02%;0,09%;0,42%;0,65%;3,28%;0,00%;0,28%;5,94%;27,23%;33,66%;40,89%;60,24%;75,52%;57,86%;52,71%;3,42%;0,82%;1,37%;4,25%;21,18%;15,69%;0,00%;4,22%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;mar/13;7.507.450;58.500;245.641;295.622;189.677;21.565;1.092;0;812.097;34.761;672.661;951.270;1.695.238;555.117;176.922;13.051;4.099.020;6;4.714;10;1;0;0;0;4.731;9.548;68.834;28.612;14.178;0;0;0;121.172;0;0;0;0;0;0;0;0;2.150;13.145;19.854;16.438;1.430;836;0;53.854;11.547;85.862;293.979;789.838;396.435;480.468;8.907;2.067.037;449;5.278;7.975;29.905;31.881;117.754;0;193.243;6;322;155.655;210;91;11;0;156.295;
